FeatureID,FeatureName,Cluster 21 Average,Cluster 21 Log2 Fold Change,Cluster 21 P-Value,Cluster 22 Average,Cluster 22 Log2 Fold Change,Cluster 22 P-Value
ENSGACG00000004882,ENSGACG00000004882,4.451558345016144,6.112205910359254,4.687068278968878e-87,0.06410997148946074,-6.112205910359254,4.687068278968878e-87
ENSGACG00000005566,ENSGACG00000005566,5.5403842603910505,5.961285565776362,8.873905496697104e-86,0.08867766129381613,-5.961285565776362,8.873905496696852e-86
ENSGACG00000005562,ENSGACG00000005562,2.672612840942543,6.339977998170838,7.291289648834447e-85,0.03275691973914052,-6.339977998170838,7.291289648834447e-85
ENSGACG00000012927,ENSGACG00000012927,69.32809810563924,5.5971016936455005,1.8566845310172772e-81,1.4317113705985776,-5.5971016936455005,1.8566845310172772e-81
ENSGACG00000000834,npsn,5.214972784465947,5.757321504692854,1.8566845310172772e-81,0.0961649572341911,-5.757321504692854,1.8566845310172772e-81
ENSGACG00000014527,fbp2,8.506618039583518,5.572271894166516,1.5461724217811267e-80,0.17852521257831586,-5.572271894166516,1.5461724217810827e-80
ENSGACG00000014415,npsn,36.94590320150475,5.48172186520007,2.3313737101382935e-79,0.826410289418888,-5.48172186520007,2.3313737101382353e-79
ENSGACG00000020547,alox5ap,3.0390870946980875,5.659263223588444,2.38622714712838e-79,0.05989836752299981,-5.659263223588444,2.38622714712838e-79
ENSGACG00000009964,tktb,13.391322460423986,5.437992054007836,8.385354832855865e-79,0.3086169795423311,-5.437992054007836,8.385354832856685e-79
ENSGACG00000011880,pygl,3.6881439055663408,5.492896707072582,8.060138073118256e-77,0.08165832134971458,-5.492896707072582,8.060138073118256e-77
ENSGACG00000009214,cpa1,5.694038525821086,5.388209933042047,4.650911701333565e-75,0.13570723891929645,-5.388209933042047,4.650911701333565e-75
ENSGACG00000012951,ENSGACG00000012951,4.391951086875181,5.35684339486208,5.497183532525916e-73,0.10692794514848013,-5.35684339486208,5.497183532525916e-73
ENSGACG00000017166,mpx,1.6195512804522134,5.462406831099035,2.972298045929416e-72,0.03650056770932801,-5.462406831099035,2.972298045929416e-72
ENSGACG00000007164,pgd,13.246057364658235,5.102078832862722,1.6047005060974092e-71,0.3853617629311746,-5.102078832862722,1.6047005060974824e-71
ENSGACG00000007744,gpia,3.8947824004550093,5.03122458975864,6.995810920922782e-68,0.11886082305345275,-5.03122458975864,6.995810920922782e-68
ENSGACG00000007762,alox5a,1.2526354914511804,5.309699667751839,7.166650141698658e-68,0.031353051750320216,-5.309699667751839,7.166650141698658e-68
ENSGACG00000003056,g6pd,3.5375803868547258,5.041632808684576,9.333679629629557e-68,0.10716192314661685,-5.041632808684576,9.333679629629557e-68
ENSGACG00000016593,actb1,8.239930751308398,4.883371354683286,4.445749915249988e-66,0.27890177377896785,-4.883371354683286,4.445749915250116e-66
ENSGACG00000000675,lta4h,4.493062658092073,4.922819423909295,5.073309317099275e-66,0.1478740948224058,-4.922819423909295,5.073309317099275e-66
ENSGACG00000003679,id4,1.3042951151733475,5.178012265112111,6.572639813670818e-66,0.03579863371491786,-5.178012265112111,6.572639813670818e-66
ENSGACG00000017305,ENSGACG00000017305,1.5762808263943298,5.081344188784535,1.9800656336877665e-65,0.04632764363107016,-5.081344188784535,1.9800656336877665e-65
ENSGACG00000017044,anxa5b,1.2199618832850234,4.824836335073364,2.468240584452557e-58,0.0428179736590194,-4.824836335073364,2.468240584452557e-58
ENSGACG00000010177,zgc:110626,1.1387193981151196,5.001084227609149,1.0043913884411247e-57,0.03533067771864442,-5.001084227609149,1.0043913884411247e-57
ENSGACG00000000326,ENSGACG00000000326,28.99429496550041,4.353181150358029,3.6757803985996976e-55,1.418140646706648,-4.353181150358029,3.675780398599487e-55
ENSGACG00000019370,capgb,2.358681281400143,4.206533551645041,3.2982641528843285e-50,0.12751800898451132,-4.206533551645041,3.2982641528843285e-50
ENSGACG00000014831,ENSGACG00000014831,1.0420231793531145,4.313683794913156,6.234122234145548e-50,0.05217709358448812,-4.313683794913156,6.234122234145548e-50
ENSGACG00000007839,mmp25b,1.1581469489166183,4.229014276001749,3.3341448082150286e-48,0.06153621350995684,-4.229014276001749,3.3341448082150286e-48
ENSGACG00000017200,taldo1,10.305432629704105,3.9466548781104587,1.331072122474821e-46,0.6680071846803299,-3.9466548781104587,1.331072122474811e-46
ENSGACG00000015634,scinlb,2.9547538628097634,3.960735585490142,8.512243106615065e-46,0.1895221784907416,-3.960735585490142,8.512243106615065e-46
ENSGACG00000016070,ENSGACG00000016070,12.066275188712673,3.8870585004676848,1.8729952955135042e-45,0.8151793455083256,-3.8870585004676848,1.8729952955132684e-45
ENSGACG00000014576,ENSGACG00000014576,22.924951481014006,3.8426673832994442,1.2293580328174302e-44,1.597367793279374,-3.8426673832994442,1.2293580328174346e-44
ENSGACG00000005864,gapdhs,3.07308530860071,3.8370141990697677,1.234478533285354e-43,0.21479180228950714,-3.8370141990697677,1.234478533285367e-43
ENSGACG00000007396,eno1a,2.198403987287778,3.8534905097817447,1.2926122631262735e-43,0.15185172079072998,-3.8534905097817447,1.2926122631262735e-43
ENSGACG00000001966,ncf2,3.6280951121798903,3.524893870447471,5.983864194939629e-38,0.31493438549202246,-3.524893870447471,5.983864194939436e-38
ENSGACG00000005947,sla1,1.33520258235755,3.453436255512929,2.280092740013008e-35,0.12166855903109336,-3.453436255512929,2.280092740013008e-35
ENSGACG00000015423,ENSGACG00000015423,2.3242415322520316,3.387809929634088,7.28111483927403e-35,0.22181114223360868,-3.387809929634088,7.281114839273743e-35
ENSGACG00000001123,ENSGACG00000001123,35.778925547678355,3.3181201627134187,2.703469876216781e-34,3.5864147554396135,-3.3181201627134187,2.7034698762168677e-34
ENSGACG00000020896,rhogb,4.157937406766219,3.2968824356264577,1.0034458306332281e-33,0.42279824263304944,-3.2968824356264577,1.0034458306332091e-33
ENSGACG00000010752,cd63,3.307540523955161,3.3031757977209066,1.2461482757152857e-33,0.3348225153336435,-3.3031757977209066,1.2461482757152624e-33
ENSGACG00000020358,tagln2,2.1758856897678593,3.274543035639598,6.105915126610868e-33,0.2246188782112493,-3.274543035639598,6.105915126610709e-33
ENSGACG00000015537,cybb,5.190688345964073,3.224592363871536,2.2006275976162552e-32,0.5549958115802951,-3.224592363871536,2.200627597616098e-32
ENSGACG00000013470,CTSS,2.661132924559839,3.1948706341194604,1.946244336371395e-31,0.29036669568766704,-3.1948706341194604,1.9462443363714686e-31
ENSGACG00000010111,ptpn6,1.4667800855131552,3.2089855052978056,5.455308671177398e-31,0.1584031047385581,-3.2089855052978056,5.455308671177398e-31
ENSGACG00000004178,ENSGACG00000004178,1.2521939562056916,3.176553460387527,2.433888773468796e-30,0.13828099689880036,-3.176553460387527,2.433888773468796e-30
ENSGACG00000013555,coro1a,3.903613105364782,3.1093874874849483,3.8203117532611124e-30,0.4520454924001392,-3.1093874874849483,3.820311753260181e-30
ENSGACG00000000546,ENSGACG00000000546,3.1591846814709887,3.111615324652047,4.35625036570113e-30,0.3652396550914168,-3.111615324652047,4.35625036570081e-30
ENSGACG00000016657,arpc1b,5.738633585615435,3.085004645998977,5.0805078834070626e-30,0.6759624366169783,-3.085004645998977,5.080507883407029e-30
ENSGACG00000004460,fam49bb,1.3568378093864917,3.109440417654129,2.727446496016831e-29,0.15699923674973779,-3.109440417654129,2.727446496016831e-29
ENSGACG00000006997,alas1,1.026569445761013,3.1394898401472555,4.1587902825013166e-29,0.11628706507394886,-3.1394898401472555,4.1587902825013166e-29
ENSGACG00000015680,swap70a,0.0790348089424608,-3.945988721976242,1.6738849058632818e-28,1.2244068642494454,3.945988721976242,1.673884905863258e-28
ENSGACG00000020795,pgk1,1.0349586154252968,3.0478335168563473,4.0877891000996165e-28,0.12494425100500742,-3.0478335168563473,4.0877891000996165e-28
ENSGACG00000015943,cyba,5.703752301221836,2.9211145615755303,4.912870001641743e-27,0.7527072200058218,-2.9211145615755303,4.9128700016418806e-27
ENSGACG00000014503,arpc2,2.278763401966705,2.8986316352896573,1.7879952625471794e-26,0.305341287568417,-2.8986316352896573,1.7879952625472342e-26
ENSGACG00000004750,cfl1l,5.823408352749248,2.8282262752798517,1.6095436721161123e-25,0.8196249274729231,-2.8282262752798517,1.6095436721159273e-25
ENSGACG00000007959,lcp1,6.719724901091122,2.8187240499794166,1.872182254012852e-25,0.9520564744183055,-2.8187240499794166,1.872182254012814e-25
ENSGACG00000019142,ENSGACG00000019142,7.703906963285229,2.809496435313839,3.1090648559625018e-25,1.0985267012518911,-2.809496435313839,3.109064855962138e-25
ENSGACG00000013298,arhgdia,4.09126558469744,2.724691040089524,8.414708344313587e-24,0.6186378270734825,-2.724691040089524,8.414708344313625e-24
ENSGACG00000015525,spi1b,1.382446853624831,2.7671736555886794,9.897251627811283e-24,0.2028589243845345,-2.7671736555886794,9.897251627811283e-24
ENSGACG00000001519,itgb2,1.730376627069854,2.6045668163011033,1.8405202338625225e-21,0.2842832677361124,-2.6045668163011033,1.840520233862466e-21
ENSGACG00000018552,sh3bgrl,1.9899993514171554,2.5753585714385756,3.725135848550967e-21,0.33365262534295986,-2.5753585714385756,3.725135848550963e-21
ENSGACG00000007176,ENSGACG00000007176,1.2517524209602031,2.547870274810229,2.711145765215321e-20,0.21385589029696025,-2.547870274810229,2.711145765215296e-20
ENSGACG00000017611,arpc3,3.5397880630821685,2.4786780874740346,6.282511039017167e-20,0.6347823089449159,-2.4786780874740346,6.282511039017191e-20
ENSGACG00000000344,ENSGACG00000000344,0.17396488672251148,-3.1007121446972765,7.330945111168778e-20,1.4955873640899016,3.1007121446972765,7.330945111168778e-20
ENSGACG00000011212,ENSGACG00000011212,5.396002235116276,2.483570410541097,8.079556089191783e-20,0.9644573083195517,-2.483570410541097,8.079556089191691e-20
ENSGACG00000001577,ENSGACG00000001577,1.859746453998016,2.4546514064020757,2.259666584435983e-19,0.3390341193001044,-2.4546514064020757,2.259666584436017e-19
ENSGACG00000004430,rpia,1.0336340096888308,2.4691368150209874,3.3952438610816553e-19,0.18648046451496425,-2.4691368150209874,3.3952438610816553e-19
ENSGACG00000010801,ENSGACG00000010801,0.4265230471419951,-2.9617965137424282,3.8956996001148895e-19,3.325529287517173,2.9617965137424282,3.8956996001150744e-19
ENSGACG00000011811,COX7A2,1.0980981555301677,2.4251376913721217,1.3088856209635812e-18,0.20426279237335482,-2.4251376913721217,1.3088856209635907e-18
ENSGACG00000005778,dap1b,0.12848675643718488,-2.990045719016912,2.117256301058372e-18,1.023887719846278,2.990045719016912,2.117256301058357e-18
ENSGACG00000019990,hcls1,1.1983266562560815,2.4037296361592473,2.3007239120473515e-18,0.2262567241982063,-2.4037296361592473,2.3007239120472005e-18
ENSGACG00000008944,ENSGACG00000008944,1.3299041594116867,2.325636423394352,2.2847570845647172e-17,0.2650970718889015,-2.325636423394352,2.284757084564703e-17
ENSGACG00000018016,cd74a,0.43182147008785843,-2.739916416875725,9.285655184116007e-17,2.886820541010827,2.739916416875725,9.285655184115938e-17
ENSGACG00000020333,msna,1.5497887116650133,2.2714579054500605,1.3528458830907538e-16,0.32078383544544037,-2.2714579054500605,1.3528458830908416e-16
ENSGACG00000004252,MYL12B,3.4024706017352115,2.2513257195672396,1.3528458830907538e-16,0.7143348283114,-2.2513257195672396,1.3528458830908416e-16
ENSGACG00000007836,ENSGACG00000007836,32.74425380543516,2.237414915437466,1.4116828683907e-16,6.94236118271456,-2.237414915437466,1.4116828683907433e-16
ENSGACG00000020827,ncf1,4.430806188478179,2.241887245763752,1.9552722868262936e-16,0.9363799485431454,-2.241887245763752,1.955272286826288e-16
ENSGACG00000011976,ENSGACG00000011976,1.582903855076659,2.172307901989804,2.6606858460886835e-15,0.350966997205077,-2.172307901989804,2.6606858460882212e-15
ENSGACG00000013220,tmem176l.1,1.8442927204059147,2.1476023725420665,8.043741404509228e-15,0.41601288068708464,-2.1476023725420665,8.043741404508995e-15
ENSGACG00000009846,arpc4,2.4748050509636466,2.0676879287983114,4.664604263869321e-14,0.5900925113008029,-2.0676879287983114,4.6646042638687734e-14
ENSGACG00000019326,ponzr1,1.343150216776345,2.011401578290316,6.437435198931574e-13,0.3329506913485497,-2.011401578290316,6.437435198931548e-13
ENSGACG00000001512,DBI,1.1766914292271398,1.9721369092123502,1.3818617357925903e-12,0.29972581561313577,-1.9721369092123502,1.3818617357926182e-12
ENSGACG00000013901,zgc:92027,1.2491032094872714,1.9645902135754647,1.4888249251581766e-12,0.31984792345289353,-1.9645902135754647,1.488824925158221e-12
ENSGACG00000007843,ptprc,1.6049806173510894,1.9439018873112304,2.4863049602054047e-12,0.4169487926796315,-1.9439018873112304,2.48630496020548e-12
ENSGACG00000010458,BRK1,1.3073858618917678,1.666852602506306,3.6395986842927225e-09,0.411567298722487,-1.666852602506306,3.6395986842926795e-09
ENSGACG00000014908,arl6ip1,1.0746967875192714,1.6449437671555427,6.7174398494408775e-09,0.34347970126470206,-1.6449437671555427,6.717439849440543e-09
ENSGACG00000017070,anxa4,1.101188902248588,1.639392545801912,7.564854986879637e-09,0.3533067771864442,-1.639392545801912,7.564854986879867e-09
ENSGACG00000005779,ENSGACG00000005779,1.1859636693824005,1.6281568972498381,1.1273821737835676e-08,0.3834899389460808,-1.6281568972498381,1.1273821737836226e-08
ENSGACG00000006710,ENSGACG00000006710,1.5109336100620159,1.6345341547235013,1.8572583450443287e-08,0.48644025812623676,-1.6345341547235013,1.8572583450442876e-08
ENSGACG00000001460,ENSGACG00000001460,0.30377624889616217,-1.7395951438064716,1.5594022606000268e-07,1.015464511913356,1.7395951438064716,1.5594022606000268e-07
ENSGACG00000014009,si:ch211-79k12.1,1.0239202342880815,1.3193324483123192,8.459471282288758e-06,0.4101634307336667,-1.3193324483123192,8.45947128228819e-06
ENSGACG00000020086,ENSGACG00000020086,9.789277927727923,-1.431611362443841,9.950951069925176e-06,26.401843331749124,1.431611362443841,9.950951069925256e-06
ENSGACG00000017032,cfl1,1.3674346552782184,1.2980516315892516,1.0897918817373486e-05,0.555931723572842,-1.2980516315892516,1.089791881737405e-05
ENSGACG00000020925,mt-nd1,4.761074552103658,1.211963083507091,4.77792093436524e-05,2.0547947796366577,-1.211963083507091,4.777920934364101e-05
ENSGACG00000015963,cox4i1,1.9975054505904617,1.1992474126805663,6.118457780906874e-05,0.8696962190741808,-1.1992474126805663,6.11845778090682e-05
ENSGACG00000004699,rpl35a,4.68115667267022,-1.29059675447014,8.536614620387821e-05,11.449947316818433,1.29059675447014,8.536614620387154e-05
ENSGACG00000020942,mt-co3,26.565409580067577,1.1650073098455969,0.00010352272534057325,11.844668199675075,-1.1650073098455969,0.00010352272534057345
ENSGACG00000017701,ENSGACG00000017701,1.009791106432446,1.1398260452529203,0.00019596131356391274,0.4581289203516939,-1.1398260452529203,0.00019596131356388894
