FeatureID,FeatureName,Neutrophils Average,Neutrophils Log2 Fold Change,Neutrophils P-Value
ENSGACG00000005566,ENSGACG00000005566,8.148265964970006,3.7659072141949217,6.5810721158097094e-49
ENSGACG00000020547,alox5ap,4.145046928755534,3.620254375976657,8.647442649112953e-46
ENSGACG00000004882,ENSGACG00000004882,6.292364246539974,3.5837890901048097,5.825276565475493e-45
ENSGACG00000014415,npsn,59.22884403407368,3.561747556066268,1.4868888104522247e-44
ENSGACG00000012927,ENSGACG00000012927,96.40496176495007,3.48997724783303,4.529979839860621e-43
ENSGACG00000007762,alox5a,1.659370976761543,3.492756678054943,4.776103293656938e-43
ENSGACG00000014527,fbp2,11.858020605982603,3.4247687044375477,1.0763069338310599e-41
ENSGACG00000000834,npsn,5.129646993153075,3.419465868294093,1.7694478627550388e-41
ENSGACG00000017166,mpx,2.01757732074345,3.4157848470741365,1.884054535193825e-41
ENSGACG00000005562,ENSGACG00000005562,2.5458337200653065,3.389980234022946,1.0786763532652617e-40
ENSGACG00000012951,ENSGACG00000012951,5.511465709277065,3.358653371056928,2.7195006159319926e-40
ENSGACG00000011880,pygl,5.095406492552244,3.318398683476573,1.6965625716211464e-39
ENSGACG00000009214,cpa1,7.991379422950048,3.3182979623533053,1.7064254529041926e-39
ENSGACG00000000675,lta4h,6.179501205292512,3.2995784632389418,3.899474119588709e-39
ENSGACG00000009964,tktb,17.082757336406342,3.2692246483911425,1.6264256800374368e-38
ENSGACG00000003056,g6pd,4.559646378439032,3.2229542901018107,1.4550885969468924e-37
ENSGACG00000007164,pgd,17.41986108315932,3.2029143163966234,3.4390948615523666e-37
ENSGACG00000016593,actb1,11.339137447662917,3.1326808142138822,9.116202323511503e-36
ENSGACG00000007744,gpia,5.138559255089565,3.085779298814265,7.958947561080367e-35
ENSGACG00000006997,alas1,1.275068095672496,2.8914696855791386,5.872401332245442e-31
ENSGACG00000017200,taldo1,13.120898366362656,2.793346825121142,3.2312812336876766e-29
ENSGACG00000015634,scinlb,3.8567813530166077,2.709372461508321,1.1947119568759316e-27
ENSGACG00000000326,ENSGACG00000000326,36.14521488032605,2.5465700043735016,9.416026156814827e-25
ENSGACG00000016070,ENSGACG00000016070,15.364457869081965,2.509187916581677,4.1996914532557936e-24
ENSGACG00000017305,ENSGACG00000017305,1.8204831602169071,2.4917481584534835,9.419920369874122e-24
ENSGACG00000000546,ENSGACG00000000546,3.6859117793376712,2.4827845169726417,1.2770653549116443e-23
ENSGACG00000014831,ENSGACG00000014831,1.2885645383176998,2.3667259624991184,1.236711531447391e-21
ENSGACG00000015423,ENSGACG00000015423,3.0779572215492608,2.2806502174565555,3.0105139522653004e-20
ENSGACG00000003679,id4,1.5386969013456033,2.2759260394575276,3.7789787108275435e-20
ENSGACG00000014576,ENSGACG00000014576,31.209051045018352,2.267776642778909,4.583754931542772e-20
ENSGACG00000019142,ENSGACG00000019142,8.096380210132848,2.2503308984577988,9.076748854487571e-20
ENSGACG00000001966,ncf2,4.362270508483462,2.2034136264536044,5.011311140205393e-19
ENSGACG00000015943,cyba,7.036333238652251,2.1043597034717103,1.699661133127678e-17
ENSGACG00000015537,cybb,6.468842398851359,2.0976372077196173,2.1372806160329398e-17
ENSGACG00000005864,gapdhs,3.9853432924453043,2.077332849874135,4.441251096074474e-17
ENSGACG00000007396,eno1a,2.9044242132686144,1.973991686081294,1.4961678355891953e-15
ENSGACG00000013555,coro1a,5.284433519429378,1.9588265731536798,2.4447498720992513e-15
ENSGACG00000001123,ENSGACG00000001123,48.918227711788425,1.947064809464158,3.535673373639987e-15
ENSGACG00000020795,pgk1,1.3693383146041755,1.937564505021612,5.106797069108615e-15
ENSGACG00000003798,rpe,1.1281694334089498,1.93620275295264,5.4334112303185734e-15
ENSGACG00000019370,capgb,2.931417098559022,1.9022626544823475,1.5640865329726584e-14
ENSGACG00000005947,sla1,1.5472250140606942,1.8353761931299868,1.346131111121081e-13
ENSGACG00000020896,rhogb,5.317419132573632,1.8259913503456298,1.732169282610185e-13
ENSGACG00000001577,ENSGACG00000001577,2.4847283839145358,1.7776700843500064,7.770645171992789e-13
ENSGACG00000020827,ncf1,5.53113414941277,1.7673616744452096,1.0483943741304727e-12
ENSGACG00000010752,cd63,3.8991145972149415,1.7674052966756295,1.0592439074957908e-12
ENSGACG00000004430,rpia,1.419866742192386,1.7483000363272247,1.939277058006287e-12
ENSGACG00000004460,fam49bb,1.6089962088618925,1.7456975401537245,2.0677431874047495e-12
ENSGACG00000014503,arpc2,2.937589096049523,1.7155965552141277,4.901591059081803e-12
ENSGACG00000018552,sh3bgrl,2.6758298165872314,1.709117274218995,5.947851153879826e-12
