FeatureID,FeatureName,Cluster 21 Average,Cluster 21 Log2 Fold Change,Cluster 21 P-Value,Cluster 22 Average,Cluster 22 Log2 Fold Change,Cluster 22 P-Value
ENSGACG00000016593,actb1,8.239930751,4.883371355,4.45E-66,0.278901774,-4.883371355,4.45E-66
ENSGACG00000006997,alas1,1.026569446,3.13948984,4.16E-29,0.116287065,-3.13948984,4.16E-29
ENSGACG00000006807,alas2,1.62794045,-0.687761909,0.088352347,2.622191425,0.687761909,0.088352347
ENSGACG00000007762,alox5a,1.252635491,5.309699668,7.17E-68,0.031353052,-5.309699668,7.17E-68
ENSGACG00000020547,alox5ap,3.039087095,5.659263224,2.39E-79,0.059898368,-5.659263224,2.39E-79
ENSGACG00000017070,anxa4,1.101188902,1.639392546,7.56E-09,0.353306777,-1.639392546,7.56E-09
ENSGACG00000017044,anxa5b,1.219961883,4.824836335,2.47E-58,0.042817974,-4.824836335,2.47E-58
ENSGACG00000017383,aqp1a.1,0.879538209,-0.817340102,0.030109876,1.550104238,0.817340102,0.030109876
ENSGACG00000013298,arhgdia,4.091265585,2.72469104,8.41E-24,0.618637827,-2.72469104,8.41E-24
ENSGACG00000014908,arl6ip1,1.074696788,1.644943767,6.72E-09,0.343479701,-1.644943767,6.72E-09
ENSGACG00000016657,arpc1b,5.738633586,3.085004646,5.08E-30,0.675962437,-3.085004646,5.08E-30
ENSGACG00000014503,arpc2,2.278763402,2.898631635,1.79E-26,0.305341288,-2.898631635,1.79E-26
ENSGACG00000017611,arpc3,3.539788063,2.478678087,6.28E-20,0.634782309,-2.478678087,6.28E-20
ENSGACG00000009846,arpc4,2.474805051,2.067687929,4.66E-14,0.590092511,-2.067687929,4.66E-14
ENSGACG00000009305,atp5if1b,1.621317421,0.748071466,0.034477706,0.965159242,-0.748071466,0.034477706
ENSGACG00000005605,atp5mc1,2.186041,1.033885052,0.000879883,1.067407627,-1.033885052,0.000879883
ENSGACG00000012552,blvrb,0.850838418,-0.77974013,0.041906803,1.46095862,0.77974013,0.041906803
ENSGACG00000010458,BRK1,1.307385862,1.666852603,3.64E-09,0.411567299,-1.666852603,3.64E-09
ENSGACG00000019370,capgb,2.358681281,4.206533552,3.30E-50,0.127518009,-4.206533552,3.30E-50
ENSGACG00000013438,CAPNS1,0.620798555,-0.762407758,0.049921909,1.053368948,0.762407758,0.049921909
ENSGACG00000010752,cd63,3.307540524,3.303175798,1.25E-33,0.334822515,-3.303175798,1.25E-33
ENSGACG00000018016,cd74a,0.43182147,-2.739916417,9.29E-17,2.886820541,2.739916417,9.29E-17
ENSGACG00000017032,cfl1,1.367434655,1.298051632,1.09E-05,0.555931724,-1.298051632,1.09E-05
ENSGACG00000004750,cfl1l,5.823408353,2.828226275,1.61E-25,0.819624927,-2.828226275,1.61E-25
ENSGACG00000013555,coro1a,3.903613105,3.109387487,3.82E-30,0.452045492,-3.109387487,3.82E-30
ENSGACG00000015963,cox4i1,1.997505451,1.199247413,6.12E-05,0.869696219,-1.199247413,6.12E-05
ENSGACG00000011811,COX7A2,1.098098156,2.425137691,1.31E-18,0.204262792,-2.425137691,1.31E-18
ENSGACG00000009214,cpa1,5.694038526,5.388209933,4.65E-75,0.135707239,-5.388209933,4.65E-75
ENSGACG00000013470,CTSS,2.661132925,3.194870634,1.95E-31,0.290366696,-3.194870634,1.95E-31
ENSGACG00000007282,cxcr4a,3.93849439,0.715791353,0.048147557,2.397572547,-0.715791353,0.048147557
ENSGACG00000015943,cyba,5.703752301,2.921114562,4.91E-27,0.75270722,-2.921114562,4.91E-27
ENSGACG00000015537,cybb,5.190688346,3.224592364,2.20E-32,0.554995812,-3.224592364,2.20E-32
ENSGACG00000005778,dap1b,0.128486756,-2.990045719,2.12E-18,1.02388772,2.990045719,2.12E-18
ENSGACG00000001512,DBI,1.176691429,1.972136909,1.38E-12,0.299725816,-1.972136909,1.38E-12
ENSGACG00000017191,eef1da,0.862318334,-0.913272313,0.011139792,1.624275263,0.913272313,0.011139792
ENSGACG00000007396,eno1a,2.198403987,3.85349051,1.29E-43,0.151851721,-3.85349051,1.29E-43
ENSGACG00000004460,fam49bb,1.356837809,3.109440418,2.73E-29,0.156999237,-3.109440418,2.73E-29
ENSGACG00000014527,fbp2,8.50661804,5.572271894,1.55E-80,0.178525213,-5.572271894,1.55E-80
ENSGACG00000015484,fth1b,47.50212785,-0.861274502,0.018094919,86.27704703,0.861274502,0.018094919
ENSGACG00000003056,g6pd,3.537580387,5.041632809,9.33E-68,0.107161923,-5.041632809,9.33E-68
ENSGACG00000005864,gapdhs,3.073085309,3.837014199,1.23E-43,0.214791802,-3.837014199,1.23E-43
ENSGACG00000007744,gpia,3.8947824,5.03122459,7.00E-68,0.118860823,-5.03122459,7.00E-68
ENSGACG00000019990,hcls1,1.198326656,2.403729636,2.30E-18,0.226256724,-2.403729636,2.30E-18
