SampleID,Gosling,Roberts,GG12,GG13,GG15,GG16,GG17,GG22,GG32,GG42,GG47,GG49,GG8,RR10,RR12,RR13,RR15,RR18,RR30,RR44,RR52,Control,Exposed,Infected,Echo,UBC,Gos,Male,Female,n_worms_found,avg_worm_mass,total_worm_mass,HK_count,weight,length,A_Freq.Gran,A_Freq.Lymph,P_Gadj_MFI
GG12C1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,NA,NA,2.8992,2.68,66.24,23.3,68.7,941903
GG12C2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,NA,NA,1.272,2.72,61.27,28.2,67.6,642571
GG12E1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,48.9,48.9,7.371,3.39,67.46,29.6,66.5,1113760
GG12E2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,NA,NA,5.032,3.07,66.83,27.6,70.1,754084
GG12E3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,34.9,34.9,8.4632,2.91,61.84,31.5,64.2,476410
GG12E4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,4,27.6,110.4,5.208,3.29,64.37,32.8,62.9,447694
GG12E5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,NA,NA,2.862,3.1,63.05,20,78.1,679254
GG13C1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,NA,NA,2.552,2.82,62.07,25.9,68.9,549653
GG13C2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,NA,NA,2.64,2.26,58.9,29.8,64,651002
GG13E2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,NA,NA,2.4,2.04,63.96,27.9,67.2,866250
GG13E3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,NA,NA,2.4416,3.03,63.93,28.9,62,520483
GG13E4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,22.6,22.6,5.8164,3.1,62.97,30.5,64.5,346215
GG15C1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,NA,NA,5.781,2.17,57.83,30.7,64.6,854495
GG15E1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,NA,NA,1.6,2.41,55.76,29.1,63.7,618695
GG15E2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,NA,NA,4.2224,3.43,63.2,36.7,58.7,623695
GG15E3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,9.1,9.1,5.085,2.85,62.14,23.7,70.4,634070
GG16C1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,2,7.9,15.8,7.304,3.415,65.79,31.5,63.2,657753
GG16C2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,NA,NA,3.154,2.426,59.57,53.1,41.6,721308
GG16E1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,2,8.5,17,4.23,3.225,64.52,23.5,68.9,NA
GG16E2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,27.2,27.2,2.952,3.11,53.53,41.3,51.2,499537
GG16E3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,NA,NA,7.722,1.78,54.7,32,62.4,1145854
GG16E4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,3,9.7,29.1,5.375,2.555,66.74,35.1,58,685763
