Date,exposed,n_worm_exp,Worm,Pop,Family,Name,RNAseq,FishID,Sex,worm_present,n_worms_found,avg_worm_mass,total_worm_mass,HK_count,weight,length,Freq Gran,Freq Lymph,Gran1,Gran2,Gran3,Gran4,Lobed_Gran,Lymph1,Lymph2,Lymph3,Lymph4,ISlymph,ISprecur,ISmyeloid,ISeos,Gran_bead1,Gran_ bead2,Gran_bead3,Lymph_bead1,Lymph_bead2,Lymph_bead3,A_Freq Gran,A_Freq Lymph,ROS1,ROS2,ROS3,ROS4,PMAhi,PMAlow,MFI_DHR,avg_spots_per_area,average_spot_size,avg_freq_pigmented,avg_CV,lymph,precursor,myeloid,eosinophil,BG_ROS_L,BG_ROS_G,PMA_ROS_L,PMA_ROS_G,BG_Lhi_MFI,BG_Llow_MFI,BG_Ladj_MFI,BG_Ghi_MFI,BG_Glo_MFI,BG_Gadj_MFI,P_Lhi_MFI,P_Llo_MFI,P_Ladj_MFI,P_Ghi_MFI,P_Glo_MFI,P_Gadj_MFI,NOTES
7/9/2014,F,0,Echo,GG,GG12,C1,Yes,GG12C1,F,F,0,NA,NA,2.8992,2.68,66.24,22.0358,76.9295,31.2183,44.5431,14.7208,9.5178,68.7817,24.2821,55.8706,2.908,16.9393,74.2729,0.6991,14.9609,1.9016,10.2,1.37,0.46,5.73,0.54,0.13,23.3,68.7,2,25.6,0.28,56.9,57.7,39.7,,,,,,30.7,8.05,12.5,1.04,0.02,9.94,41.1,93.4,883000,38392,844608,260023,50810,209213,1010000,24860,985140,1000000,58097,941903,
7/9/2014,F,0,Echo,GG,GG12,C2,Yes,GG12C2,M,F,0,NA,NA,1.272,2.72,61.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.73,1.47,0.48,6.1,0.73,0.19,28.2,67.6,5.21,25.3,0.19,58.3,28.2,68,,,,,,47.5,4.33,20.5,0.32,0.087,16.8,3.32,68.4,831000,19015,811985,253764,56240,197524,993000,24262,968738,709000,66429,642571,
7/9/2014,T,5,Echo,GG,GG12,E1,Yes,GG12E1,F,T,1,48.9,48.9,7.371,3.39,67.46,41.7064,55.3259,32.0839,43.5197,14.2948,10.1017,67.9162,35.2969,48.3238,5.1245,11.2548,50.3445,3.4446,30.4981,2.5967,10.5,1.38,0.44,5.96,0.66,0.12,29.6,66.5,1.85,25.5,0.1,60.4,27.6,67.7,,,,,,42.8,6.63,22.7,0.38,0.078,8.13,15.9,72.2,1600000,31209,1568791,216590,49788,166802,1250000,27629,1222371,1170000,56240,1113760,
7/9/2014,T,5,Echo,GG,GG12,E2,Yes,GG12E2,F,F,0,NA,NA,5.032,3.07,66.83,57.8388,39.9911,28.9433,41.4625,18.5681,11.026,71.0566,53.4884,33.7209,5.9247,6.866,34.256,3.3437,50.1993,0.8857,8.63,1.09,0.38,5.74,0.72,0.12,27.6,70.1,2.04,23.6,0.15,63.2,31,63.8,,,,,,49.7,5.48,22,0.39,0.15,9.65,13.3,85.7,1830000,28311,1801689,210519,52488,158031,1410000,20540,1389460,807000,52916,754084,
7/9/2014,T,5,Echo,GG,GG12,E3,Yes,GG12E3,M,T,1,34.9,34.9,8.4632,2.91,61.84,45.6231,52.547,23.3604,46.2873,19.6748,10.6775,76.6396,35.2,49.5529,4.7529,10.4941,47.0574,2.4728,39.3422,0.8655,9.25,1.19,0.4,5.99,0.6,0.13,31.5,64.2,2.9,30.9,0.11,53.5,30.6,64.9,,,,,,40.4,5.75,25.2,0.35,0.11,9.99,13.4,80.3,938000,34685,903315,221933,53347,168586,646000,34405,611595,525000,48590,476410,
7/9/2014,T,5,Echo,GG,GG12,E4,Yes,GG12E4,M,T,4,27.6,110.4,5.208,3.29,64.37,61.008,36.2431,31.0672,49.7628,12.8854,6.2846,68.9328,45.642,38.9887,6.853,8.5163,31.7579,3.6894,51.1695,1.4951,10.3,1.32,0.41,6.21,0.5,0.14,32.8,62.9,4.8,30.6,0.26,50.1,34.6,58.7,,,,,,41.5,6.02,26.4,0.33,0.13,13.5,7.87,70.8,851000,17746,833254,234918,56468,178450,514000,21305,492695,512000,64306,447694,
7/9/2014,T,5,Echo,GG,GG12,E5,Yes,GG12E5,M,F,0,NA,NA,2.862,3.1,63.05,55.5556,43.1805,28.254,40.6349,20,11.1111,71.746,53.4377,28.3867,9.1899,8.9857,37.184,3.4979,43.592,5.1734,9.37,0.95,0.33,6.07,0.61,0.15,20,78.1,2.72,17.1,0.091,70.3,19.3,75.5,,,,,,65.4,3.07,16.1,0.24,0.063,15.4,4.81,87.9,1030000,15520,1014480,229262,58097,171165,1080000,18709,1061291,741000,61746,679254,
5/5/2014,F,0,UBC,GG,GG13,C1,Yes,GG13C1,M,F,0,NA,NA,2.552,2.82,62.07,27.3238,69.8927,25.8879,48.785,14.486,10.8411,74.1121,60.6138,30.8367,3.1056,5.4439,63.2022,2.1961,21.0163,0.383,7.07,0.95,0.29,4.58,0.32,0.053,25.9,68.9,4.08,23.3,0.22,58.6,26.8,68.4,,,,,,42.9,6.04,17.2,1.5,0.7,13.5,13.7,72,379359,44799,334560,317279,70889,246390,993000,30212,962788,603000,53347,549653,
5/5/2014,F,0,UBC,GG,GG13,C2,Yes,GG13C2,M,F,0,NA,NA,2.64,2.26,58.9,22.8878,75.7901,25.4513,47.2924,16.9675,10.2888,74.5487,67.7841,25.3748,3.5705,3.2706,70.1921,1.7352,18.24,0.4338,5.75,0.7,0.19,3.75,0.29,0.051,29.8,64,5.06,26.4,0.22,53.5,19.7,73.4,,,,,,38,7.39,19,2.16,0.97,11.9,7.98,60.5,358390,51016,307374,396691,79427,317264,1030000,42151,987849,712000,60998,651002,
5/5/2014,T,5,UBC,GG,GG13,E2,Yes,GG13E2,F,F,0,NA,NA,2.4,2.04,63.96,25.7005,72.5847,32.0586,38.0797,18.0635,11.7982,67.9414,56.8136,30.3659,5.7044,7.1161,66.3112,3.325,20.2635,0.481,6.56,0.79,0.26,4.54,0.34,0.061,27.9,67.2,5.23,25,0.37,49.3,52,44.7,,,,,,33.3,11.2,18.8,0.99,1.27,15.3,38.1,83.6,382453,55558,326895,334481,78465,256016,1030000,35976,994024,946000,79750,866250,
