"Sample","library_name","CrossDir","WormSource","Sex","worm_present","Fused.Organs","BG_Gadj_MFI"
"010715_2","CDNA-3-1","F2","Gos","F",TRUE,FALSE,355472
"010715_3","CDNA-3-1","F2","Gos","F",TRUE,FALSE,280008
"010715_4","CDNA-3-1","F2","Gos","M",FALSE,FALSE,274143
"010715_5","CDNA-3-1","F2","Gos","F",TRUE,FALSE,215267
"010715_6","CDNA-3-1","F2","Gos","M",FALSE,FALSE,277799
"011415_10","CDNA-13-2","GBC","Gos","M",FALSE,FALSE,340981
"011415_11","CDNA-13-2","GBC","Gos","M",FALSE,FALSE,354883
"011415_12","CDNA-13-2","GBC","Gos","M",FALSE,FALSE,339223
"011415_13","CDNA-13-2","GBC","Gos","M",FALSE,FALSE,351680
"011415_15","CDNA-18","GBC","Gos","M",FALSE,FALSE,379527
"011415_3","CDNA-13-2","GBC","Gos","F",TRUE,FALSE,307107
"011415_4","CDNA-13-2","GBC","Gos","F",FALSE,FALSE,297825
"011415_7","CDNA-13-2","GBC","Gos","M",FALSE,FALSE,289786
"011415_8","CDNA-13-2","GBC","Gos","M",FALSE,FALSE,282019
"011415_9","CDNA-13-2","GBC","Gos","M",FALSE,FALSE,367341
"012715_11","CDNA-9-10","RBC","Gos","M",TRUE,FALSE,412178
"012715_16","CDNA-9-10","RBC","Gos","M",FALSE,FALSE,336128
"012715_17","CDNA-9-10","RBC","Gos","F",TRUE,FALSE,295355
"012715_18","CDNA-9-10","RBC","Gos","M",TRUE,FALSE,235307
"012715_2","CDNA-13-2","GBC","Gos","M",TRUE,FALSE,341201
"012715_5","CDNA-6-15","GBC","Gos","F",TRUE,FALSE,310293
"012715_6","CDNA-6-15","GBC","Gos","F",FALSE,FALSE,287799
"012715_7","CDNA-6-15","GBC","Gos","M",FALSE,FALSE,260908
"012815_11","CDNA-10-15","GBC","Gos","F",FALSE,FALSE,333333
"012815_2","CDNA-6-15","GBC","Gos","F",FALSE,FALSE,269393
