Transcript,Taus
ENSGACT00000004944,0.184625548
ENSGACT00000012756,0.150572175
ENSGACT00000026144,-0.078550933
ENSGACT00000006914,-0.108772324
ENSGACT00000013346,0.083346859
ENSGACT00000015765,0.153613321
ENSGACT00000010686,-0.187561211
ENSGACT00000016550,-0.11000097
ENSGACT00000008146,0.119590497
ENSGACT00000000387,0.132629421
ENSGACT00000000932,0.10114637
ENSGACT00000023078,-0.088422596
ENSGACT00000003487,-0.127144955
ENSGACT00000007124,-0.122490085
ENSGACT00000012662,-0.08503883
ENSGACT00000006551,0.089341768
ENSGACT00000012371,0.123038976
ENSGACT00000003273,0.141167178
ENSGACT00000005994,0.120814667
ENSGACT00000027338,0.107220701
ENSGACT00000003586,0.125479507
ENSGACT00000017431,-0.077573803
ENSGACT00000004536,0.205052384
ENSGACT00000000952,-0.106903323
ENSGACT00000016427,0.124400038
ENSGACT00000013465,-0.117129932
ENSGACT00000020552,0.124007563
ENSGACT00000025210,0.086773293
ENSGACT00000007022,-0.085620676
ENSGACT00000002677,-0.147633436
ENSGACT00000007222,-0.123689479
ENSGACT00000018126,-0.096553582
ENSGACT00000012594,0.094007025
ENSGACT00000014136,-0.077330965
ENSGACT00000001451,0.139845672
ENSGACT00000019852,0.089694409
ENSGACT00000000554,0.180733044
ENSGACT00000001472,0.098280209
ENSGACT00000019166,-0.139163015
ENSGACT00000002330,-0.155515168
ENSGACT00000016264,0.120527395
ENSGACT00000026043,-0.129177833
ENSGACT00000015286,0.117432035
ENSGACT00000024650,-0.148705073
ENSGACT00000018228,0.128414465
ENSGACT00000012987,-0.093632632
ENSGACT00000012975,-0.110983934
ENSGACT00000010966,0.134197735
ENSGACT00000014796,0.09604374
ENSGACT00000020807,0.104879516
ENSGACT00000010596,0.098369395
ENSGACT00000013226,0.105528021
ENSGACT00000026577,-0.092480279
ENSGACT00000001750,0.126051652
ENSGACT00000016104,-0.086259311
ENSGACT00000022443,0.122944372
ENSGACT00000022762,0.139760258
ENSGACT00000027033,-0.196265028
ENSGACT00000023738,-0.105440901
ENSGACT00000026940,0.139501766
ENSGACT00000018086,0.121608481
ENSGACT00000023341,0.101931076
ENSGACT00000023924,-0.120162361
ENSGACT00000011791,-0.077465522
ENSGACT00000016651,0.205572463
ENSGACT00000021284,-0.100565872
ENSGACT00000012977,-0.158136906
ENSGACT00000002097,-0.0818305
ENSGACT00000008355,-0.075306629
ENSGACT00000017039,-0.077483291
ENSGACT00000016165,0.129302979
ENSGACT00000010826,-0.107538078
ENSGACT00000007123,-0.081269632
ENSGACT00000007184,0.107502814
ENSGACT00000020857,0.076505611
ENSGACT00000017986,0.125645174
ENSGACT00000000022,0.076399818
ENSGACT00000006567,0.104607815
ENSGACT00000004767,0.117835215
ENSGACT00000014922,-0.165826812
ENSGACT00000013510,-0.075433084
ENSGACT00000011746,-0.077512196
ENSGACT00000007646,0.155462081
ENSGACT00000021263,0.11575411
ENSGACT00000008463,0.099869748
ENSGACT00000027063,0.108753225
ENSGACT00000007729,-0.076380676
ENSGACT00000003820,-0.076904329
ENSGACT00000023730,0.121875741
ENSGACT00000018248,-0.076646668
ENSGACT00000017035,-0.110537752
ENSGACT00000003319,0.089915666
ENSGACT00000017443,0.121519773
ENSGACT00000015946,-0.125687643
ENSGACT00000003882,-0.09942732
ENSGACT00000025471,0.111715637
ENSGACT00000026102,0.091715722
ENSGACT00000013813,-0.108574848
ENSGACT00000005521,0.115119874
ENSGACT00000015801,-0.10344876
ENSGACT00000007062,-0.130283466
ENSGACT00000007198,0.106121283
ENSGACT00000026379,0.100751805
ENSGACT00000014490,0.132279528
ENSGACT00000012509,0.158382162
ENSGACT00000017021,0.152407171
ENSGACT00000020761,-0.083487916
ENSGACT00000003287,-0.14929385
ENSGACT00000026694,0.090789422
ENSGACT00000024050,-0.112606812
ENSGACT00000016458,-0.102497361
ENSGACT00000013462,0.085704611
ENSGACT00000007429,0.167416634
ENSGACT00000021520,0.084357535
ENSGACT00000004831,-0.134769647
ENSGACT00000014008,0.095759846
ENSGACT00000010289,0.127818552
ENSGACT00000016739,0.081346878
ENSGACT00000000213,0.116577303
ENSGACT00000005132,0.130671372
ENSGACT00000001316,0.125507547
ENSGACT00000010353,-0.08987073
ENSGACT00000008634,-0.092515543
ENSGACT00000012287,-0.100132603
ENSGACT00000025643,0.079178665
ENSGACT00000025280,0.137336299
ENSGACT00000018243,-0.07632929
ENSGACT00000009770,-0.106868059
ENSGACT00000018353,-0.107349738
ENSGACT00000021758,0.103620384
ENSGACT00000006024,-0.095185437
ENSGACT00000018130,0.082923689
ENSGACT00000004885,0.089592046
ENSGACT00000004458,0.139346357
ENSGACT00000005541,0.078738323
ENSGACT00000000900,0.126860951
ENSGACT00000002221,0.102586227
ENSGACT00000010567,0.096136473
ENSGACT00000010585,0.103905869
ENSGACT00000012367,0.133915675
ENSGACT00000021437,0.080173084
ENSGACT00000009785,-0.143838801
ENSGACT00000008711,0.090520259
ENSGACT00000011921,0.09332682
ENSGACT00000001969,0.083131904
ENSGACT00000000511,0.142555742
ENSGACT00000015271,-0.075516548
ENSGACT00000011689,-0.079397273
ENSGACT00000003973,0.088424899
ENSGACT00000024692,0.252682569
ENSGACT00000001126,0.146728503
ENSGACT00000020914,0.103924745
ENSGACT00000027440,-0.09203194
ENSGACT00000027348,-0.114287362
ENSGACT00000017744,0.120739238
ENSGACT00000004917,0.102853109
ENSGACT00000012027,-0.082605147
ENSGACT00000003238,-0.089588617
ENSGACT00000002474,0.099215735
ENSGACT00000020828,0.076234215
ENSGACT00000017531,-0.116637024
ENSGACT00000015974,-0.097481896
ENSGACT00000004757,0.092813457
ENSGACT00000006210,0.157331082
ENSGACT00000021845,0.077880913
ENSGACT00000016516,-0.12691085
ENSGACT00000005723,-0.174158802
ENSGACT00000011657,0.096783888
ENSGACT00000019917,0.185857708
ENSGACT00000018630,-0.084424461
ENSGACT00000001479,0.106320305
ENSGACT00000015908,0.106785212
ENSGACT00000020279,0.085612833
ENSGACT00000017111,0.076998588
ENSGACT00000003518,0.108935388
ENSGACT00000012000,-0.170696202
ENSGACT00000003644,-0.118117081
ENSGACT00000023404,0.141920641
ENSGACT00000008733,-0.084112713
ENSGACT00000014481,-0.09045435
ENSGACT00000026226,-0.138593744
ENSGACT00000023408,0.143621548
ENSGACT00000025562,0.095865639
ENSGACT00000014406,0.106813938
ENSGACT00000007776,0.136130384
ENSGACT00000025566,0.089211882
ENSGACT00000002430,0.107112401
ENSGACT00000001326,0.214653414
ENSGACT00000011069,0.096183016
ENSGACT00000018792,0.085744823
ENSGACT00000007751,0.082138494
ENSGACT00000004849,0.104771291
ENSGACT00000018493,-0.172670995
ENSGACT00000020677,0.178880247
ENSGACT00000000508,0.093653713
ENSGACT00000006689,-0.120480027
ENSGACT00000009019,0.100693354
ENSGACT00000004098,-0.140060675
ENSGACT00000014534,-0.08848135
ENSGACT00000004690,0.093102209
ENSGACT00000003446,0.118876304
ENSGACT00000018713,0.102550699
ENSGACT00000026778,-0.132046674
ENSGACT00000013948,-0.088742277
ENSGACT00000023346,0.090696578
ENSGACT00000011135,0.096848882
ENSGACT00000012158,-0.143536737
ENSGACT00000008830,-0.084193199
ENSGACT00000014897,-0.1064686
ENSGACT00000012256,0.083358403
ENSGACT00000026464,-0.110714077
ENSGACT00000008326,0.104329039
ENSGACT00000009755,-0.087284657
ENSGACT00000024345,-0.117941007
ENSGACT00000023418,0.128702798
ENSGACT00000012981,-0.113373459
ENSGACT00000019938,0.095990373
ENSGACT00000004169,-0.161774367
ENSGACT00000014235,0.120558779
ENSGACT00000012785,0.194111609
ENSGACT00000019100,0.100767358
ENSGACT00000003084,-0.118029957
ENSGACT00000002064,0.085057741
ENSGACT00000027332,0.090399693
ENSGACT00000022763,-0.104723973
ENSGACT00000005101,0.128074685
ENSGACT00000022889,0.088896241
ENSGACT00000012529,0.10291022
ENSGACT00000025816,-0.132152467
ENSGACT00000013898,-0.112937508
ENSGACT00000020985,0.079890971
ENSGACT00000014971,0.123484407
ENSGACT00000022710,0.077034573
ENSGACT00000000181,-0.106056983
ENSGACT00000023500,-0.121857025
ENSGACT00000006280,0.094455072
ENSGACT00000003845,0.075064805
ENSGACT00000022226,0.143582369
ENSGACT00000004880,0.114097213
ENSGACT00000009401,-0.093608732
ENSGACT00000022454,-0.086381313
ENSGACT00000007941,-0.135630323
ENSGACT00000004762,0.099788026
ENSGACT00000026161,-0.107829351
ENSGACT00000017933,0.137876621
ENSGACT00000010020,-0.130918221
ENSGACT00000005265,0.13116507
ENSGACT00000019368,0.159894157
ENSGACT00000006373,-0.124218029
ENSGACT00000020180,-0.153698873
ENSGACT00000021165,0.083380036
ENSGACT00000022582,-0.086943804
ENSGACT00000022580,0.115366723
ENSGACT00000001454,0.121073072
ENSGACT00000017553,-0.097805168
ENSGACT00000000474,0.087347772
ENSGACT00000004061,0.142379075
ENSGACT00000020769,-0.101931076
ENSGACT00000018564,0.077539851
ENSGACT00000022680,-0.120526334
ENSGACT00000005677,-0.091896997
ENSGACT00000001400,0.086238521
ENSGACT00000013223,0.092797656
ENSGACT00000000107,0.091529004
ENSGACT00000016166,0.12904922
ENSGACT00000011445,-0.091562491
ENSGACT00000014327,0.116672278
ENSGACT00000025964,0.14893821
ENSGACT00000013681,-0.179597393
ENSGACT00000007644,0.085180596
ENSGACT00000000445,0.126911936
ENSGACT00000009843,0.084413309
ENSGACT00000018560,0.117369098
ENSGACT00000017116,-0.132928279
ENSGACT00000004952,0.079949687
ENSGACT00000012410,0.142758666
ENSGACT00000009812,0.10154317
ENSGACT00000010443,0.11085291
