Transcript,Taus
ENSGACT00000012039,-0.08393934
ENSGACT00000009046,-0.106708264
ENSGACT00000002782,0.090112103
ENSGACT00000008935,0.096195325
ENSGACT00000020574,0.13468744
ENSGACT00000013346,0.134267907
ENSGACT00000009354,0.153984186
ENSGACT00000016550,-0.091034085
ENSGACT00000021958,0.093398441
ENSGACT00000000562,-0.078609696
ENSGACT00000007124,-0.08633631
ENSGACT00000012589,0.102799936
ENSGACT00000022836,-0.090169169
ENSGACT00000012087,-0.096180536
ENSGACT00000010956,0.140043441
ENSGACT00000005787,0.118189715
ENSGACT00000016991,0.093860366
ENSGACT00000021554,-0.11814188
ENSGACT00000005967,0.093860366
ENSGACT00000017848,-0.081502882
ENSGACT00000017431,-0.111050913
ENSGACT00000005946,-0.092428005
ENSGACT00000023531,-0.08447777
ENSGACT00000022501,-0.076361169
ENSGACT00000009358,0.081476724
ENSGACT00000027217,0.155454303
ENSGACT00000020552,0.100645059
ENSGACT00000018463,0.122097022
ENSGACT00000019935,0.162726201
ENSGACT00000007022,-0.076593889
ENSGACT00000000693,-0.07785172
ENSGACT00000025477,-0.095989415
ENSGACT00000011043,-0.080943362
ENSGACT00000002677,-0.088503895
ENSGACT00000015541,-0.07732723
ENSGACT00000025547,0.126124139
ENSGACT00000025544,-0.138917727
ENSGACT00000019852,0.145490404
ENSGACT00000005242,-0.098642599
ENSGACT00000013359,-0.119304578
ENSGACT00000024123,-0.08822414
ENSGACT00000010995,-0.083749192
ENSGACT00000010584,-0.082143929
ENSGACT00000019166,-0.117117693
ENSGACT00000003013,0.092264987
ENSGACT00000026043,-0.102964424
ENSGACT00000015286,0.088837809
ENSGACT00000024650,-0.151485599
ENSGACT00000018228,0.089168155
ENSGACT00000013058,0.094097662
ENSGACT00000023530,0.120369172
ENSGACT00000003347,-0.107243017
ENSGACT00000003679,-0.099656469
ENSGACT00000014796,0.09374193
ENSGACT00000005810,-0.088438318
ENSGACT00000025498,0.095635949
ENSGACT00000026577,-0.12101767
ENSGACT00000024150,-0.078854645
ENSGACT00000023873,-0.102173665
ENSGACT00000020376,0.076197606
ENSGACT00000021126,-0.080836625
ENSGACT00000016838,0.093860366
ENSGACT00000027033,-0.083175698
ENSGACT00000025379,-0.07690203
ENSGACT00000024136,-0.095807222
ENSGACT00000023341,0.089238077
ENSGACT00000023097,-0.097839065
ENSGACT00000021905,-0.100308815
ENSGACT00000026332,-0.109183696
ENSGACT00000023924,-0.103328381
ENSGACT00000011791,-0.095505695
ENSGACT00000017430,0.124094242
ENSGACT00000026259,-0.15773979
ENSGACT00000024978,-0.081732557
ENSGACT00000007810,-0.132671093
ENSGACT00000021284,-0.081362531
ENSGACT00000012977,-0.105054642
ENSGACT00000008355,-0.085532206
ENSGACT00000018597,-0.0760228
ENSGACT00000023286,-0.081931672
ENSGACT00000002779,-0.119341936
ENSGACT00000007184,0.176430932
ENSGACT00000020857,0.146294508
ENSGACT00000008632,0.180615435
ENSGACT00000000022,0.152482614
ENSGACT00000004767,0.157621888
ENSGACT00000003663,-0.093574728
ENSGACT00000014922,-0.138977079
ENSGACT00000027072,-0.129478244
ENSGACT00000011746,-0.078961114
ENSGACT00000017210,0.122835644
ENSGACT00000017477,0.110459433
ENSGACT00000026851,-0.075972501
ENSGACT00000027571,-0.132198895
ENSGACT00000011756,-0.075413583
ENSGACT00000006964,0.086651539
ENSGACT00000003820,-0.080911242
ENSGACT00000003150,0.133775734
ENSGACT00000012665,-0.101859015
ENSGACT00000027117,-0.11269694
ENSGACT00000013782,0.103502185
ENSGACT00000003319,0.145569405
ENSGACT00000021801,0.089902337
ENSGACT00000012510,-0.131502718
ENSGACT00000005745,-0.077218018
ENSGACT00000024350,-0.090002393
ENSGACT00000003882,-0.104760782
ENSGACT00000006339,-0.109480524
ENSGACT00000022197,-0.094652866
ENSGACT00000025043,-0.103267943
ENSGACT00000024523,-0.096789663
ENSGACT00000019610,-0.095845536
ENSGACT00000005521,0.152272847
ENSGACT00000022724,0.150000379
ENSGACT00000011972,-0.075100596
ENSGACT00000008118,0.129757932
ENSGACT00000020761,-0.097908417
ENSGACT00000024490,-0.08402888
ENSGACT00000016213,0.075288618
ENSGACT00000001692,0.117023247
ENSGACT00000026694,0.133501445
ENSGACT00000016458,-0.098504733
ENSGACT00000007800,-0.07983635
ENSGACT00000000840,0.104632603
ENSGACT00000021520,0.083003086
ENSGACT00000000517,-0.108850677
ENSGACT00000004831,-0.119187077
ENSGACT00000014008,0.15202812
ENSGACT00000018477,-0.092004859
ENSGACT00000015213,-0.077488347
ENSGACT00000011206,0.079553866
ENSGACT00000022900,0.08035797
ENSGACT00000024302,-0.078155424
ENSGACT00000015602,-0.080987269
ENSGACT00000005132,0.107662549
ENSGACT00000011676,0.100110963
ENSGACT00000010353,-0.10836177
ENSGACT00000008634,-0.077421242
ENSGACT00000012287,-0.079763632
ENSGACT00000012150,0.10481624
ENSGACT00000007548,-0.12780044
ENSGACT00000022378,-0.086546076
ENSGACT00000019314,0.143182975
ENSGACT00000011752,0.098572677
ENSGACT00000021876,-0.083016677
ENSGACT00000018254,0.078609918
ENSGACT00000017158,0.107768639
ENSGACT00000025563,0.110913927
ENSGACT00000009770,-0.104201405
ENSGACT00000018381,0.108593379
ENSGACT00000001536,0.12070302
ENSGACT00000023982,0.109736023
ENSGACT00000021758,0.123710696
ENSGACT00000003754,0.096999429
ENSGACT00000025422,-0.108606498
ENSGACT00000012434,-0.076920391
ENSGACT00000023067,0.085637089
ENSGACT00000004458,0.117171955
ENSGACT00000016920,-0.13468744
ENSGACT00000010296,-0.113669037
ENSGACT00000024597,-0.100285768
ENSGACT00000021776,-0.089266942
ENSGACT00000021099,-0.170802203
ENSGACT00000016638,-0.094901767
ENSGACT00000021437,0.096614858
ENSGACT00000014084,-0.107023561
ENSGACT00000014377,0.093608208
ENSGACT00000001323,-0.110607739
ENSGACT00000006743,-0.126691584
ENSGACT00000006109,0.115458863
ENSGACT00000024692,0.093794028
ENSGACT00000027440,-0.082095796
ENSGACT00000002474,0.109655329
ENSGACT00000020828,0.147608819
ENSGACT00000004838,0.075745875
ENSGACT00000005379,0.094866805
ENSGACT00000002570,-0.095496104
ENSGACT00000025966,0.079169295
ENSGACT00000006210,0.093258597
ENSGACT00000021845,0.105529925
ENSGACT00000012548,-0.084384261
ENSGACT00000020667,-0.078313158
ENSGACT00000006812,-0.078225346
ENSGACT00000003518,0.111215563
ENSGACT00000006515,0.090496674
ENSGACT00000007578,-0.079886531
ENSGACT00000023404,0.086266388
ENSGACT00000008733,-0.111421793
ENSGACT00000019519,-0.076785437
ENSGACT00000025562,0.132205205
ENSGACT00000010830,-0.076003946
ENSGACT00000004721,-0.096579897
ENSGACT00000001572,-0.09160311
ENSGACT00000011069,0.155489264
ENSGACT00000012223,-0.089788821
ENSGACT00000018792,0.131471023
ENSGACT00000007751,0.083145723
ENSGACT00000008013,-0.086785524
