Transcript,Taus
ENSGACT00000012039,0.117579194
ENSGACT00000011002,0.11664756
ENSGACT00000026391,-0.104901079
ENSGACT00000013969,0.112427498
ENSGACT00000002782,-0.07400353
ENSGACT00000008935,-0.134776777
ENSGACT00000020574,-0.06875982
ENSGACT00000008014,-0.105471967
ENSGACT00000026144,-0.10164729
ENSGACT00000006914,-0.115200262
ENSGACT00000009354,-0.092989845
ENSGACT00000010686,-0.092665339
ENSGACT00000008787,-0.080775075
ENSGACT00000013569,0.094762383
ENSGACT00000007994,0.122824631
ENSGACT00000008290,0.083768703
ENSGACT00000021382,0.161533141
ENSGACT00000000387,0.142186149
ENSGACT00000021958,-0.09801703
ENSGACT00000000932,0.1478955
ENSGACT00000011284,0.160375915
ENSGACT00000000562,0.109789944
ENSGACT00000019007,0.123277434
ENSGACT00000022108,0.126924632
ENSGACT00000002641,-0.094010298
ENSGACT00000021888,0.131980132
ENSGACT00000007124,0.112000255
ENSGACT00000010049,0.081103795
ENSGACT00000012596,0.094774094
ENSGACT00000012589,-0.092988075
ENSGACT00000022836,0.140706942
ENSGACT00000016826,-0.083813649
ENSGACT00000006551,0.114554882
ENSGACT00000012087,0.135306182
ENSGACT00000010956,-0.143146223
ENSGACT00000021792,0.097308016
ENSGACT00000003273,0.123053904
ENSGACT00000016026,-0.072916898
ENSGACT00000023138,0.099899387
ENSGACT00000021554,0.111191105
ENSGACT00000021168,0.108854029
ENSGACT00000003747,0.103466523
ENSGACT00000016323,0.11013798
ENSGACT00000005994,0.099487641
ENSGACT00000015939,0.112368296
ENSGACT00000021433,0.091709762
ENSGACT00000027338,0.097828794
ENSGACT00000017848,0.170290193
ENSGACT00000017431,0.151860509
ENSGACT00000005946,0.118730096
ENSGACT00000023531,0.136987638
ENSGACT00000008224,-0.0855128
ENSGACT00000012743,0.110357551
ENSGACT00000022501,0.127296365
ENSGACT00000026590,-0.126409319
ENSGACT00000009167,-0.156316322
ENSGACT00000009358,-0.140154941
ENSGACT00000006148,0.1294786
ENSGACT00000016806,0.082172376
ENSGACT00000010333,-0.116302786
ENSGACT00000027217,-0.08123716
ENSGACT00000014907,-0.088412969
ENSGACT00000010854,-0.107887682
ENSGACT00000002098,0.114382728
ENSGACT00000016975,0.12998711
ENSGACT00000019935,-0.082608591
ENSGACT00000001425,0.117044634
ENSGACT00000025210,0.138281841
ENSGACT00000007022,0.122710348
ENSGACT00000011093,0.12970528
ENSGACT00000000693,0.182627771
ENSGACT00000025477,0.175980578
ENSGACT00000003413,0.147765042
ENSGACT00000001104,0.157514018
ENSGACT00000011043,0.154856107
ENSGACT00000025459,0.112256469
ENSGACT00000002677,-0.105734694
ENSGACT00000015541,0.114342386
ENSGACT00000022527,-0.152454014
ENSGACT00000007228,0.110358794
ENSGACT00000018126,-0.094623296
ENSGACT00000021438,0.132508981
ENSGACT00000014136,-0.092291087
ENSGACT00000025547,-0.12874306
ENSGACT00000001451,0.067041501
ENSGACT00000014093,0.130762543
ENSGACT00000019852,-0.160323054
ENSGACT00000005242,0.08718003
ENSGACT00000013359,0.098151484
ENSGACT00000017577,0.082936998
ENSGACT00000008300,-0.07782187
ENSGACT00000024123,0.128807618
ENSGACT00000000554,0.089403143
ENSGACT00000003318,0.116360246
ENSGACT00000010995,0.130151557
ENSGACT00000010584,0.134703707
ENSGACT00000019166,-0.076403076
ENSGACT00000002330,-0.138586009
ENSGACT00000020308,0.106120556
ENSGACT00000015286,-0.107767115
ENSGACT00000024650,0.126892179
ENSGACT00000016966,0.14709868
ENSGACT00000010114,0.117615593
ENSGACT00000018228,-0.099953169
ENSGACT00000012987,-0.110878263
ENSGACT00000012975,-0.088180756
ENSGACT00000010966,0.081841496
ENSGACT00000013058,-0.135287703
ENSGACT00000023530,-0.087228123
ENSGACT00000011105,0.135750942
ENSGACT00000000619,0.10431582
ENSGACT00000003347,0.121788512
ENSGACT00000012292,-0.150265888
ENSGACT00000003679,0.092988447
ENSGACT00000007147,0.153736796
ENSGACT00000010596,0.122407001
ENSGACT00000013226,0.080457326
ENSGACT00000005810,0.097052008
ENSGACT00000020340,0.139294434
ENSGACT00000023220,-0.085756316
ENSGACT00000015170,0.145274252
ENSGACT00000025498,-0.110736386
ENSGACT00000006952,0.113506141
ENSGACT00000026577,0.128968361
ENSGACT00000023029,0.142332887
ENSGACT00000016104,0.109606499
ENSGACT00000008141,0.128794443
ENSGACT00000024150,0.069378309
ENSGACT00000026016,-0.074756473
ENSGACT00000007081,0.177928228
ENSGACT00000022443,0.098779193
ENSGACT00000013565,0.126467126
ENSGACT00000022730,0.165258606
ENSGACT00000003787,-0.121026657
ENSGACT00000020178,0.093691256
ENSGACT00000023873,0.09901199
ENSGACT00000020406,0.145264196
ENSGACT00000014705,0.156202238
ENSGACT00000020376,-0.07631614
ENSGACT00000006793,0.133898352
ENSGACT00000021126,0.139760278
ENSGACT00000010141,0.122627053
ENSGACT00000022762,0.097770757
ENSGACT00000012243,0.114310899
ENSGACT00000023399,-0.081129596
ENSGACT00000027033,-0.10047122
ENSGACT00000023738,0.149749544
ENSGACT00000025379,0.110605919
ENSGACT00000024136,0.129517256
ENSGACT00000026940,0.078170973
ENSGACT00000010031,0.096298796
ENSGACT00000018086,0.13157677
ENSGACT00000023341,-0.082985063
ENSGACT00000023097,0.11905438
ENSGACT00000021905,0.126093822
ENSGACT00000026332,0.149350615
ENSGACT00000023924,0.098184871
ENSGACT00000011791,0.109012876
ENSGACT00000007897,0.075987811
ENSGACT00000003268,0.094091536
ENSGACT00000017430,-0.123079272
ENSGACT00000026259,0.102461087
ENSGACT00000024978,0.139378206
ENSGACT00000023712,0.149967356
ENSGACT00000023721,0.091469728
ENSGACT00000005315,0.14297882
ENSGACT00000023365,0.146432868
ENSGACT00000012977,-0.09055522
ENSGACT00000002097,-0.074971599
ENSGACT00000010100,0.142062358
ENSGACT00000007252,0.153681022
ENSGACT00000016518,0.179055328
ENSGACT00000018204,0.105288101
ENSGACT00000016935,0.092713051
ENSGACT00000008355,0.159623892
ENSGACT00000017039,0.076472658
ENSGACT00000018597,0.110359915
ENSGACT00000023286,0.141051464
ENSGACT00000006876,0.152561487
ENSGACT00000023238,0.087801492
ENSGACT00000003848,0.092908448
ENSGACT00000007184,-0.109956553
ENSGACT00000020857,-0.101028801
ENSGACT00000008632,-0.146449605
ENSGACT00000017986,0.081223821
ENSGACT00000000022,-0.097721231
ENSGACT00000006567,0.099564672
ENSGACT00000004767,-0.105385114
ENSGACT00000014688,0.100850231
ENSGACT00000001640,0.119671426
ENSGACT00000003663,0.110069157
ENSGACT00000014922,0.107420844
ENSGACT00000013510,0.103049752
ENSGACT00000012578,-0.09505904
ENSGACT00000027072,0.128833906
ENSGACT00000013188,0.122737255
ENSGACT00000003982,-0.10040425
ENSGACT00000002645,0.105503271
ENSGACT00000015702,0.131872569
ENSGACT00000011746,0.107498202
ENSGACT00000021219,0.093929625
ENSGACT00000025998,0.131060489
ENSGACT00000013517,-0.173849135
ENSGACT00000017210,-0.136981824
ENSGACT00000017477,-0.159677674
ENSGACT00000026851,0.112380959
ENSGACT00000027571,0.093738806
ENSGACT00000005895,-0.106837218
ENSGACT00000007821,0.144677707
ENSGACT00000008463,0.088648626
ENSGACT00000017442,0.121623463
ENSGACT00000006434,0.141465804
ENSGACT00000026588,-0.091751469
ENSGACT00000010011,-0.108208649
ENSGACT00000011756,0.149137732
ENSGACT00000004227,0.11082776
ENSGACT00000006964,-0.097305074
ENSGACT00000007729,0.107637728
ENSGACT00000004096,0.098662409
ENSGACT00000024670,0.082689264
ENSGACT00000003820,0.129645412
ENSGACT00000003150,-0.123727581
ENSGACT00000023730,0.14246621
ENSGACT00000018248,-0.128080964
ENSGACT00000005029,-0.090191802
ENSGACT00000012665,0.069270746
ENSGACT00000002887,-0.102077543
ENSGACT00000017035,-0.070899064
ENSGACT00000013782,-0.148625548
ENSGACT00000021801,-0.084060695
ENSGACT00000020148,0.09137041
ENSGACT00000005745,0.119762911
ENSGACT00000020884,-0.091132347
ENSGACT00000018218,-0.110498807
ENSGACT00000024350,0.140376357
ENSGACT00000001977,-0.10373781
ENSGACT00000010681,0.118825987
ENSGACT00000011489,0.131585833
ENSGACT00000015946,-0.084950543
ENSGACT00000003882,0.135287703
ENSGACT00000006339,0.099254007
ENSGACT00000022197,0.117462159
ENSGACT00000025043,0.084851898
ENSGACT00000026102,0.13341928
ENSGACT00000027543,0.126171716
ENSGACT00000024523,0.118212034
ENSGACT00000013134,-0.145640667
ENSGACT00000001342,0.135895515
ENSGACT00000026370,-0.114907249
ENSGACT00000019610,0.121335633
ENSGACT00000014263,-0.109319723
ENSGACT00000007156,-0.095945252
ENSGACT00000013520,0.107078762
ENSGACT00000005521,-0.088927933
ENSGACT00000027086,-0.112672525
ENSGACT00000004728,0.08124389
ENSGACT00000022724,-0.128403653
ENSGACT00000026969,0.12447811
ENSGACT00000011972,0.120143695
ENSGACT00000009693,0.08460191
ENSGACT00000010073,0.091364531
ENSGACT00000014495,0.10116231
ENSGACT00000012509,0.079165069
ENSGACT00000019143,0.139741097
ENSGACT00000024469,0.06995381
ENSGACT00000017021,0.082427867
ENSGACT00000008118,-0.115711188
ENSGACT00000022154,-0.141472591
ENSGACT00000020556,-0.122815296
ENSGACT00000012595,0.104338471
ENSGACT00000020761,0.127892728
ENSGACT00000024490,0.127193567
ENSGACT00000013692,0.133055526
ENSGACT00000016213,-0.152686062
ENSGACT00000005342,0.123321289
ENSGACT00000009105,0.136202842
ENSGACT00000023321,0.123508689
ENSGACT00000001692,-0.086746985
ENSGACT00000026694,-0.112580668
ENSGACT00000026655,0.105075726
ENSGACT00000013462,0.139919645
ENSGACT00000016034,0.093988915
ENSGACT00000007429,0.079516147
ENSGACT00000005286,0.131030658
ENSGACT00000007800,0.13344622
ENSGACT00000006141,0.08078326
ENSGACT00000000840,-0.103192669
ENSGACT00000021520,-0.08619084
ENSGACT00000014165,0.136638076
ENSGACT00000000232,0.0974217
ENSGACT00000004831,-0.120116908
ENSGACT00000014008,-0.109176719
ENSGACT00000010289,0.153965303
ENSGACT00000012325,-0.117621428
ENSGACT00000015213,0.085483003
ENSGACT00000011206,-0.092934665
ENSGACT00000022900,-0.124585157
ENSGACT00000024302,0.093311137
ENSGACT00000015602,0.130232229
ENSGACT00000016739,0.102515411
ENSGACT00000012699,0.106078561
ENSGACT00000000213,0.145434577
ENSGACT00000024794,-0.120981788
ENSGACT00000005132,-0.123186835
ENSGACT00000016428,0.17057802
ENSGACT00000024019,-0.092429927
ENSGACT00000001316,0.083553059
ENSGACT00000011676,-0.12203053
ENSGACT00000017453,0.104795621
ENSGACT00000022386,-0.108854029
ENSGACT00000015609,0.10746286
ENSGACT00000022608,0.117292648
ENSGACT00000010353,0.12598348
ENSGACT00000010328,-0.177882758
ENSGACT00000006826,-0.133055765
ENSGACT00000012519,0.136272125
ENSGACT00000023575,0.097909455
ENSGACT00000017229,0.11719489
ENSGACT00000012287,-0.103771665
ENSGACT00000013612,0.114466768
ENSGACT00000012150,-0.164280623
ENSGACT00000007548,0.081171074
ENSGACT00000026217,0.17595768
ENSGACT00000019314,-0.107321253
ENSGACT00000025643,0.098319463
ENSGACT00000011752,-0.089250623
ENSGACT00000021876,0.135088735
ENSGACT00000018254,-0.08486742
ENSGACT00000017134,-0.095937516
ENSGACT00000017158,-0.094737999
ENSGACT00000023732,0.130469358
ENSGACT00000015014,0.086603311
ENSGACT00000008942,-0.126266214
ENSGACT00000025791,0.116710273
ENSGACT00000003779,0.123964186
ENSGACT00000002689,-0.095988701
ENSGACT00000021397,0.132945698
ENSGACT00000011527,0.111121486
ENSGACT00000022133,-0.115296695
ENSGACT00000025563,-0.077553118
ENSGACT00000018243,-0.186084457
ENSGACT00000017054,0.15203031
ENSGACT00000007476,0.110824388
ENSGACT00000009770,0.117620436
ENSGACT00000001664,0.095870256
ENSGACT00000018381,-0.159173142
ENSGACT00000018615,0.092153977
ENSGACT00000023982,-0.087657721
ENSGACT00000021758,-0.088272422
ENSGACT00000020319,0.113195552
ENSGACT00000003754,-0.113183451
ENSGACT00000023149,0.136793588
ENSGACT00000025422,0.141607045
ENSGACT00000023767,0.111819042
ENSGACT00000007438,0.200285747
ENSGACT00000007456,0.120878402
ENSGACT00000012434,0.152666732
ENSGACT00000005816,-0.139843536
ENSGACT00000018130,0.117620436
ENSGACT00000010179,-0.067187157
ENSGACT00000023067,-0.148168404
ENSGACT00000023537,0.127960074
ENSGACT00000010296,0.118576574
ENSGACT00000014215,0.097425432
ENSGACT00000002344,0.092505602
ENSGACT00000005023,-0.068490912
ENSGACT00000009166,0.144030046
ENSGACT00000025527,0.121568782
ENSGACT00000024597,0.118964976
ENSGACT00000005541,0.097452578
ENSGACT00000018672,-0.128475341
ENSGACT00000002537,0.102081408
ENSGACT00000021776,0.154426722
ENSGACT00000021099,0.105627131
ENSGACT00000016638,0.113183451
ENSGACT00000005750,0.087126249
ENSGACT00000001845,0.106924794
ENSGACT00000025737,0.15100489
ENSGACT00000010035,-0.0786106
ENSGACT00000008711,0.124311603
ENSGACT00000014084,0.126383387
ENSGACT00000014377,-0.155375143
ENSGACT00000005672,0.122488022
ENSGACT00000023609,0.125122974
ENSGACT00000001969,0.085127115
ENSGACT00000008363,0.119239641
ENSGACT00000001323,0.105210574
ENSGACT00000006743,0.150081109
ENSGACT00000015271,0.12949315
ENSGACT00000003973,0.08322708
ENSGACT00000006109,-0.080753125
ENSGACT00000009972,-0.13678289
ENSGACT00000024692,0.090643136
ENSGACT00000003250,0.142601709
ENSGACT00000021609,0.118207214
ENSGACT00000027440,0.118637694
ENSGACT00000019103,0.13505076
ENSGACT00000016733,0.117180277
ENSGACT00000000877,-0.097667449
ENSGACT00000004672,0.107375034
ENSGACT00000003755,0.135269651
ENSGACT00000012027,0.138974242
ENSGACT00000003238,-0.117593545
ENSGACT00000000775,0.114919449
ENSGACT00000002474,-0.085217001
ENSGACT00000020828,-0.073489491
ENSGACT00000017531,-0.122157007
ENSGACT00000004838,-0.159271383
ENSGACT00000018685,-0.122891269
ENSGACT00000015974,-0.073111269
ENSGACT00000004757,0.109523904
ENSGACT00000002177,0.136793588
ENSGACT00000021620,0.140881694
ENSGACT00000021686,0.105992462
ENSGACT00000002570,0.088201881
ENSGACT00000025966,-0.100060732
ENSGACT00000000713,0.117771429
ENSGACT00000021845,-0.07599345
ENSGACT00000012548,0.123185032
ENSGACT00000000701,-0.075009305
ENSGACT00000016516,-0.122110019
ENSGACT00000010279,0.083818697
ENSGACT00000020667,0.105650819
ENSGACT00000005723,-0.075446927
ENSGACT00000025886,0.099108919
ENSGACT00000011657,0.153458287
ENSGACT00000019471,-0.1411374
ENSGACT00000012107,0.124776576
ENSGACT00000018630,0.135643445
ENSGACT00000027581,0.121690725
ENSGACT00000001479,0.094064912
ENSGACT00000020279,0.096229813
ENSGACT00000006817,0.139428134
ENSGACT00000006812,0.121976748
ENSGACT00000017111,-0.097759832
ENSGACT00000009771,0.0859576
ENSGACT00000003518,-0.097725156
ENSGACT00000006515,-0.114097739
ENSGACT00000007578,0.139066793
ENSGACT00000003644,0.10720051
ENSGACT00000022337,0.103598955
ENSGACT00000008733,-0.085416441
ENSGACT00000014481,0.153785432
ENSGACT00000024733,0.13928651
ENSGACT00000020571,0.080833797
ENSGACT00000019632,0.11880897
ENSGACT00000003963,0.096491162
ENSGACT00000023408,0.112631086
ENSGACT00000010807,-0.067737969
ENSGACT00000019519,0.113340314
ENSGACT00000018095,0.11511959
ENSGACT00000025562,-0.095865764
ENSGACT00000010830,0.11133685
ENSGACT00000014406,0.100379992
ENSGACT00000016445,0.132544839
ENSGACT00000003421,-0.146004671
ENSGACT00000004721,0.098527955
ENSGACT00000025566,0.095484007
ENSGACT00000013442,0.118131361
ENSGACT00000002430,0.090651667
ENSGACT00000020712,0.084866842
ENSGACT00000011069,-0.121896076
ENSGACT00000012223,0.120057081
ENSGACT00000024116,-0.069432091
ENSGACT00000018792,-0.089492641
