FeatureID,FeatureName,Cluster 04 Average,Cluster 04 Log2 Fold Change,Cluster 04 P-Value
ENSGACG00000012927,ENSGACG00000012927,96.91280361055732,1.5638137135426717,1.7079195486414736e-07
ENSGACG00000009214,cpa1,7.6757000971874705,1.4214834584592415,3.507027924291141e-06
ENSGACG00000020547,alox5ap,3.6547613442136413,1.2795177079288407,4.932011140529967e-05
ENSGACG00000000675,lta4h,5.5680621483131425,1.2710796748467144,5.7024842865314695e-05
ENSGACG00000017044,anxa5b,1.904268390615452,1.2386703937720547,0.00010100892760355429
ENSGACG00000014415,npsn,50.66847352869061,1.202376615158176,0.0001819584912887186
ENSGACG00000000834,npsn,4.43861774917723,1.2031680798434088,0.00018337478891280404
ENSGACG00000011880,pygl,4.42206767478099,1.190998876452563,0.00021837503118004486
ENSGACG00000004882,ENSGACG00000004882,5.223876702818466,1.1400368193193735,0.00048779126876051206
ENSGACG00000014527,fbp2,9.863227218740596,1.117497801608446,0.0006707696897822285
ENSGACG00000014831,ENSGACG00000014831,1.2016476050612017,1.1075577154316179,0.0007842509164932188
ENSGACG00000004430,rpia,1.458314013070679,1.0800176595790618,0.0011571012216047285
ENSGACG00000012951,ENSGACG00000012951,4.507567042170377,1.0692798177940335,0.0013499006657416626
ENSGACG00000017200,taldo1,11.241259345502735,1.0473952770850268,0.0017956311629690302
ENSGACG00000007164,pgd,13.819985344225278,0.9754123977119677,0.004639535638855567
ENSGACG00000005566,ENSGACG00000005566,6.186081197631701,0.9756377818015274,0.004665401482875261
ENSGACG00000009964,tktb,13.164434092292876,0.9272297011030433,0.008271126476391276
ENSGACG00000007396,eno1a,2.6177729539082466,0.8972543565151577,0.011604884560346687
ENSGACG00000017166,mpx,1.5084691537833508,0.8904281177491458,0.012590677709794088
ENSGACG00000006229,fkbp2,1.524626514549849,0.8812126219732571,0.01390150076254264
ENSGACG00000000326,ENSGACG00000000326,29.34732124472431,0.8694545664113775,0.015607828569816165
ENSGACG00000007744,gpia,3.9164208255155435,0.8687319142974443,0.015731480163697617
ENSGACG00000016593,actb1,8.421519382013262,0.825172000189029,0.024809759314185584
ENSGACG00000020286,prdx5,1.9324315680626123,0.7491052566632551,0.051168010805954296
ENSGACG00000016070,ENSGACG00000016070,11.706681098693254,0.73026716087697,0.059693303913018816
ENSGACG00000014576,ENSGACG00000014576,24.568220778561393,0.7241436913255717,0.06315808730056409
ENSGACG00000020795,pgk1,1.1375230795191618,0.7179759509620294,0.06698854285376207
ENSGACG00000005864,gapdhs,3.224459409911413,0.7157376311027622,0.06788349330480029
ENSGACG00000015634,scinlb,2.8349435911551724,0.7108950161836337,0.07047768148230593
ENSGACG00000003679,id4,1.180216661266749,0.6751071453248135,0.09424494559617276
ENSGACG00000001123,ENSGACG00000001123,39.33010171274757,0.6566240234907186,0.10810067327115971
ENSGACG00000001512,DBI,1.6024960171328337,0.6558203502574678,0.10897511699543341
ENSGACG00000020827,ncf1,4.596993545857177,0.652892291952071,0.11077627461466213
ENSGACG00000007959,lcp1,8.03009609705542,0.6430289322878413,0.1185778772842471
ENSGACG00000001577,ENSGACG00000001577,2.028590305402119,0.6219987954893123,0.138089508938593
ENSGACG00000015537,cybb,4.925189936426672,0.6027917785435912,0.15635014940151112
ENSGACG00000003056,g6pd,2.9800793283181273,0.5876475427012123,0.1721463044217817
ENSGACG00000001966,ncf2,3.2011209999153603,0.5656474136129177,0.19780172779222457
ENSGACG00000016657,arpc1b,5.893341237633131,0.5652077495167098,0.19802996559771577
ENSGACG00000013220,tmem176l.1,2.0614099444590686,0.5635509417265627,0.19981224506130915
ENSGACG00000010752,cd63,3.0718060118362684,0.5485223342970555,0.2168195225653747
ENSGACG00000007176,ENSGACG00000007176,1.34700775001258,0.5440094043744075,0.22220226969316995
ENSGACG00000019370,capgb,2.243068049187962,0.5436073107475163,0.22252742231454947
ENSGACG00000011811,COX7A2,1.1995157310711775,0.5371574143369964,0.23124007187736917
ENSGACG00000015247,nme2a,2.5768746344680475,0.528578199271134,0.24200605258799138
ENSGACG00000015943,cyba,5.125137275912088,0.5192038361746432,0.25434474467866613
ENSGACG00000013298,arhgdia,4.4465842256662675,0.5046981080474717,0.2735252382716446
ENSGACG00000002010,ak2,1.1988425077059068,0.4967071519332423,0.2863507635015942
ENSGACG00000020896,rhogb,4.0240243600646535,0.4937869894714233,0.29030230954010705
ENSGACG00000007762,alox5a,1.004224853195551,0.48321817289376523,0.3065380934480786
ENSGACG00000015423,ENSGACG00000015423,2.1266004069961206,0.47352636870356135,0.3201407538033018
ENSGACG00000018552,sh3bgrl,2.04867480246603,0.4704881732470083,0.3238584155474012
ENSGACG00000013901,zgc:92027,1.4281872674748126,0.4617238615924514,0.33760888474020523
ENSGACG00000001305,ssr2,1.003158916200539,0.447381749524157,0.361045183764998
ENSGACG00000005605,atp5mc1,3.2407289745721233,0.4378537521877224,0.37439719819997136
ENSGACG00000005947,sla1,1.1282101562995828,0.4266684085784662,0.39450989588097435
ENSGACG00000014503,arpc2,2.1933617240521377,0.4253900897777484,0.39614579685055645
ENSGACG00000011976,ENSGACG00000011976,1.6252173057107218,0.4149612218990626,0.4128646793928211
ENSGACG00000007836,ENSGACG00000007836,33.5971559418902,0.4112107693590987,0.4189986445505617
ENSGACG00000005562,ENSGACG00000005562,1.4932655261176528,0.4081483970162273,0.4275501086057501
ENSGACG00000009305,atp5if1b,2.0093473375447966,0.39785230203714694,0.44225901013340163
ENSGACG00000013555,coro1a,3.7051408927147365,0.39715530609325267,0.4433811600241933
ENSGACG00000019142,ENSGACG00000019142,5.393641194760909,0.3952999966684123,0.4474026450544223
ENSGACG00000017611,arpc3,3.1614008213643854,0.38143818514186556,0.47174468312134343
ENSGACG00000004178,ENSGACG00000004178,1.1366815503125733,0.3807343415789525,0.473501360219841
ENSGACG00000004750,cfl1l,5.452660443116313,0.37241472646555307,0.48610623693743893
ENSGACG00000010111,ptpn6,1.29696481319412,0.3552290099426689,0.516516112053779
ENSGACG00000020358,tagln2,2.0315637085987315,0.35250627185807226,0.5223245828834396
ENSGACG00000011905,rps2,17.505322249611634,0.34920880661034515,0.5288830608203237
ENSGACG00000019990,hcls1,1.0896681186378319,0.3423747748610402,0.5441153250145748
ENSGACG00000000825,PDCL3,2.106964725509057,0.321768070803396,0.5801776092739185
ENSGACG00000008944,ENSGACG00000008944,1.2103995088097215,0.3132054219538799,0.5955675257416917
ENSGACG00000004252,MYL12B,3.072479235201539,0.306276603480355,0.6093708314346789
ENSGACG00000007839,mmp25b,1.1696133932637347,0.2814856166059194,0.6627147597603942
ENSGACG00000017305,ENSGACG00000017305,1.097185779550022,0.2757184586630869,0.6719036495841564
ENSGACG00000015963,cox4i1,2.44969152037898,0.2672959172711993,0.6835680628597998
ENSGACG00000009846,arpc4,2.386464625990634,0.2592459820651669,0.7012517422001483
ENSGACG00000006855,tpt1,5.084519466207419,0.2584570188063662,0.7023748437821217
ENSGACG00000014908,arl6ip1,1.0165672815588485,0.25568467080342816,0.709325310655628
ENSGACG00000019739,cct4,1.186275671554186,0.23717434450650554,0.7371838181030679
ENSGACG00000004460,fam49bb,1.0783355253224407,0.23561593036616552,0.7388065303414089
ENSGACG00000005189,rplp2,10.362815057718604,0.22405580731562313,0.7627258715626433
ENSGACG00000014681,CCT2,1.1100892273843783,0.22016718936829432,0.7708451614284569
ENSGACG00000000546,ENSGACG00000000546,2.1575686817985757,0.21964740070570554,0.7716680963845477
ENSGACG00000002182,ENSGACG00000002182,17.611523235483094,0.21114357294791564,0.7882218966797537
ENSGACG00000008496,rplp0,9.500079315124125,0.20605543669408188,0.7992964020507352
ENSGACG00000002643,cct5,1.0245898599949916,0.20279937774757015,0.8016212303348311
ENSGACG00000015834,btf3,1.8357679131991522,0.19757611239022987,0.8120334444278695
ENSGACG00000017032,cfl1,1.6372231223913838,0.18480984079330876,0.8388516610196314
ENSGACG00000017667,eif3f,1.302518905957604,0.1755989844094461,0.8586377787160079
ENSGACG00000001954,ENSGACG00000001954,1.4395759627373097,0.1731160307188424,0.8635252362760409
ENSGACG00000005380,eif3ea,1.1277052387756297,0.15908786526018348,0.892110698832855
ENSGACG00000020925,mt-nd1,4.806422114403489,0.1516552866417511,0.9072395930205783
ENSGACG00000020692,ENSGACG00000020692,8.6216911292871,0.143803578555604,0.9187684471860297
ENSGACG00000006703,rps13,8.1145856293969,0.14591404817372888,0.9187684471860297
ENSGACG00000003628,rpl30,11.460898468422322,0.13883581041514503,0.9220008510053834
ENSGACG00000006018,rpsa,12.75488987841983,0.14148981753907552,0.9220008510053834
ENSGACG00000010080,cct3,1.0169038932414838,0.13371477328304068,0.9300793959335857
ENSGACG00000015525,spi1b,1.2289131513546674,0.13186408286412998,0.9329196839485971
ENSGACG00000020109,atp5f1c,1.043384012275467,0.12964105405336163,0.9363636188735601
ENSGACG00000001519,itgb2,1.4037268185366416,0.1280346921805231,0.9394524342478743
