FeatureID,FeatureName,B-Cells Average,B-Cells Log2 Fold Change,B-Cells P-Value
ENSGACG00000012769,ENSGACG00000012769,18.390951750805424,5.552243550849206,1.0601688264944253e-81
ENSGACG00000010720,ENSGACG00000010720,1.4102308601373037,4.5165426058780795,3.54042648736334e-59
ENSGACG00000009519,ENSGACG00000009519,2.03150611632438,4.13774739991914,4.1815374282293693e-50
ENSGACG00000015680,swap70a,3.5817967283410477,3.441908629456348,1.225765785144873e-34
ENSGACG00000003230,cd79a,1.1940075032595967,3.4298188698711307,3.15686913622971e-34
ENSGACG00000012781,ENSGACG00000012781,1.9816836790626182,3.1849586572013333,4.435799790191062e-29
ENSGACG00000015958,irf8,1.9644490293149695,3.1428928063559103,3.349867131324475e-28
ENSGACG00000004949,ENSGACG00000004949,2.373113431628213,3.101029814805008,2.356288183830673e-27
ENSGACG00000005778,dap1b,3.0982481491766665,2.2496858233097456,1.1012070630691622e-13
ENSGACG00000010801,ENSGACG00000010801,10.511932178397787,1.9060341391430917,1.251693880631281e-09
ENSGACG00000000330,ENSGACG00000000330,1.4433454710061484,1.8985526365139305,1.6281088896827532e-09
ENSGACG00000000344,ENSGACG00000000344,4.301587951862937,1.72340639735891,8.322013360839934e-08
ENSGACG00000017163,ENSGACG00000017163,3.238985245369257,1.6810275419796237,2.268586167529658e-07
ENSGACG00000018016,cd74a,8.530700062210654,1.5477949567728149,2.7442052357237735e-06
ENSGACG00000001804,zgc:162944,1.1185965030537275,1.4044791427231291,3.430098707216806e-05
ENSGACG00000015628,ENSGACG00000015628,1.2589572968500808,1.369384385049376,6.196239543389941e-05
ENSGACG00000000082,ENSGACG00000000082,1.174590299613774,1.2794929006600184,0.00023715500750550844
ENSGACG00000017482,rpl36a,27.84810831255126,1.2663637093596143,0.0002766486930044148
ENSGACG00000004699,rpl35a,20.256734291827087,1.2509556654981568,0.00034608332118527663
ENSGACG00000000350,ENSGACG00000000350,2.3320212099591466,1.1122855035926609,0.0022634446806462966
ENSGACG00000001460,ENSGACG00000001460,1.5691809923077586,1.027174415806691,0.005993553709217204
ENSGACG00000015169,rpl31,27.371935260353123,0.9969695591526522,0.00811292490836929
ENSGACG00000002767,rpl7,27.57114974892092,0.9818765144157053,0.009506915800725744
ENSGACG00000017042,rps17,11.651150052765296,0.9675161604768703,0.01099939270627601
ENSGACG00000003653,zgc:64051,5.246859571209962,0.9578771850033081,0.012107351389961505
ENSGACG00000019181,rps15a,26.566121309051482,0.9258448477755876,0.016658230574778367
ENSGACG00000008736,rps24,21.438925899844847,0.9204867867975097,0.017541422202186047
ENSGACG00000020906,rps14,30.05873436948439,0.9073278636136148,0.019887453737904584
ENSGACG00000000474,rpl23,33.38298973784092,0.895367981954573,0.02211292646615432
ENSGACG00000009814,rps18,22.096551967508404,0.8597840035774613,0.03054347242540307
ENSGACG00000011547,rpl18,18.204381022751186,0.8480803984986278,0.03370118864432171
ENSGACG00000015752,rpl13,18.16547135498029,0.841940787641593,0.03563705723484898
ENSGACG00000015568,rps28,11.118757422569368,0.8373361655521094,0.03719886473250986
ENSGACG00000016089,rpl28,18.97301629730462,0.8329113569620463,0.038626084304817815
ENSGACG00000011558,rps27a,30.747969838431846,0.8321461898749218,0.03886581145429313
ENSGACG00000014154,si:dkey-159f12.2,22.482036142213456,0.823663071664277,0.04175131288921642
ENSGACG00000019593,rpl34,20.454895133685426,0.8109586398977662,0.046470771139192214
ENSGACG00000019805,btg1,1.711122256168307,0.8038203931303404,0.049351388380462755
ENSGACG00000015957,RPL7A,25.184414170548933,0.7978158279014931,0.05163969495412416
ENSGACG00000017440,rpl39,16.802955638685823,0.7821916830341906,0.058423205319787445
ENSGACG00000005108,psap,3.104193727037209,0.7830482088774798,0.05846097224340922
ENSGACG00000003995,rplp1,24.881716523015992,0.7728799258831338,0.06272593015068176
ENSGACG00000017481,gtpbp4,2.166297634656428,0.7681273316776239,0.06538681675532115
ENSGACG00000004230,RPL5,10.808759508549432,0.7637803627546975,0.06753480359723182
ENSGACG00000012484,zgc:171772,20.167926926315186,0.761723843068173,0.06847498195706503
ENSGACG00000004926,rps10,19.50616153229302,0.7573887841635552,0.07084171619114972
ENSGACG00000017164,rps3a,18.910249057612308,0.7511233743292629,0.07418450182850946
ENSGACG00000003110,rpl21,17.428370221231507,0.7509880679475409,0.07424525579646288
ENSGACG00000002035,rpl8,23.677247813141012,0.7488606030300353,0.07551811118645511
ENSGACG00000013435,rpl17,25.431118021521826,0.7481060387871281,0.07576264038181595
ENSGACG00000016123,rpl37,10.956044266436544,0.7465454895766221,0.07673713334237865
ENSGACG00000018103,rack1,12.346255839094047,0.7327270022608983,0.08529154149685017
ENSGACG00000002118,rpl11,11.095953497357414,0.7264213358641802,0.08918436822655813
ENSGACG00000000590,rpl18a,13.252166227794694,0.7245571146056875,0.09035740921734904
ENSGACG00000013384,rps3,13.043619439800219,0.7200444951456997,0.09336713197854382
