,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSGACG00000000009,111.7170404,0.168516885,0.120782016,1.395215037,0.162951004,0.585395015
ENSGACG00000000013,19.77009662,0.533312512,0.174502802,3.056183082,0.002241743,0.166348375
ENSGACG00000000014,5.954832088,-0.614217254,0.319487445,-1.922508263,0.054541835,0.431992328
ENSGACG00000000015,13.244545,-0.113962064,0.230177541,-0.495105054,0.620525966,0.87830231
ENSGACG00000000016,186.2513743,0.232942417,0.13481189,1.727907062,0.084004888,0.483611393
ENSGACG00000000017,0.997651058,-0.509044906,0.758167809,-0.67141456,0.501956472,0.825137317
ENSGACG00000000018,4.068442522,0.406135898,0.293188349,1.385238873,0.165979438,0.589815607
ENSGACG00000000024,64.58807584,0.127890051,0.110596316,1.1563681,0.247530624,0.673413454
ENSGACG00000000025,41.70419946,0.14552031,0.157172234,0.92586525,0.354516012,0.7495463
ENSGACG00000000027,110.3457396,0.340940157,0.146729427,2.32359769,0.020147066,0.326303026
ENSGACG00000000035,8.088724391,0.664788391,0.3814298,1.742885298,0.081353653,0.480854548
ENSGACG00000000038,1.201395943,1.461339417,0.777452181,1.879651834,0.060155544,0.446109436
ENSGACG00000000043,21.09958567,0.096571055,0.161575787,0.597682719,0.550051658,0.846205304
ENSGACG00000000048,65.46810819,-0.309983913,0.143439558,-2.161076878,0.030689401,0.368699983
ENSGACG00000000049,0.957048624,0.719096853,0.843867606,0.852144161,0.394134084,0.774830806
ENSGACG00000000057,18.44581917,0.228963802,0.170506038,1.342848644,0.179320989,0.606875854
ENSGACG00000000058,180.9532412,0.144878507,0.246098585,0.588701096,0.556061803,0.849249499
ENSGACG00000000061,517.8517836,0.088129139,0.081781464,1.077617529,0.281204476,0.69727311
ENSGACG00000000064,1.029195048,0.321125536,0.632530773,0.507683657,0.611675212,0.875078333
ENSGACG00000000065,6.018663535,-0.120429052,0.340655388,-0.353521643,0.723697406,0.913956283
ENSGACG00000000069,5.597590256,0.32867807,0.294008207,1.117921414,0.263600558,0.684102847
ENSGACG00000000070,1.421162685,-1.130863966,0.662205159,-1.707724488,0.087687476,0.487440611
ENSGACG00000000074,10.38714426,-0.591750093,0.402659403,-1.469604558,0.141668885,0.560475351
ENSGACG00000000079,3.303315548,0.635590976,0.41458044,1.533094459,0.125252583,0.542187053
ENSGACG00000000080,1.364627457,-0.932329371,0.624148633,-1.493761777,0.135237895,0.55149039
ENSGACG00000000081,1.972377977,-0.069647586,0.504609535,-0.138022732,0.890222452,0.969952403
ENSGACG00000000082,259.61848,-0.121231688,0.123426333,-0.982218989,0.325991975,0.727435383
ENSGACG00000000083,5.190159749,-0.125008033,0.288655203,-0.43307043,0.664963604,0.89614231
