"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSGACT00000009936.1",20.271535203578,1.51041642889719,0.211580893100043,7.13871846728153,9.42050543313728e-13,1.3902781918224e-08
"ENSGACT00000016651.1",74.647288086088,0.617610012020319,0.103732818441286,5.95385357595284,2.61901142074562e-09,1.93256852736819e-05
"ENSGACT00000023607.2",63.1493033173424,-0.86888547976958,0.161523473312962,-5.37931399039482,7.47702031675861e-08,0.000275864664586809
"ENSGACT00000023686.1",35.2357631142015,-1.40221980604039,0.259268016151695,-5.40837943242474,6.35975780821446e-08,0.000275864664586809
"ENSGACT00000008587.1",10.6975987158624,-0.587644678527053,0.11782825284972,-4.98729858344369,6.12293993669393e-07,0.000758589094284964
"ENSGACT00000013600.1",2.66564478088496,0.955827457850109,0.190625314808267,5.01416854740143,5.32632822863615e-07,0.000758589094284964
"ENSGACT00000016699.1",20.9992352027261,0.6223366018446,0.124808892097844,4.98631621020014,6.15413928770926e-07,0.000758589094284964
"ENSGACT00000022576.1",1.97188103174293,1.0175557157714,0.197960990903384,5.14018297811021,2.74471050037806e-07,0.000758589094284964
"ENSGACT00000022619.1",27.3546545841674,-0.58526166439995,0.11622843862621,-5.03544288573082,4.76745265473478e-07,0.000758589094284964
"ENSGACT00000022893.1",6.25653140344066,-1.18163162103236,0.234619001139542,-5.03638501269372,4.74405875451598e-07,0.000758589094284964
"ENSGACT00000023274.1",7.41390320004445,-0.574297053108069,0.115184825983578,-4.98587420872559,6.16822681353813e-07,0.000758589094284964
"ENSGACT00000023562.1",55.7307883663431,-0.496803904804908,0.0996148752981674,-4.98724616497159,6.12460084596319e-07,0.000758589094284964
"ENSGACT00000013769.1",15.0987911641976,-0.877662331734751,0.176955038934706,-4.95980412323039,7.05642951593801e-07,0.000759825408247716
"ENSGACT00000021700.1",1.80841318398557,-1.48572705309101,0.299803217026197,-4.95567415129234,7.20799276017619e-07,0.000759825408247716
"ENSGACT00000000230.1",10.4506669011145,-0.559192390408008,0.114352569811179,-4.89007279269155,1.00798695259108e-06,0.000882258496041042
