"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSGACT00000012569.1",784.892322069731,-1.04378714257303,0.230741348035896,-4.52362418551292,6.0789624266568e-06,0.0257922175857901
"ENSGACT00000013836.1",95.8541760925341,-0.563620588484141,0.126398652815702,-4.45907116831333,8.23155880397556e-06,0.0257922175857901
"ENSGACT00000016870.1",91.7272045979508,-0.854690453657763,0.183447875312441,-4.65903708179825,3.17691975314969e-06,0.0257922175857901
"ENSGACT00000003968.1",26.4264950111599,-1.72664742893373,0.431763170268157,-3.99906140178968,6.35941814406083e-05,0.0356350704720853
"ENSGACT00000006188.1",22.2089045412744,-0.913706006909931,0.221735114539269,-4.12070956288755,3.77707328695215e-05,0.0356350704720853
"ENSGACT00000008531.1",25.8802733366498,0.432152452009112,0.10743285634391,4.02253525332809,5.75750332298866e-05,0.0356350704720853
"ENSGACT00000009124.1",7.37937450990851,-1.47058118903572,0.361095209374041,-4.07255801478223,4.64996128182789e-05,0.0356350704720853
"ENSGACT00000009891.1",9.67506365047472,-1.07737866449847,0.268912316534835,-4.00643108646497,6.16430994340411e-05,0.0356350704720853
"ENSGACT00000017036.1",50.5627081169423,-0.653408610326596,0.157860646381167,-4.13914820004532,3.48597715096164e-05,0.0356350704720853
"ENSGACT00000018359.1",16.5838759505403,-1.22607559850463,0.302321215755201,-4.05553938859989,5.00187422827569e-05,0.0356350704720853
"ENSGACT00000019665.2",8.91113753913033,-1.46048701657119,0.34965301785537,-4.17696099272709,2.95429664169709e-05,0.0356350704720853
"ENSGACT00000020904.1",91.593086999869,-0.48200012342794,0.112019407675841,-4.30282692462311,1.68632578899552e-05,0.0356350704720853
"ENSGACT00000021211.1",18.8783808742084,-1.27947754132532,0.299271756231311,-4.27530334782544,1.90877220213169e-05,0.0356350704720853
"ENSGACT00000022706.1",5.96584619333451,-1.28029030225316,0.321491205235672,-3.98234938126729,6.82373689890996e-05,0.0356350704720853
"ENSGACT00000023562.1",55.7307883663431,-0.668180443419293,0.165167698291291,-4.04546682149003,5.22189613975137e-05,0.0356350704720853
"ENSGACT00000024555.1",16.6321270554741,-0.927489834042454,0.226979229213457,-4.08623219515041,4.38435019239841e-05,0.0356350704720853
"ENSGACT00000025278.1",228.892034099231,-0.763874074320573,0.191275306299378,-3.99358437374546,6.5081904722486e-05,0.0356350704720853
"ENSGACT00000026830.1",21.4953907730037,-0.602644565396786,0.150578586621018,-4.00219300047985,6.27580716163066e-05,0.0356350704720853
"ENSGACT00000003788.1",56.4506873128968,-0.639541626704801,0.163004689684239,-3.92345537998739,8.72879378314393e-05,0.0390717436007395
"ENSGACT00000004167.1",9.02270820988429,-1.42227591012514,0.362226337755126,-3.9264839739142,8.6196632631985e-05,0.0390717436007395
"ENSGACT00000025725.1",16.3356145180453,-1.49164302340224,0.37834624205312,-3.94253426519513,8.06251269297844e-05,0.0390717436007395
"ENSGACT00000001346.1",8.4674237275312,-0.958557651898817,0.247025715431189,-3.8803962179631,0.000104286437368448,0.0426214135331918
"ENSGACT00000009843.1",26.7065329048083,-2.08124501881763,0.536306890971684,-3.88069788744801,0.000104157158316329,0.0426214135331918
"ENSGACT00000002228.1",58.6351595232517,-0.538269114348405,0.141220240992771,-3.8115578231874,0.000138093742421292,0.0463600420985765
"ENSGACT00000010183.1",101.590425133981,0.713105237302769,0.185881653915551,3.83634007058461,0.000124881454698539,0.0463600420985765
"ENSGACT00000012799.1",11.8644834711776,-1.5037268455208,0.394050602690129,-3.81607548689195,0.000135591038573573,0.0463600420985765
"ENSGACT00000021224.1",65.4319377401035,-0.484453556312932,0.126553037833932,-3.82806738269413,0.000129153401820106,0.0463600420985765
"ENSGACT00000022218.1",75.2756825017309,-0.453089774757311,0.118795157219615,-3.81404246908559,0.000136711958881232,0.0463600420985765
"ENSGACT00000004684.1",6.66259742397967,-1.17959425888837,0.316007246002721,-3.73280762960166,0.000189357213470527,0.05415081973744
"ENSGACT00000012945.1",25.2653826721184,-0.86475643487918,0.231426668593388,-3.73663260217663,0.000186501116649549,0.05415081973744
"ENSGACT00000016715.1",22.3201458416768,-0.783605965179775,0.209828920827719,-3.73449933445142,0.000188088988686535,0.05415081973744
"ENSGACT00000018024.1",20.6752981645096,-1.59864582934159,0.428382750286222,-3.73181653153275,0.000190103941631438,0.05415081973744
"ENSGACT00000021937.1",154.797593987515,-0.554110879672508,0.148193612460401,-3.73910096712551,0.000184679545974923,0.05415081973744
"ENSGACT00000017449.1",8.32953115075765,-0.964929545812194,0.260121339988332,-3.70953627201627,0.000207639209773568,0.056241737238772
"ENSGACT00000024228.1",22.8336645888835,0.744919264845565,0.200928505941142,3.7073846807171,0.000209410723761385,0.056241737238772
"ENSGACT00000025913.1",65.8028136745439,-0.77470481834266,0.209450830203822,-3.69874312548093,0.000216669744369121,0.0565748776963815
"ENSGACT00000023783.1",37.4485056286041,-1.95568493104107,0.532729092146267,-3.67106839080625,0.000241538692293177,0.0613638839879963
"ENSGACT00000000212.1",9.37402802181595,-0.863121735718352,0.256343473005262,-3.36705173570242,0.000759764335227748,0.0653187373164156
"ENSGACT00000000689.1",6.04581956247851,-1.60823237474583,0.476893438611006,-3.37230971227019,0.000745405750054295,0.0653187373164156
"ENSGACT00000000943.1",82.8318800734921,-0.603150212020754,0.169483135596936,-3.5587624095837,0.000372606400892326,0.0653187373164156
"ENSGACT00000001126.1",77.2448025232389,-2.34702532502416,0.643559599798376,-3.64694322912667,0.000265378527230277,0.0653187373164156
"ENSGACT00000001248.1",8.18159276121305,-0.796294386954217,0.235987477691293,-3.37430780117871,0.000740015720614703,0.0653187373164156
"ENSGACT00000001722.1",36.8806545522654,-0.83997677857312,0.249760607463821,-3.36312754482228,0.000770647494698057,0.0653187373164156
"ENSGACT00000002055.1",8.82933877327292,0.84678613892498,0.239014228614614,3.54282731966696,0.000395861821389818,0.0653187373164156
"ENSGACT00000002116.1",52.9761876514423,-0.658758949703326,0.181683103672719,-3.62586798874816,0.000287992458910271,0.0653187373164156
"ENSGACT00000002540.1",89.6005504640917,0.438082030868074,0.1302695939714,3.3628878198872,0.000771317004481077,0.0653187373164156
"ENSGACT00000003480.1",137.070535114085,-0.404350279859106,0.118115460494199,-3.42334761399814,0.000618549219920056,0.0653187373164156
"ENSGACT00000003534.1",11.9275231176183,0.800256815000593,0.236758575145989,3.38005419447698,0.000724715382881284,0.0653187373164156
"ENSGACT00000004283.1",37.5915777477196,-0.586915873023467,0.166090808777718,-3.53370470854257,0.000409778621445294,0.0653187373164156
"ENSGACT00000004444.1",35.8014684726257,-0.890659863235712,0.24514215313252,-3.63323831440053,0.000279886290277862,0.0653187373164156
"ENSGACT00000004581.1",22.0995686756204,-0.563746950146529,0.159355722126226,-3.53766367862199,0.000403683894334384,0.0653187373164156
"ENSGACT00000004582.1",61.0384659438313,-0.601397056867391,0.174980700993706,-3.43693363583578,0.000588339738560489,0.0653187373164156
"ENSGACT00000004593.1",16.390615500423,-0.604594450917375,0.174453455180245,-3.46564904829605,0.000528953245982696,0.0653187373164156
"ENSGACT00000005370.1",50.9076345855676,0.680111868555455,0.201473148991341,3.37569483556682,0.000736295378077516,0.0653187373164156
"ENSGACT00000005418.1",8.72979794873706,0.700796618875132,0.197454752886703,3.54915041866447,0.000386476244730249,0.0653187373164156
"ENSGACT00000005554.1",12.0169654903185,-2.4658140815332,0.729481108416428,-3.38023021169943,0.000724251391893878,0.0653187373164156
"ENSGACT00000005741.1",8.02152184405091,-1.08221753095499,0.313006752690296,-3.45748940447232,0.000545233682243673,0.0653187373164156
"ENSGACT00000008138.1",28.6037495942068,-1.14209683320721,0.338862272652483,-3.3703865120992,0.00075062817598368,0.0653187373164156
"ENSGACT00000008179.1",76.6881748080542,-0.52436987557016,0.15237479841078,-3.44131628746465,0.000578891424901185,0.0653187373164156
"ENSGACT00000008521.1",7.91667584337915,-1.43147049029821,0.410105753151328,-3.49049112161565,0.000482133632455762,0.0653187373164156
"ENSGACT00000009693.1",6.110223432722,-0.95576107026436,0.279898464150133,-3.41467064910977,0.00063859177043968,0.0653187373164156
"ENSGACT00000010009.1",133.717573764716,0.678020176335292,0.196734570124204,3.44637028412057,0.0005681712599447,0.0653187373164156
"ENSGACT00000010082.1",26.7281716093525,-0.8698909647326,0.240253889489381,-3.62071542975394,0.000293789510378602,0.0653187373164156
"ENSGACT00000010884.1",20.8776295471714,-1.10768049628739,0.322580024786197,-3.43381614227834,0.000595147731255804,0.0653187373164156
