"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSGACT00000015170.1",8.52999024124585,-4.2356020678092,0.845381668756655,-5.01028378582979,5.43498298735596e-07,0.0057561904819087
"ENSGACT00000002411.1",42.6215457360818,0.656688893512111,0.141231176410665,4.64974455500267,3.3234639563635e-06,0.0155005064812325
"ENSGACT00000006393.1",15.9098046160532,-3.21405170343247,0.699927628613894,-4.59197718740926,4.39066371860047e-06,0.0155005064812325
"ENSGACT00000006775.1",4.52065169785866,1.14614813738489,0.253380899420499,4.52341964215225,6.08484279082524e-06,0.0161111424994075
"ENSGACT00000007449.1",42.9922462781672,-2.11798270816255,0.49971426234081,-4.23838755019977,2.25130896934881e-05,0.0397393554906221
"ENSGACT00000014355.1",15.6297043028927,-2.51055819442842,0.589104261262257,-4.26165342795028,2.0291996608488e-05,0.0397393554906221
"ENSGACT00000019744.1",33.328634706972,-2.73026786723179,0.682095961464885,-4.00276210603594,6.26072471364961e-05,0.0940815375379946
"ENSGACT00000020915.1",18.4025341092118,-1.33140266392079,0.335138759096116,-3.9726907968259,7.10652724297948e-05,0.0940815375379946
"ENSGACT00000002624.1",22.3091368890996,-1.6680664232013,0.426288000029012,-3.91300346969131,9.11552243641532e-05,0.0993281459649122
"ENSGACT00000008924.1",11.3227085632484,-2.23554034122781,0.578881620198074,-3.86182643087353,0.000112542512659706,0.0993281459649122
"ENSGACT00000011084.1",9.27903198349931,-3.78967657585818,0.981056351627768,-3.8628531068275,0.000112070402699068,0.0993281459649122
"ENSGACT00000026740.1",20.4294576801435,-1.80467253794851,0.465529577650285,-3.87660123994145,0.000105925746312162,0.0993281459649122
"ENSGACT00000021799.1",84.0218542020561,0.49786730286016,0.1306232254954,3.8114761059678,0.000138139410423876,0.112541115061482
"ENSGACT00000012860.1",12.0620997665022,0.969234829885095,0.261065941245784,3.71260542551047,0.000205136566943029,0.131519037997862
"ENSGACT00000018249.1",41.9860274570366,0.521427658507248,0.141037373540725,3.69708854764432,0.000218086288929136,0.131519037997862
"ENSGACT00000021834.1",73.5654556040596,-1.01217047475075,0.272249325691209,-3.71780709531959,0.000200959625475204,0.131519037997862
"ENSGACT00000022204.1",7.5743033967348,0.638498401225427,0.171343356458905,3.72642636645538,0.000194213773709632,0.131519037997862
"ENSGACT00000027289.1",26.5085715856792,-0.699781151989036,0.189599971049301,-3.69082942426754,0.000223523999996366,0.131519037997862
"ENSGACT00000003076.1",30.4350275809478,-1.62320650071293,0.443282458133383,-3.66178825922434,0.000250460833552373,0.135850189857978
"ENSGACT00000021080.2",7.62643804574841,-1.16977176519891,0.31999076833617,-3.6556422276845,0.000256538929011383,0.135850189857978
"ENSGACT00000007253.1",7.38848093029568,0.940840478567302,0.258346019280089,3.64178430613742,0.000270754888195773,0.136550715280068
"ENSGACT00000018207.1",138.129292798104,-0.443680554447844,0.123099673219693,-3.60423827978828,0.000313069741791296,0.140888806949474
"ENSGACT00000018404.1",25.0174603398594,0.890086315436728,0.2466201749654,3.60913828546916,0.000307215818292574,0.140888806949474
"ENSGACT00000023982.1",4.28090124149711,1.09275590861788,0.303615379118307,3.59914544444759,0.000319264598884654,0.140888806949474
"ENSGACT00000006998.1",8.96317808267422,-3.02432302364738,0.846431743731971,-3.57302646792634,0.000352879077666769,0.14949369246275
"ENSGACT00000005705.1",11.9408360882562,0.532354919221689,0.151615838348523,3.51120915215962,0.00044607328885389,0.149978258085581
"ENSGACT00000008276.1",42.6221633664492,-0.620186749986204,0.175421846680985,-3.53540201360466,0.000407155215873221,0.149978258085581
"ENSGACT00000012271.2",45.1096202466576,-0.644610249789786,0.181810781455743,-3.54550068278926,0.000391867972454304,0.149978258085581
"ENSGACT00000014433.1",59.5969791791588,0.547035973277336,0.156122887448409,3.50388070716477,0.000458530714134327,0.149978258085581
"ENSGACT00000014475.1",43.8548469262545,0.444161226290745,0.127391387543864,3.48658755394911,0.000489225215427453,0.149978258085581
"ENSGACT00000015279.2",29.0671713824522,-1.40221835695189,0.398840126033651,-3.51574043187815,0.000438529493085828,0.149978258085581
"ENSGACT00000017564.1",43.5717818844982,-1.36311143398026,0.392020083487532,-3.477146940671,0.000506779997807852,0.149978258085581
"ENSGACT00000017747.1",11.0309893014425,-1.2818355897889,0.368742521709273,-3.4762348097178,0.000508506854611832,0.149978258085581
"ENSGACT00000018929.1",10.7394930768558,-1.46060831975869,0.416888643487238,-3.50359344773901,0.000459025568219236,0.149978258085581
"ENSGACT00000020157.3",95.6854995530737,-0.763696987796804,0.216855427678487,-3.5216872179426,0.000428809760344295,0.149978258085581
"ENSGACT00000021845.1",13.6379347018298,0.583686636579754,0.167940441398734,3.47555735663413,0.000509792964883479,0.149978258085581
"ENSGACT00000026856.1",35.5076448034282,-1.19188002596095,0.345284579093133,-3.4518773734157,0.000556700670411243,0.159351805414202
"ENSGACT00000002068.1",6.83542223177341,0.68958583936574,0.20153999473294,3.42158309708953,0.000622576969116855,0.164842816997915
"ENSGACT00000002200.1",61.3484805423005,0.845507702968755,0.246828263317762,3.42548981872576,0.0006136919343843,0.164842816997915
"ENSGACT00000013245.1",38.1548020961271,-2.62958870224925,0.76683518010089,-3.4291445808515,0.000605486888452465,0.164842816997915
"ENSGACT00000013991.1",6.91096402379802,-1.17432730112,0.34438994190943,-3.40987688144747,0.000649922117013601,0.167885979055879
"ENSGACT00000007152.1",25.2007489760259,0.568342347521991,0.167892765849911,3.38515090060559,0.000711391345780636,0.177723520334941
"ENSGACT00000025425.1",12.7657403949426,-1.22441006326646,0.362117495309535,-3.38125077944618,0.000721566554093329,0.177723520334941
"ENSGACT00000007865.1",42.618773319957,0.349674908938773,0.104299198040277,3.35261359156127,0.000800523842797578,0.192689727706117
"ENSGACT00000023395.1",246.752065246788,0.431784003429725,0.129380413004822,3.33732126371889,0.000845901094289811,0.199087521991631
"ENSGACT00000006727.1",31.9150486067425,-1.58819961579671,0.477258435651377,-3.32775598534803,0.000875485142833214,0.201570937994491
"ENSGACT00000009790.1",21.9107948430529,-0.511172786263417,0.154440605141447,-3.30983413199691,0.000933512724798369,0.210358154645522
"ENSGACT00000003631.1",55.8984968790655,-0.472519563568142,0.143663307851098,-3.28907617843446,0.00100516814014318,0.22178616192201
"ENSGACT00000002164.1",6.7312362167671,-1.57827122328908,0.485122165178219,-3.25334799474534,0.00114053727527282,0.227302646501666
"ENSGACT00000003625.1",8.64665673565412,0.573087487614128,0.175439508430143,3.2665816995396,0.00108854392956516,0.227302646501666
"ENSGACT00000009959.1",10.7881541907332,-1.66855117506979,0.513590444044401,-3.2487971581604,0.00115894088481635,0.227302646501666
"ENSGACT00000021793.1",90.8421094017741,0.451079839839688,0.13771014237373,3.27557456600043,0.00105447273872907,0.227302646501666
"ENSGACT00000022096.1",11.5624412618076,0.527827844791896,0.162384130703869,3.25048908722778,0.00115206689846999,0.227302646501666
"ENSGACT00000025887.2",5.58206397881999,-2.61405102306905,0.803705283582194,-3.25249948764548,0.00114394802099398,0.227302646501666
"ENSGACT00000001478.1",7.45244753585502,0.646756898277481,0.2017682436462,3.20544445741207,0.00134854070360253,0.230361203094426
"ENSGACT00000003044.2",33.7381619124661,0.440749411569243,0.137464221709718,3.20628455962867,0.00134460948730859,0.230361203094426
"ENSGACT00000004467.1",12.6153716137297,-1.35322500362385,0.420959176095464,-3.2146228909308,0.00130615992009698,0.230361203094426
"ENSGACT00000013395.1",28.0094235659453,0.491800508062279,0.152667036007589,3.22139291443263,0.00127569125077628,0.230361203094426
"ENSGACT00000014975.1",10.8229117059164,0.579522522518889,0.17981135385502,3.22294732837701,0.00126878882221405,0.230361203094426
"ENSGACT00000017642.1",597.041613848967,0.332536631044701,0.103166462503733,3.22330167163257,0.00126722018219037,0.230361203094426
