"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSGACT00000022766.1",20.7941374042751,4.77843496001305,0.648675775194984,7.36644583124245,1.75237099663747e-13,2.69059042823717e-09
"ENSGACT00000017482.1",13.9137852553105,3.89366732702639,0.53773222554559,7.24090382174106,4.4570440423115e-13,3.04886558253663e-09
"ENSGACT00000024032.1",50.8412612580028,-1.78368143501543,0.247683325470209,-7.2014594911839,5.95714259971987e-13,3.04886558253663e-09
"ENSGACT00000015410.1",8.34401293880756,3.08791467184442,0.451758121503372,6.83532741274994,8.18179462536765e-12,3.14058186694737e-08
"ENSGACT00000022089.1",31.5240474075826,4.29047351369223,0.633668551115997,6.77084811315944,1.28029630017524e-11,3.93153387857811e-08
"ENSGACT00000012495.1",5.62694418345395,3.48608131503686,0.523378464514762,6.6607274685421,2.72475492393323e-11,6.97264785034514e-08
"ENSGACT00000009070.1",5.99352467251804,3.72041783985188,0.568378755744381,6.54566660391698,5.92305850447025e-11,1.2991805753948e-07
"ENSGACT00000018850.1",35.8578969538261,4.1296432455462,0.63310376086624,6.52285375764605,6.8982115257814e-11,1.32393924708559e-07
"ENSGACT00000027660.1",2.19887264945045,4.00092949553548,0.621210237589715,6.4405401801796,1.19049033362326e-10,2.03097650916128e-07
"ENSGACT00000012471.1",17.8672077532986,2.84414207764907,0.443728382453914,6.40964650924593,1.45857423257766e-10,2.23949487669973e-07
"ENSGACT00000003228.1",14.0201606035313,2.55412402674645,0.409147066445101,6.2425573497034,4.30473862601249e-10,6.00863244216325e-07
"ENSGACT00000019620.1",207.447153790411,-0.979731141813318,0.158248835432889,-6.1910796318549,5.97535101104488e-10,7.64546161863192e-07
"ENSGACT00000017748.1",17.7706842366069,3.44625661250117,0.571278183685317,6.03253670614439,1.61405664848876e-09,1.90632506006896e-06
"ENSGACT00000019606.1",10.282503168317,2.92993742111855,0.488418049807653,5.99883116988082,1.98742855711332e-09,2.1796412904227e-06
"ENSGACT00000015772.1",56.2882096897431,-1.37612972842877,0.230274288780872,-5.97604593945045,2.28618555492533e-09,2.34013953402157e-06
"ENSGACT00000023055.2",34.8452591134389,4.89718047747128,0.822365017896215,5.95499610379744,2.600780264965e-09,2.49577376176704e-06
"ENSGACT00000001667.1",62.3171239997942,1.8692625815111,0.315938382679421,5.91654159161732,3.28781362114108e-09,2.65002453114638e-06
"ENSGACT00000003163.1",44.1143239353471,3.08574716336641,0.522965611559857,5.90047814838629,3.62449623251751e-09,2.65002453114638e-06
"ENSGACT00000005514.1",45.6124065388719,-1.14007285744268,0.19242591188234,-5.92473667548365,3.12798208734092e-09,2.65002453114638e-06
"ENSGACT00000013824.1",34.52023105767,2.15413406917306,0.363816674312706,5.92093276989705,3.20120715230306e-09,2.65002453114638e-06
"ENSGACT00000022360.1",21.6510931375283,1.48460710043703,0.251474430712182,5.90361054295893,3.55631138665522e-09,2.65002453114638e-06
"ENSGACT00000006817.1",16.0196074716695,1.68480488273978,0.28644327239558,5.88180992574701,4.05804209478161e-09,2.70900775318595e-06
"ENSGACT00000025140.1",30.0045897132674,1.50099773179807,0.254894427879583,5.88870358714619,3.89236844410072e-09,2.70900775318595e-06
