"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSGACT00000024410.1",364.488055868506,0.785270285977707,0.0949964106254138,8.26631533557783,1.38162805929561e-16,1.99797233654739e-12
"ENSGACT00000004292.1",316.282933879235,0.482527291626342,0.0595730101401835,8.09976347495097,5.50661432706469e-16,3.00732620799447e-12
"ENSGACT00000020041.1",113.578066640423,1.06005121800814,0.131120437419236,8.08456133057883,6.23883453701917e-16,3.00732620799447e-12
"ENSGACT00000014645.1",18.6593063487255,1.2265312817474,0.157841250278906,7.77066374968592,7.80759068469426e-15,2.82263922228409e-11
"ENSGACT00000026383.1",152.718054301337,1.22898681389128,0.161311359431027,7.61872454752182,2.5619450784975e-14,7.40965755603048e-11
"ENSGACT00000024413.1",305.498635528818,0.755230235107572,0.103501800536697,7.29678354571045,2.94728362305419e-13,7.10344474549778e-10
"ENSGACT00000027705.1",109.251525534964,0.691979884561605,0.0975300532112472,7.09504262304458,1.29311625427811e-12,2.6713934504451e-09
"ENSGACT00000007776.1",6.0153512723264,1.78902835061936,0.257741960202593,6.94116064459634,3.88891468694038e-12,7.02969941098061e-09
"ENSGACT00000008425.1",120.512608628719,0.984101006677573,0.143244622237796,6.87007296541921,6.4169074184328e-12,9.27948981779568e-09
"ENSGACT00000016651.1",74.647288086088,0.623252685139321,0.0905736056974868,6.88117338754258,5.93615451060442e-12,9.27948981779568e-09
"ENSGACT00000004464.1",85.2354570502343,0.793724551886111,0.121284907027815,6.54429781361072,5.97755733490113e-11,7.8583142381823e-08
"ENSGACT00000026070.1",11.7694586817769,0.822886293333174,0.128323316384528,6.41260151715023,1.43057100042773e-10,1.72395726976545e-07
"ENSGACT00000016497.1",15.9524025782745,-0.557909986284416,0.0903903132830762,-6.17223202377011,6.73325895654252e-10,7.48997367465857e-07
"ENSGACT00000016790.1",442.485902290848,0.574120028912509,0.0932300870124566,6.1580981774242,7.3623711548177e-10,7.60480351927277e-07
"ENSGACT00000025593.1",208.158119737965,0.644163786097783,0.105589806809379,6.10062472470178,1.05654701327806e-09,1.0185817572676e-06
"ENSGACT00000012987.1",27.3443350088931,-0.764824997925425,0.126414534696845,-6.05013497664294,1.44724526091356e-09,1.16864984408176e-06
"ENSGACT00000026555.1",233.5914648366,1.65629576175663,0.273798996580984,6.04931275292943,1.45465024503642e-09,1.16864984408176e-06
"ENSGACT00000027020.1",3.90297304977757,1.68221496980248,0.277540844406589,6.06114380533514,1.35156921644973e-09,1.16864984408176e-06
"ENSGACT00000004257.1",38.2736043801049,0.470049135972732,0.0782302699699034,6.00853270931531,1.87209850075477e-09,1.35362082097074e-06
"ENSGACT00000004921.1",23.3572860686138,-0.888825594549247,0.147798797107858,-6.0137539137116,1.81275630967693e-09,1.35362082097074e-06
"ENSGACT00000009936.1",20.271535203578,1.10800918107921,0.185880394883279,5.96087167651528,2.50895940315076e-09,1.72771723471253e-06
"ENSGACT00000020872.1",4.49508689054363,1.78829347437781,0.301459218428143,5.93212403223979,2.99040575745234e-09,1.96564807538719e-06
"ENSGACT00000012145.1",22.4827280295979,0.996030679976213,0.172654958389771,5.76890863294908,7.97865447940405e-09,5.01649227942009e-06
"ENSGACT00000011275.1",108.559787850188,0.567617699858243,0.0988122915334736,5.74440376849228,9.22454371852168e-09,5.52943617683199e-06
"ENSGACT00000022721.1",8.74788089840398,-0.82043662998093,0.14297381664055,-5.73836978866966,9.55922165969156e-09,5.52943617683199e-06
"ENSGACT00000000641.1",118.730380858674,0.422939046545575,0.0742384539344098,5.69703467854065,1.2190913810934e-08,6.52936313407098e-06
"ENSGACT00000026307.1",20.1285089723214,0.549095937860386,0.0963089147648597,5.70140302381161,1.18825328086512e-08,6.52936313407098e-06
"ENSGACT00000010691.1",10.757251298581,0.796584775578784,0.13999712801065,5.69000798015075,1.27033434954835e-08,6.56082322457812e-06
"ENSGACT00000015449.1",38.2499136489733,-0.89329751346104,0.15926981590511,-5.60870563191491,2.03845398373071e-08,1.01648562271482e-05
"ENSGACT00000011867.1",41.2348927828712,1.33170585050519,0.238931287604154,5.5735934119749,2.4953775057216e-08,1.202855137008e-05
"ENSGACT00000011677.1",3.27876551497436,0.995334595794121,0.178930443889062,5.56269002725571,2.65647507026901e-08,1.23920277390839e-05
"ENSGACT00000014463.1",82.8100754128443,0.656073691977633,0.118271208864002,5.54719697447282,2.90285654717818e-08,1.31181901652324e-05
"ENSGACT00000000407.1",51.8217274010791,-0.692523081296857,0.125120827744012,-5.53483455779008,3.11522263703285e-08,1.36512831982218e-05
"ENSGACT00000013856.1",25.8828984124843,0.785192347314083,0.142398948849503,5.51403190583891,3.50704978920081e-08,1.49163079416567e-05
"ENSGACT00000008926.1",6.52851902784385,-0.825619050789293,0.150136008491138,-5.49914080630447,3.81646290683489e-08,1.55161824824238e-05
