"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSGACT00000011031.1",4.36301979045798,-3.81323737840521,0.523677133853767,-7.28165721184616,3.29744080223813e-13,4.86636313594303e-09
"ENSGACT00000000732.1",11.7075303767765,-2.22664984643875,0.330526516049023,-6.73667539008733,1.62051655591572e-11,1.05296436612832e-07
"ENSGACT00000002956.1",20.9432199514793,3.21104129378448,0.47971139667178,6.69369399197635,2.17606225349492e-11,1.05296436612832e-07
"ENSGACT00000008365.1",22.4502271256885,2.68209680843739,0.403085439711682,6.65391637652761,2.85394868174093e-11,1.05296436612832e-07
"ENSGACT00000017799.1",74.9943424632652,-0.95356363608428,0.1476802115264,-6.45694928405365,1.06834680015186e-10,3.15333241532822e-07
"ENSGACT00000001629.1",12.2894613613656,-1.55260382456355,0.244964305367294,-6.33808187782953,2.32643195527992e-10,4.90478325657444e-07
"ENSGACT00000025100.1",39.7814911243378,-1.11045577082495,0.175134498939865,-6.34058839090432,2.28889306624097e-10,4.90478325657444e-07
"ENSGACT00000008195.1",3.87345230623781,-4.39027064181827,0.699374775512759,-6.27742205686423,3.44232729250151e-10,6.35023327284216e-07
"ENSGACT00000002659.1",46.7689257144539,0.892670573448384,0.143180338177657,6.2345890840177,4.52965504601034e-10,7.42762768544674e-07
"ENSGACT00000001454.1",9.26173210558681,-2.24816699843161,0.363589433692711,-6.18325724045012,6.27922658196438e-10,8.42443871787548e-07
"ENSGACT00000022368.1",23.532150297081,-4.90017190688439,0.791638478572243,-6.1899112278146,6.0198107312957e-10,8.42443871787548e-07
"ENSGACT00000005877.1",2.91022000821751,-3.01687886832931,0.490964575971796,-6.14479947429572,8.00645971241799e-10,8.43995231684748e-07
"ENSGACT00000013151.1",69.6486074563619,-0.893694179643532,0.145207235694285,-6.15461189224129,7.52615726313142e-10,8.43995231684748e-07
"ENSGACT00000013661.1",13.9043989077292,-1.10816278882473,0.180291748697736,-6.14649753429703,7.92125534874575e-10,8.43995231684748e-07
