"FeatureID","FeatureName","type","X","log2FoldChange"
"ENSGACG00000000082","ENSGACG00000000082","Bcell","ENSGACT00000000101.1",0.177850586593704
"ENSGACG00000000326","ENSGACG00000000326","Neutrophil","ENSGACT00000000446.1",0.322257251335028
"ENSGACG00000000474","rpl23","Bcell","ENSGACT00000000615.1",0.124403057356922
"ENSGACG00000000850","ENSGACG00000000850","APC","ENSGACT00000001096.1",0.258036416650004
"ENSGACG00000000860","ENSGACG00000000860","Neutrophil","ENSGACT00000001114.1",0.760341132435333
"ENSGACG00000000860","ENSGACG00000000860","Neutrophil","ENSGACT00000001108.1",0.132078227964015
"ENSGACG00000001519","itgb2","Neutrophil","ENSGACT00000001990.1",-0.727099512120872
"ENSGACG00000001577","ENSGACG00000001577","Neutrophil","ENSGACT00000002081.1",0.291693935884535
"ENSGACG00000001633","ENSGACG00000001633","NKC","ENSGACT00000002136.1",-0.33491739206926
"ENSGACG00000001884","ENSGACG00000001884","APC","ENSGACT00000002488.1",-0.8108156023699
"ENSGACG00000001966","ncf2","Neutrophil","ENSGACT00000002564.1",0.205895145039482
"ENSGACG00000002997","ENSGACG00000002997","Fibroblast","ENSGACT00000003936.1",-0.304258643560198
"ENSGACG00000003110","rpl21","Bcell","ENSGACT00000004082.1",0.157917049858245
"ENSGACG00000003205","selenbp1","Fibroblast","ENSGACT00000004212.1",-0.300175086113092
"ENSGACG00000003230","cd79a","Bcell","ENSGACT00000004238.1",0.398396605845143
"ENSGACG00000003361","col1a1b","Fibroblast","ENSGACT00000004447.1",-0.348325602255038
"ENSGACG00000003403","ENSGACG00000003403","APC","ENSGACT00000004464.1",0.492682587526643
"ENSGACG00000003555","ENSGACG00000003555","APC","ENSGACT00000004668.1",0.319950978074993
"ENSGACG00000003653","zgc:64051","Bcell","ENSGACT00000004819.1",0.238378655147838
"ENSGACG00000004178","ENSGACG00000004178","Neutrophil","ENSGACT00000005576.1",0.246623002948013
"ENSGACG00000004373","dkc1","HC","ENSGACT00000005822.1",0.189637030210433
"ENSGACG00000004430","rpia","Neutrophil","ENSGACT00000005912.1",0.176336116947212
"ENSGACG00000004460","fam49bb","Neutrophil","ENSGACT00000005949.1",0.173568997864211
"ENSGACG00000004482","stmn4","Fibroblast","ENSGACT00000005952.1",0.487646168556849
"ENSGACG00000004517","alpl","Fibroblast","ENSGACT00000006060.1",0.476787397484706
"ENSGACG00000004949","ENSGACG00000004949","Bcell","ENSGACT00000006551.1",0.413278463618038
"ENSGACG00000005143","col1a1a","Fibroblast","ENSGACT00000006920.1",-0.669823080471972
"ENSGACG00000005566","ENSGACG00000005566","Neutrophil","ENSGACT00000007379.1",0.328922381829171
"ENSGACG00000005947","sla1","Neutrophil","ENSGACT00000007895.1",0.266357047653111
"ENSGACG00000006153","rap1ab","Platelet","ENSGACT00000008172.1",0.363411552588042
"ENSGACG00000006153","rap1ab","Platelet","ENSGACT00000008186.1",-0.777896558676986
"ENSGACG00000006204","ENSGACG00000006204","Platelet","ENSGACT00000008219.1",-0.247820862816517
"ENSGACG00000006492","cpn1","Fibroblast","ENSGACT00000008607.1",0.258496161433625
"ENSGACG00000007164","pgd","Neutrophil","ENSGACT00000009553.1",0.173140832338779
"ENSGACG00000007298","tspan36","APC","ENSGACT00000009699.1",-0.220682881773736
"ENSGACG00000007476","fuca1.2","APC","ENSGACT00000009944.1",0.259249164452521
