"FeatureID","FeatureName","type","X","log2FoldChange"
"ENSGACG00000003361","col1a1b","Fibroblast","ENSGACT00000004447.1",-0.705151377417366
"ENSGACG00000004882","ENSGACG00000004882","Neutrophil","ENSGACT00000006482.1",0.803111206543504
"ENSGACG00000006153","rap1ab","Platelet","ENSGACT00000008186.1",-1.16004501437715
"ENSGACG00000007518","gstr","APC","ENSGACT00000010009.1",0.678020176335292
"ENSGACG00000009519","ENSGACG00000009519","Bcell","ENSGACT00000012569.1",-1.04378714257303
"ENSGACG00000010720","ENSGACG00000010720","Bcell","ENSGACT00000014215.1",-0.646928476704143
"ENSGACG00000016482","hmgb2a","HC","ENSGACT00000021812.1",0.385774940520056
"ENSGACG00000018016","cd74a","Bcell","ENSGACT00000023851.1",-0.346758156427974
"ENSGACG00000018016","cd74a","APC","ENSGACT00000023851.1",-0.346758156427974
"ENSGACG00000018539","sh2d1ab","NKC","ENSGACT00000024555.1",-0.927489834042454
"ENSGACG00000019078","cxcl19","APC","ENSGACT00000025278.1",-0.763874074320573
"ENSGACG00000019945","ptn","Fibroblast","ENSGACT00000026404.1",-0.60508568758363
"ENSGACG00000020069","ENSGACG00000020069","NKC","ENSGACT00000026565.1",-0.473593240584008
"ENSGACG00000020929","mt-nd2","Neutrophil","ENSGACT00000027721.1",-0.441880882044925
