"FeatureID","FeatureName","type","X","log2FoldChange"
"ENSGACG00000000082","ENSGACG00000000082","Bcell","ENSGACT00000000101.1",-0.30854084677837
"ENSGACG00000000326","ENSGACG00000000326","Neutrophil","ENSGACT00000000441.1",-0.441872132733871
"ENSGACG00000000326","ENSGACG00000000326","Neutrophil","ENSGACT00000000446.1",-0.931063762130863
"ENSGACG00000000330","ENSGACG00000000330","Bcell","ENSGACT00000000421.1",0.450025752709526
"ENSGACG00000000330","ENSGACG00000000330","APC","ENSGACT00000000421.1",0.450025752709526
"ENSGACG00000000474","rpl23","Bcell","ENSGACT00000000615.1",-0.265829504004349
"ENSGACG00000000546","ENSGACG00000000546","Neutrophil","ENSGACT00000000704.1",-0.330389061919072
"ENSGACG00000000590","rpl18a","Bcell","ENSGACT00000000764.1",-0.513522714382583
"ENSGACG00000000675","lta4h","Neutrophil","ENSGACT00000000877.1",-0.347950600153332
"ENSGACG00000000834","npsn","Neutrophil","ENSGACT00000001078.1",-1.10838351810265
"ENSGACG00000000850","ENSGACG00000000850","APC","ENSGACT00000001096.1",-0.887800547105231
"ENSGACG00000000860","ENSGACG00000000860","Neutrophil","ENSGACT00000001108.1",-0.412743304467089
"ENSGACG00000001108","ENSGACG00000001108","HC","ENSGACT00000001445.1",-0.381306056129898
"ENSGACG00000001123","ENSGACG00000001123","Neutrophil","ENSGACT00000001456.1",-0.19023267826737
"ENSGACG00000001423","PLA1A","Fibroblast","ENSGACT00000001844.1",-0.419558856321257
"ENSGACG00000001460","ENSGACG00000001460","Bcell","ENSGACT00000001891.1",-0.385592055689213
"ENSGACG00000001460","ENSGACG00000001460","HC","ENSGACT00000001891.1",-0.385592055689213
"ENSGACG00000001512","DBI","Neutrophil","ENSGACT00000001971.1",-0.388030616206429
"ENSGACG00000001519","itgb2","Neutrophil","ENSGACT00000001990.1",1.70240490922636
"ENSGACG00000001577","ENSGACG00000001577","Neutrophil","ENSGACT00000002081.1",-0.67783072018618
"ENSGACG00000001633","ENSGACG00000001633","NKC","ENSGACT00000002136.1",0.771666085433526
"ENSGACG00000001804","zgc:162944","Bcell","ENSGACT00000002359.1",-0.306626755148072
"ENSGACG00000001884","ENSGACG00000001884","APC","ENSGACT00000002488.1",1.30718521234042
"ENSGACG00000001954","ENSGACG00000001954","Neutrophil","ENSGACT00000002547.1",-0.620101083172384
"ENSGACG00000001966","ncf2","Neutrophil","ENSGACT00000002564.1",-0.245730403070337
"ENSGACG00000002035","rpl8","Bcell","ENSGACT00000002668.1",-0.526485747407784
"ENSGACG00000002118","rpl11","Bcell","ENSGACT00000002773.1",-0.917233235116364
"ENSGACG00000002393","ENSGACG00000002393","Fibroblast","ENSGACT00000003137.1",0.835814124801546
"ENSGACG00000002393","ENSGACG00000002393","Platelet","ENSGACT00000003137.1",0.835814124801546
"ENSGACG00000002813","glud1b","APC","ENSGACT00000003741.1",-0.48565071980628
"ENSGACG00000003110","rpl21","Bcell","ENSGACT00000004082.1",-0.5728334471701
"ENSGACG00000003361","col1a1b","Fibroblast","ENSGACT00000004447.1",1.46970947817277
"ENSGACG00000003398","icn","Fibroblast","ENSGACT00000004458.1",-0.704713551564699
"ENSGACG00000003457","fabp11a","Fibroblast","ENSGACT00000004546.1",-0.941146090897323
"ENSGACG00000003471","tubb2b","HC","ENSGACT00000004595.1",-0.802581624443969
"ENSGACG00000003555","ENSGACG00000003555","APC","ENSGACT00000004668.1",-0.544043497599411
"ENSGACG00000003572","pabpc1a","HC","ENSGACT00000004695.1",-0.301870390803907
"ENSGACG00000003641","ahcy","HC","ENSGACT00000004821.1",-0.670964071510118
"ENSGACG00000003653","zgc:64051","Bcell","ENSGACT00000004819.1",-0.468978711260158
"ENSGACG00000003679","id4","Neutrophil","ENSGACT00000004840.1",-0.832707209572914
"ENSGACG00000003825","ENSGACG00000003825","APC","ENSGACT00000005035.1",-0.498170903292758
"ENSGACG00000004178","ENSGACG00000004178","Neutrophil","ENSGACT00000005576.1",-0.626330500081624
"ENSGACG00000004210","nid1a","Fibroblast","ENSGACT00000005564.1",0.326803166423016
"ENSGACG00000004230","RPL5","Bcell","ENSGACT00000005589.1",-0.273186141857667
"ENSGACG00000004252","MYL12B","Neutrophil","ENSGACT00000005621.1",-0.232441517716388
"ENSGACG00000004373","dkc1","HC","ENSGACT00000005822.1",-0.433140637321986
"ENSGACG00000004430","rpia","Neutrophil","ENSGACT00000005912.1",-0.617019711857691
"ENSGACG00000004460","fam49bb","Neutrophil","ENSGACT00000005949.1",-0.247010440059018
"ENSGACG00000004515","ENSGACG00000004515","Fibroblast","ENSGACT00000005977.1",-0.6358873201428
"ENSGACG00000004517","alpl","Fibroblast","ENSGACT00000006060.1",-0.645690131380086
"ENSGACG00000004652","ENSGACG00000004652","RBC","ENSGACT00000006149.1",-0.373223151227533
"ENSGACG00000004699","rpl35a","Bcell","ENSGACT00000006220.1",-0.241550343808023
"ENSGACG00000004750","cfl1l","Neutrophil","ENSGACT00000006299.1",-1.21775294075239
"ENSGACG00000004882","ENSGACG00000004882","Neutrophil","ENSGACT00000006482.1",-0.457506851636864
"ENSGACG00000004926","rps10","Bcell","ENSGACT00000006535.1",-0.367757857765645
"ENSGACG00000005108","psap","Bcell","ENSGACT00000006810.1",1.53888918565199
"ENSGACG00000005108","psap","APC","ENSGACT00000006810.1",1.53888918565199
"ENSGACG00000005143","col1a1a","Fibroblast","ENSGACT00000006920.1",2.2961603591039
"ENSGACG00000005726","pcna","HC","ENSGACT00000007632.1",-0.912360982679228
"ENSGACG00000005779","ENSGACG00000005779","Neutrophil","ENSGACT00000007663.1",-0.224193059270891
"ENSGACG00000005947","sla1","Neutrophil","ENSGACT00000007895.1",-0.606191053026664
"ENSGACG00000005975","ENSGACG00000005975","APC","ENSGACT00000007933.1",-0.583645912464727
"ENSGACG00000006153","rap1ab","Platelet","ENSGACT00000008186.1",1.49475990776042
"ENSGACG00000006229","fkbp2","Neutrophil","ENSGACT00000008262.1",-0.529601628754524
"ENSGACG00000006448","tmem205","RBC","ENSGACT00000008544.1",-0.613913386471838
"ENSGACG00000006492","cpn1","Fibroblast","ENSGACT00000008607.1",-0.654279143170878
"ENSGACG00000006673","rbp4","Fibroblast","ENSGACT00000008906.1",0.9495939794877
"ENSGACG00000006710","ENSGACG00000006710","APC","ENSGACT00000008894.1",0.638083439836782
"ENSGACG00000006807","alas2","RBC","ENSGACT00000009067.1",-0.729137363102097
"ENSGACG00000006905","c7a","Fibroblast","ENSGACT00000009181.1",-0.731756303086463
"ENSGACG00000006997","alas1","Neutrophil","ENSGACT00000009301.1",1.53268508561723
"ENSGACG00000007164","pgd","Neutrophil","ENSGACT00000009553.1",-0.268249994157823
"ENSGACG00000007176","ENSGACG00000007176","Neutrophil","ENSGACT00000009521.1",-0.387006088129834
"ENSGACG00000007312","ENSGACG00000007312","RBC","ENSGACT00000009708.1",-0.860596731905048
"ENSGACG00000007396","eno1a","Neutrophil","ENSGACT00000009918.1",-0.406324719261715
"ENSGACG00000007476","fuca1.2","APC","ENSGACT00000009944.1",-0.658444252600317
"ENSGACG00000007518","gstr","APC","ENSGACT00000010009.1",-0.584990862154277
"ENSGACG00000007718","npc2","APC","ENSGACT00000010260.1",0.292570527676542
"ENSGACG00000007723","si:dkey-262k9.4","APC","ENSGACT00000010270.1",-0.433457153432114
"ENSGACG00000007744","gpia","Neutrophil","ENSGACT00000010328.1",-0.502029897929642
"ENSGACG00000007762","alox5a","Neutrophil","ENSGACT00000010333.1",-0.685035129330942
