"FeatureID","FeatureName","type","X","log2FoldChange"
"ENSGACG00000000326","ENSGACG00000000326","Neutrophil","ENSGACT00000000446.1",-0.727670584230449
"ENSGACG00000000330","ENSGACG00000000330","APC","ENSGACT00000000421.1",0.650988462000011
"ENSGACG00000000330","ENSGACG00000000330","Bcell","ENSGACT00000000421.1",0.650988462000011
"ENSGACG00000000344","ENSGACG00000000344","APC","ENSGACT00000000434.1",0.478960695466165
"ENSGACG00000000344","ENSGACG00000000344","Bcell","ENSGACT00000000434.1",0.478960695466165
"ENSGACG00000000546","ENSGACG00000000546","Neutrophil","ENSGACT00000000704.1",-0.408255230972175
"ENSGACG00000000850","ENSGACG00000000850","APC","ENSGACT00000001096.1",-0.506110231604861
"ENSGACG00000000860","ENSGACG00000000860","Neutrophil","ENSGACT00000001108.1",-0.253323429531046
"ENSGACG00000001519","itgb2","Neutrophil","ENSGACT00000001990.1",1.38205435135024
"ENSGACG00000001577","ENSGACG00000001577","Neutrophil","ENSGACT00000002081.1",-0.725719423861541
"ENSGACG00000001633","ENSGACG00000001633","NKC","ENSGACT00000002136.1",0.945334168836363
"ENSGACG00000001804","zgc:162944","Bcell","ENSGACT00000002359.1",0.421357147073989
"ENSGACG00000001884","ENSGACG00000001884","APC","ENSGACT00000002488.1",1.1688699985567
"ENSGACG00000001954","ENSGACG00000001954","Neutrophil","ENSGACT00000002547.1",-0.308249623752987
"ENSGACG00000002393","ENSGACG00000002393","Fibroblast","ENSGACT00000003137.1",1.27796519236852
"ENSGACG00000002393","ENSGACG00000002393","Platelet","ENSGACT00000003137.1",1.27796519236852
"ENSGACG00000003361","col1a1b","Fibroblast","ENSGACT00000004447.1",1.04540515064328
"ENSGACG00000003398","icn","Fibroblast","ENSGACT00000004458.1",-0.81729031180937
"ENSGACG00000003457","fabp11a","Fibroblast","ENSGACT00000004546.1",-0.749038243531631
"ENSGACG00000003471","tubb2b","HC","ENSGACT00000004595.1",-0.804741427314288
"ENSGACG00000003555","ENSGACG00000003555","APC","ENSGACT00000004668.1",-0.548199157150866
"ENSGACG00000003653","zgc:64051","Bcell","ENSGACT00000004819.1",-0.269390430984561
"ENSGACG00000003679","id4","Neutrophil","ENSGACT00000004840.1",-0.490094609905582
"ENSGACG00000004178","ENSGACG00000004178","Neutrophil","ENSGACT00000005576.1",-0.432028600906986
"ENSGACG00000004210","nid1a","Fibroblast","ENSGACT00000005564.1",0.337473281822693
"ENSGACG00000004515","ENSGACG00000004515","Fibroblast","ENSGACT00000005977.1",-0.364703070061356
