FeatureID,FeatureName,type,X,log2FoldChange
ENSGACG00000000546,ENSGACG00000000546,Neutrophil,ENSGACT00000000704.1,-0.271300597
ENSGACG00000000675,lta4h,Neutrophil,ENSGACT00000000877.1,-0.211952497
ENSGACG00000001460,ENSGACG00000001460,HC,ENSGACT00000001891.1,-0.296865723
ENSGACG00000001460,ENSGACG00000001460,Bcell,ENSGACT00000001891.1,-0.296865723
ENSGACG00000001633,ENSGACG00000001633,NKC,ENSGACT00000002136.1,-0.525360641
ENSGACG00000001880,slco2b1,Fibroblast,ENSGACT00000002458.1,-0.234253468
ENSGACG00000001884,ENSGACG00000001884,APC,ENSGACT00000002460.1,0.567455142
ENSGACG00000002813,glud1b,APC,ENSGACT00000003741.1,0.201439486
ENSGACG00000003205,selenbp1,Fibroblast,ENSGACT00000004212.1,-0.354325192
ENSGACG00000003266,ENSGACG00000003266,APC,ENSGACT00000004292.1,0.482527292
ENSGACG00000003403,ENSGACG00000003403,APC,ENSGACT00000004464.1,0.793724552
ENSGACG00000003471,tubb2b,HC,ENSGACT00000004595.1,0.208648103
ENSGACG00000003551,ENSGACG00000003551,APC,ENSGACT00000004664.1,0.451177058
ENSGACG00000003555,ENSGACG00000003555,APC,ENSGACT00000004668.1,0.543773692
ENSGACG00000003825,ENSGACG00000003825,APC,ENSGACT00000005035.1,0.562660017
ENSGACG00000003995,rplp1,Bcell,ENSGACT00000005262.1,-0.163609607
ENSGACG00000004084,cndp2,APC,ENSGACT00000005391.1,0.370833752
ENSGACG00000004230,RPL5,Bcell,ENSGACT00000005589.1,-0.115961328
ENSGACG00000004515,ENSGACG00000004515,Fibroblast,ENSGACT00000005977.1,-0.195484703
ENSGACG00000004690,si:ch1073-406l10.2,HC,ENSGACT00000006199.1,0.186459119
ENSGACG00000005201,SNRPD1,HC,ENSGACT00000006916.1,0.233478906
ENSGACG00000005726,pcna,HC,ENSGACT00000007632.1,0.242803207
ENSGACG00000006204,ENSGACG00000006204,Platelet,ENSGACT00000008219.1,-0.334151509
ENSGACG00000006358,ENSGACG00000006358,APC,ENSGACT00000008425.1,0.984101007
ENSGACG00000006492,cpn1,Fibroblast,ENSGACT00000008607.1,0.194437448
ENSGACG00000006710,ENSGACG00000006710,APC,ENSGACT00000008894.1,0.602103626
ENSGACG00000006921,ENSGACG00000006921,Fibroblast,ENSGACT00000009199.1,-0.379322295
ENSGACG00000007176,ENSGACG00000007176,Neutrophil,ENSGACT00000009521.1,0.19655648
ENSGACG00000007396,eno1a,Neutrophil,ENSGACT00000009926.1,-0.511832124
ENSGACG00000007476,fuca1.2,APC,ENSGACT00000009944.1,0.261995023
ENSGACG00000007718,npc2,APC,ENSGACT00000010260.1,0.262210051
ENSGACG00000007985,ctsc,APC,ENSGACT00000010656.1,0.320936513
ENSGACG00000008033,krt18b,APC,ENSGACT00000010655.1,0.555415951
ENSGACG00000008033,krt18b,APC,ENSGACT00000010691.1,0.796584776
ENSGACG00000008262,fance,Bcell,ENSGACT00000010951.1,-0.20005111
ENSGACG00000008411,ENSGACG00000008411,HC,ENSGACT00000011155.1,0.215683746
ENSGACG00000008514,ENSGACG00000008514,APC,ENSGACT00000011275.1,0.5676177
ENSGACG00000008736,rps24,Bcell,ENSGACT00000011569.1,-0.165793967
ENSGACG00000008983,ENSGACG00000008983,HC,ENSGACT00000011885.1,0.242684356
ENSGACG00000009229,nkl.4,NKC,ENSGACT00000012202.1,0.562676105
ENSGACG00000009620,ctsl.1,APC,ENSGACT00000012750.1,0.397530149
ENSGACG00000009964,tktb,Neutrophil,ENSGACT00000013310.1,-0.245043805
