"FeatureID","FeatureName","type","log2FoldChange"
"ENSGACG00000006807","alas2","RBC",1.437493006
"ENSGACG00000009211","ENSGACG00000009211","RBC",1.28761944
"ENSGACG00000010218","gata1a","Platelet",0.883909063
"ENSGACG00000012552","blvrb","RBC",1.140487662
"ENSGACG00000012609","ENSGACG00000012609","APC",1.902326286
"ENSGACG00000014487","zgc:163057","RBC",1.535012848
"ENSGACG00000015164","ENSGACG00000015164","Fibroblast",0.887377515
"ENSGACG00000017383","aqp1a.1","RBC",1.334038389
"ENSGACG00000019078","cxcl19","APC",-0.681074298
"ENSGACG00000020086","ENSGACG00000020086","RBC",0.982201601
