FeatureID,FeatureName,Natural Killer Cells Average,Natural Killer Cells Log2 Fold Change,Natural Killer Cells P-Value
ENSGACG00000020069,ENSGACG00000020069,30.266671214993515,8.873287390212866,3.9839335094514156e-76
ENSGACG00000001633,ENSGACG00000001633,1.334581056934064,8.322611032620634,4.363495008170655e-51
ENSGACG00000018539,sh2d1ab,1.5254590041157239,6.269855379244851,8.451327767513092e-23
ENSGACG00000009229,nkl.4,3.467094516020968,7.927312598599887,1.3532708463155227e-20
ENSGACG00000014424,ENSGACG00000014424,1.3924702704235838,3.883200444792166,0.00014109145232357666
ENSGACG00000005291,ENSGACG00000005291,1.954152098605681,3.406440352806114,0.00922579239321309
ENSGACG00000009575,id3,1.1139762163388671,3.125563801240479,0.022677618370069656
ENSGACG00000018050,ENSGACG00000018050,1.3455330702969461,3.1116334377046813,0.028376197958911345
ENSGACG00000009171,ENSGACG00000009171,1.1812528698537144,2.007445380461305,0.775388588437337
ENSGACG00000003653,zgc:64051,3.3747846891052475,0.14113602265167335,1
ENSGACG00000003574,rpl35,12.180203432862472,0.19278562477649341,1
ENSGACG00000004055,rpl6,9.935040693471636,0.16313360842609193,1
ENSGACG00000001066,ENSGACG00000001066,1.0028915093724913,0.03936990030525003,1
ENSGACG00000008736,rps24,14.268908838497847,0.16163767890028824,1
ENSGACG00000011558,rps27a,20.042184454074278,0.06284756998037899,1
ENSGACG00000003895,rps23,10.933238482831465,0.08530741122070395,1
ENSGACG00000004372,rpl22,6.6995030314087485,0.1113388952419272,1
ENSGACG00000004926,rps10,14.124968091442826,0.157127109035895,1
ENSGACG00000007041,rpl29,5.4634900947406235,0.005704866817626719,1
ENSGACG00000000741,rps26,10.13687065401618,0.08046940559492866,1
ENSGACG00000005090,ENSGACG00000005090,1.1875111632039328,0.26068879438441794,1
ENSGACG00000003288,rpl38,4.0944884243803585,0.14898021014530438,1
ENSGACG00000014492,hbae5,30.567069295803996,0.6397447138602885,1
ENSGACG00000016153,rpl9,11.829739005250245,0.045864972799761095,1
ENSGACG00000019181,rps15a,16.284079297268157,0.046099061604808256,1
ENSGACG00000017861,rps6,10.66256729543452,0.14695116847828293,1
ENSGACG00000017164,rps3a,12.821678501259854,0.05659906752628663,1
ENSGACG00000016657,arpc1b,5.332065934386038,0.29629788063520834,1
ENSGACG00000004818,ENSGACG00000004818,1.5192007107655054,0.558173286136455,1
ENSGACG00000006710,ENSGACG00000006710,2.3828451930956382,0.4945123170230601,1
ENSGACG00000006713,ENSGACG00000006713,1.7413701246982571,0.04275353884996658,1
ENSGACG00000009310,rpl13a,16.484344684475143,0.05999262986369436,1
ENSGACG00000012607,ENSGACG00000012607,1.4065514304615752,0.36294887482511873,1
ENSGACG00000002088,rpl36,10.036737960412685,0.24516766254738043,1
ENSGACG00000004230,RPL5,8.5582161564236,0.29216223315022605,1
ENSGACG00000007843,ptprc,1.9760561253314453,0.648051081868479,1
ENSGACG00000008021,uba52,9.140237437993907,0.08755955398446336,1
ENSGACG00000012793,ENSGACG00000012793,3.038401421531011,0.015562791546912313,1
ENSGACG00000014467,serbp1a,1.7836136048122309,0.04766756996297061,1
ENSGACG00000000151,ENSGACG00000000151,1.5426693108288243,0.7004945239811045,1
ENSGACG00000002118,rpl11,7.918305661363773,0.11150904985606047,1
ENSGACG00000002835,rps5,12.970312968327539,0.11447429224026395,1
ENSGACG00000003336,ENSGACG00000003336,14.070208024628414,0.1568685657311022,1
ENSGACG00000003995,rplp1,19.25520406528432,0.2659029076874524,1
ENSGACG00000005947,sla1,1.0748618829000023,0.26786895190835963,1
ENSGACG00000007961,rpl15,6.53991655097818,0.04997236625215162,1
ENSGACG00000008253,ENSGACG00000008253,1.6913037778965103,0.4019808257764482,1
ENSGACG00000008265,rpl14,9.637771759336266,0.17563118192813665,1
ENSGACG00000009814,rps18,14.267344265160293,0.07064909115816453,1
ENSGACG00000002699,ENSGACG00000002699,11.074050083211377,0.04572182201403896,1
ENSGACG00000015245,naca,6.732359071497394,0.09905128657247175,1
ENSGACG00000008262,fance,11.31030065718212,0.24221166824812057,1
ENSGACG00000013304,ENSGACG00000013304,2.6707266872056827,0.020261358695675913,1
ENSGACG00000013073,rpl10,9.268532451673382,0.06141449793784348,1
ENSGACG00000012484,zgc:171772,14.329927198662476,0.13298951626878797,1
ENSGACG00000015206,cirbpa,1.4065514304615752,0.935036928859571,1
ENSGACG00000015549,rps15,2.459509286635813,0.06240707486435371,1
ENSGACG00000015568,rps28,7.66171563400482,0.14785517232415968,1
ENSGACG00000015634,scinlb,2.8084091409104865,0.5366244183130918,1
ENSGACG00000016489,rps8a,13.147109755471208,0.1316608427553314,1
ENSGACG00000017481,gtpbp4,1.52076528410306,0.12179553820178013,1
ENSGACG00000017667,eif3f,1.1968986032292603,0.01855998325929642,1
ENSGACG00000017701,ENSGACG00000017701,1.1311865230519675,0.40774921439672507,1
ENSGACG00000001519,itgb2,1.4315846038624485,0.1316186815921202,1
ENSGACG00000001804,zgc:162944,1.4926029640270775,1.537735988017208,1
