,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSGACG00000000009,111.7170404,0.011748268,0.177638422,0.066135851,0.947269668,0.988089908
ENSGACG00000000013,19.77009662,-0.534380767,0.252107241,-2.119656561,0.034035019,0.38776415
ENSGACG00000000014,5.954832088,-0.040994159,0.494943686,-0.082825906,0.93398997,0.984716942
ENSGACG00000000015,13.244545,-0.147543032,0.335867064,-0.439289969,0.660451441,0.905590541
ENSGACG00000000016,186.2513743,0.084517953,0.200547765,0.421435527,0.673437081,0.910743454
ENSGACG00000000017,0.997651058,0.41717955,0.988668596,0.42196096,0.673053513,0.910743454
ENSGACG00000000018,4.068442522,-0.095213182,0.448397371,-0.212341079,0.83184095,0.966335957
ENSGACG00000000024,64.58807584,-0.127141731,0.159754322,-0.795857847,0.426114664,0.801166366
ENSGACG00000000025,41.70419946,-0.076701134,0.228996814,-0.334944108,0.737667248,0.933359367
ENSGACG00000000027,110.3457396,-0.389803437,0.215836487,-1.806012701,0.070916356,0.474649029
ENSGACG00000000035,8.088724391,-0.811679433,0.559880895,-1.449735899,0.147132181,0.592906043
ENSGACG00000000038,1.201395943,-2.443082729,1.197247913,-2.040582158,0.041292377,0.404673033
ENSGACG00000000043,21.09958567,-0.290454515,0.231671417,-1.253734788,0.209938419,0.651614111
ENSGACG00000000048,65.46810819,0.08351077,0.211116355,0.395567503,0.692424114,0.917976276
ENSGACG00000000049,0.957048624,0.018360366,1.131455764,0.016227207,0.987053131,0.996519682
ENSGACG00000000057,18.44581917,-0.369115148,0.261190246,-1.41320418,0.157595698,0.603772261
ENSGACG00000000058,180.9532412,0.495274271,0.363130521,1.363901526,0.172598561,0.61569972
ENSGACG00000000061,517.8517836,-0.036477044,0.120770232,-0.302036713,0.762624076,0.942641358
ENSGACG00000000064,1.029195048,0.152077987,0.924849387,0.164435408,0.869388391,0.973161457
ENSGACG00000000065,6.018663535,0.221136242,0.502169066,0.440362136,0.659674844,0.905590541
ENSGACG00000000069,5.597590256,-0.685754456,0.423273056,-1.6201231,0.105205836,0.538936861
ENSGACG00000000070,1.421162685,0.960722763,0.957603253,1.003257622,0.315736577,0.735743432
ENSGACG00000000074,10.38714426,0.064130064,0.536843493,0.119457653,0.904912788,0.979914086
ENSGACG00000000079,3.303315548,-0.715638431,0.578431618,-1.237204898,0.216011023,0.657779619
ENSGACG00000000080,1.364627457,0.691733955,0.861128162,0.803288042,0.421808268,0.79804185
ENSGACG00000000081,1.972377977,0.38134828,0.743440007,0.51295098,0.607985611,0.886542609
ENSGACG00000000082,259.61848,-0.25857527,0.183311253,-1.410580455,0.158368358,0.604219719
ENSGACG00000000083,5.190159749,0.334037807,0.428322298,0.779874894,0.435464517,0.805831751
