"FeatureID","FeatureName","type","log2FoldChange"
"ENSGACG00000000326","ENSGACG00000000326","Neutrophil",0.876424589
"ENSGACG00000001577","ENSGACG00000001577","Neutrophil",0.802271556
"ENSGACG00000002035","rpl8","Bcell",-0.744956029
"ENSGACG00000003262","snrpb","HC",0.525923448
"ENSGACG00000004230","RPL5","Bcell",-0.630829602
"ENSGACG00000004430","rpia","Neutrophil",-0.952625914
"ENSGACG00000004882","ENSGACG00000004882","Neutrophil",1.378771459
"ENSGACG00000005108","psap","APC",-0.597619894
"ENSGACG00000005108","psap","Bcell",-0.597619894
"ENSGACG00000005726","pcna","HC",0.646098938
"ENSGACG00000005975","ENSGACG00000005975","APC",1.751921055
"ENSGACG00000006358","ENSGACG00000006358","APC",-1.646725438
"ENSGACG00000007164","pgd","Neutrophil",0.904018681
"ENSGACG00000007744","gpia","Neutrophil",1.332484386
"ENSGACG00000007839","mmp25b","Neutrophil",0.796914517
"ENSGACG00000007839","mmp25b","APC",0.796914517
"ENSGACG00000008983","ENSGACG00000008983","HC",1.013469667
"ENSGACG00000009066","tcp1","HC",0.352414949
"ENSGACG00000009229","nkl.4","NKC",-2.116133651
"ENSGACG00000009280","ENSGACG00000009280","HC",-0.898982761
"ENSGACG00000009575","id3","NKC",-1.276346635
"ENSGACG00000009846","arpc4","Neutrophil",-0.937989782
"ENSGACG00000010080","cct3","HC",0.637956121
"ENSGACG00000011212","ENSGACG00000011212","Neutrophil",-0.647691314
"ENSGACG00000011650","tegt","Neutrophil",-0.585942434
"ENSGACG00000011970","ENSGACG00000011970","Fibroblast",-1.068516906
"ENSGACG00000012609","ENSGACG00000012609","APC",3.134978268
"ENSGACG00000013555","coro1a","Neutrophil",0.614656794
"ENSGACG00000014681","CCT2","HC",0.792783233
"ENSGACG00000015164","ENSGACG00000015164","Fibroblast",-1.226365955
"ENSGACG00000015519","ifi30","APC",-1.106161474
"ENSGACG00000015568","rps28","Bcell",-0.725742719
"ENSGACG00000015634","scinlb","Neutrophil",1.30243449
"ENSGACG00000015680","swap70a","Bcell",-1.269622919
"ENSGACG00000016089","rpl28","Bcell",-0.770283818
"ENSGACG00000017032","cfl1","Neutrophil",0.84800662
"ENSGACG00000017491","rpl12","HC",0.619253656
"ENSGACG00000017755","ran","HC",1.006405849
"ENSGACG00000019085","f13a1b","Platelet",0.578517553
"ENSGACG00000019326","ponzr1","APC",1.004353879
"ENSGACG00000020024","epdl1","APC",-0.80378642
"ENSGACG00000020494","cct6a","HC",0.55524002
"ENSGACG00000020940","ENSGACG00000020940","Neutrophil",-3.093466699
