,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSGACG00000000009,111.7170404,0.890243515,0.219300915,4.05946102,4.92E-05,0.005915522
ENSGACG00000000013,19.77009662,0.184727751,0.319015892,0.579055012,0.562552055,0.807481172
ENSGACG00000000014,5.954832088,-1.446856331,0.61266793,-2.361566943,0.018197886,0.158256928
ENSGACG00000000015,13.244545,0.129543518,0.416044948,0.311369045,0.755520084,0.902232965
ENSGACG00000000016,186.2513743,0.132243669,0.248132563,0.532955721,0.594064232,0.825520179
ENSGACG00000000017,0.997651058,0.217015896,1.193039865,0.18190163,0.855659925,0.949006031
ENSGACG00000000018,4.068442522,-0.474591774,0.537320628,-0.883256196,0.377097865,0.675077511
ENSGACG00000000024,64.58807584,0.489199379,0.200736141,2.437026924,0.014808577,0.141415659
ENSGACG00000000025,41.70419946,0.658380957,0.278943892,2.360263036,0.018261981,0.158578115
ENSGACG00000000027,110.3457396,0.290916412,0.269605163,1.079046145,0.280567157,0.590406249
ENSGACG00000000035,8.088724391,-0.522037939,0.702256215,-0.743372473,0.457256205,0.733563704
ENSGACG00000000038,1.201395943,0.103706421,1.667730749,0.062184151,0.950416184,0.985027486
ENSGACG00000000043,21.09958567,0.10076666,0.290952354,0.346333887,0.729091804,0.892316899
ENSGACG00000000048,65.46810819,-0.770131097,0.2636286,-2.921272944,0.003486043,0.06890643
ENSGACG00000000049,0.957048624,2.082328624,1.578433389,1.319237567,0.187089703,0.486981909
ENSGACG00000000057,18.44581917,0.565584592,0.310556319,1.821198144,0.068576743,0.299192892
ENSGACG00000000058,180.9532412,0.965188276,0.451621818,2.137160425,0.032584946,0.210858837
ENSGACG00000000061,517.8517836,0.522667209,0.149831566,3.488365128,0.000485984,0.020851244
ENSGACG00000000064,1.029195048,0.805281948,1.008806719,0.798251967,0.424724286,0.713495817
ENSGACG00000000065,6.018663535,0.707745526,0.600379208,1.17883084,0.238465541,0.543374917
ENSGACG00000000069,5.597590256,-0.593688813,0.551467466,-1.076561809,0.281676074,0.591797158
ENSGACG00000000070,1.421162685,-0.38002862,1.156896337,-0.328489777,0.742541373,0.897198663
ENSGACG00000000074,10.38714426,1.268210127,0.666444453,1.902949483,0.057047137,0.271942013
ENSGACG00000000079,3.303315548,1.843997764,0.68576874,2.68894987,0.007167718,0.100447915
ENSGACG00000000080,1.364627457,-1.371734566,1.046401003,-1.310907159,0.189889132,0.489679153
ENSGACG00000000081,1.972377977,-0.347770429,0.909094137,-0.382546113,0.702056332,0.880701017
ENSGACG00000000082,259.61848,-0.302370797,0.226070111,-1.337508949,0.181056563,0.479972201
ENSGACG00000000083,5.190159749,0.496769357,0.499308729,0.994914224,0.319777984,0.628926807
ENSGACG00000000085,174.7756121,-0.611716851,0.331006159,-1.848052775,0.064594709,0.290644084
ENSGACG00000000086,8.599261121,-1.622543374,0.622699867,-2.605658777,0.009169776,0.113252366
ENSGACG00000000087,7.165271663,-0.38818215,0.59442624,-0.653036701,0.513732619,0.773498656
ENSGACG00000000092,3.535248706,-0.221593548,0.628365946,-0.352650473,0.724350493,0.890456654
ENSGACG00000000093,7.445638652,0.999811835,0.734104409,1.361947732,0.173214381,0.468282459
ENSGACG00000000101,1.588763659,0.972221461,0.871419394,1.115675722,0.264560966,0.573498354
