"FeatureID","FeatureName","type","Taus"
"ENSGACG00000003798","rpe","Neutrophil",0.120595009
"ENSGACG00000005201","SNRPD1","HC",0.134948051
"ENSGACG00000006921","ENSGACG00000006921","Fibroblast",0.118747322
"ENSGACG00000007744","gpia","Neutrophil",0.116685411
"ENSGACG00000007762","alox5a","Neutrophil",0.098047879
"ENSGACG00000007959","lcp1","Neutrophil",0.107875429
"ENSGACG00000009214","cpa1","Neutrophil",0.112882926
"ENSGACG00000012927","ENSGACG00000012927","Neutrophil",0.082704049
"ENSGACG00000012951","ENSGACG00000012951","Neutrophil",0.087701394
"ENSGACG00000013002","ENSGACG00000013002","Fibroblast",-0.098185713
"ENSGACG00000013795","csf3r","APC",0.076170201
"ENSGACG00000015423","ENSGACG00000015423","Neutrophil",0.103457048
"ENSGACG00000015568","rps28","Bcell",0.075929199
"ENSGACG00000015958","irf8","Bcell",-0.080053021
"ENSGACG00000016593","actb1","Neutrophil",0.13026189
"ENSGACG00000017166","mpx","Neutrophil",0.098047879
"ENSGACG00000017305","ENSGACG00000017305","Neutrophil",0.088622001
"ENSGACG00000017440","rpl39","Bcell",0.088380998
"ENSGACG00000020086","ENSGACG00000020086","RBC",0.081365146
"ENSGACG00000020547","alox5ap","Neutrophil",0.123701264
