"FeatureID","FeatureName","type","Taus"
"ENSGACG00000003398","icn","Fibroblast",0.117171955
"ENSGACG00000003661","FBLN1","Fibroblast",-0.119187077
"ENSGACG00000004701","ENSGACG00000004701","Fibroblast",0.093258597
"ENSGACG00000006921","ENSGACG00000006921","Fibroblast",0.112312369
"ENSGACG00000009575","id3","NKC",-0.101859015
"ENSGACG00000012231","ENSGACG00000012231","Fibroblast",0.075288618
"ENSGACG00000012781","ENSGACG00000012781","Bcell",-0.13468744
"ENSGACG00000012951","ENSGACG00000012951","Neutrophil",0.107768639
"ENSGACG00000013795","csf3r","APC",0.078609918
"ENSGACG00000015423","ENSGACG00000015423","Neutrophil",0.076197606
"ENSGACG00000015568","rps28","Bcell",0.13468744
"ENSGACG00000015680","swap70a","Bcell",-0.090461713
"ENSGACG00000015958","irf8","Bcell",-0.170802203
"ENSGACG00000016593","actb1","Neutrophil",0.093398441
"ENSGACG00000017166","mpx","Neutrophil",0.150000379
"ENSGACG00000017305","ENSGACG00000017305","Neutrophil",0.08035797
"ENSGACG00000019287","ENSGACG00000019287","Neutrophil",0.126124139
"ENSGACG00000019990","hcls1","Neutrophil",0.077980619
"ENSGACG00000020086","ENSGACG00000020086","RBC",0.085567167
"ENSGACG00000020547","alox5ap","Neutrophil",0.155454303
