"FeatureID","FeatureName","type","Taus"
"ENSGACG00000000675","lta4h","Neutrophil",-0.097667449
"ENSGACG00000002475","ptgdsb.1","Fibroblast",-0.117593545
"ENSGACG00000002997","ENSGACG00000002997","Fibroblast",-0.073089242
"ENSGACG00000003661","FBLN1","Fibroblast",-0.120116908
"ENSGACG00000003798","rpe","Neutrophil",-0.089385077
"ENSGACG00000004430","rpia","Neutrophil",-0.085324564
"ENSGACG00000004949","ENSGACG00000004949","Bcell",0.114554882
"ENSGACG00000005201","SNRPD1","HC",-0.156343213
"ENSGACG00000006921","ENSGACG00000006921","Fibroblast",-0.101727962
"ENSGACG00000007744","gpia","Neutrophil",-0.177882758
"ENSGACG00000007762","alox5a","Neutrophil",-0.116302786
"ENSGACG00000007959","lcp1","Neutrophil",-0.128511217
"ENSGACG00000009214","cpa1","Neutrophil",-0.150265888
"ENSGACG00000009575","id3","NKC",0.069270746
"ENSGACG00000010720","ENSGACG00000010720","Bcell",0.097425432
"ENSGACG00000012231","ENSGACG00000012231","Fibroblast",-0.152686062
"ENSGACG00000012927","ENSGACG00000012927","Neutrophil",-0.085001874
"ENSGACG00000012951","ENSGACG00000012951","Neutrophil",-0.094737999
"ENSGACG00000013002","ENSGACG00000013002","Fibroblast",0.11719489
"ENSGACG00000013795","csf3r","APC",-0.08486742
"ENSGACG00000015423","ENSGACG00000015423","Neutrophil",-0.07631614
"ENSGACG00000015568","rps28","Bcell",-0.06875982
"ENSGACG00000015680","swap70a","Bcell",0.112000255
"ENSGACG00000015958","irf8","Bcell",0.105627131
"ENSGACG00000016266","tmem176","APC",-0.085593472
"ENSGACG00000016593","actb1","Neutrophil",-0.09801703
"ENSGACG00000017166","mpx","Neutrophil",-0.128403653
"ENSGACG00000017305","ENSGACG00000017305","Neutrophil",-0.124585157
"ENSGACG00000019287","ENSGACG00000019287","Neutrophil",-0.12874306
"ENSGACG00000019990","hcls1","Neutrophil",-0.095085931
"ENSGACG00000020547","alox5ap","Neutrophil",-0.08123716
