"FeatureID","FeatureName","type","Taus"
"ENSGACG00000000675","lta4h","Neutrophil",-0.099915742
"ENSGACG00000003661","FBLN1","Fibroblast",-0.079967448
"ENSGACG00000006921","ENSGACG00000006921","Fibroblast",-0.093658593
"ENSGACG00000007744","gpia","Neutrophil",-0.126533455
"ENSGACG00000007762","alox5a","Neutrophil",-0.081193955
"ENSGACG00000007959","lcp1","Neutrophil",-0.116899432
"ENSGACG00000009214","cpa1","Neutrophil",-0.127476993
"ENSGACG00000012231","ENSGACG00000012231","Fibroblast",-0.128321212
"ENSGACG00000012927","ENSGACG00000012927","Neutrophil",-0.080449057
"ENSGACG00000013002","ENSGACG00000013002","Fibroblast",0.103992032
"ENSGACG00000013795","csf3r","APC",-0.142176327
"ENSGACG00000016266","tmem176","APC",-0.101554519
"ENSGACG00000016593","actb1","Neutrophil",-0.120723245
"ENSGACG00000017166","mpx","Neutrophil",-0.107811668
"ENSGACG00000017305","ENSGACG00000017305","Neutrophil",-0.135819858
"ENSGACG00000019990","hcls1","Neutrophil",-0.111238202
"ENSGACG00000020086","ENSGACG00000020086","RBC",-0.085564028
"ENSGACG00000020547","alox5ap","Neutrophil",-0.08432253
