"FeatureID","FeatureName","type","Taus"
"ENSGACG00000004373","dkc1","HC",0.103322146
"ENSGACG00000005201","SNRPD1","HC",-0.094027229
"ENSGACG00000006710","ENSGACG00000006710","APC",-0.094361251
"ENSGACG00000007959","lcp1","Neutrophil",-0.112398446
"ENSGACG00000009214","cpa1","Neutrophil",-0.083839554
"ENSGACG00000012231","ENSGACG00000012231","Fibroblast",-0.097868484
"ENSGACG00000013002","ENSGACG00000013002","Fibroblast",0.116912441
"ENSGACG00000013795","csf3r","APC",-0.089684942
"ENSGACG00000016266","tmem176","APC",-0.083004499
"ENSGACG00000017305","ENSGACG00000017305","Neutrophil",-0.090519997
"ENSGACG00000019990","hcls1","Neutrophil",-0.085175643
