"FeatureID","FeatureName","type","Taus"
"ENSGACG00000000082","ENSGACG00000000082","Bcell",-0.132032458
"ENSGACG00000003398","icn","Fibroblast",-0.096550867
"ENSGACG00000003661","FBLN1","Fibroblast",0.076436216
"ENSGACG00000004701","ENSGACG00000004701","Fibroblast",-0.113643441
"ENSGACG00000005778","dap1b","Bcell",-0.106990643
"ENSGACG00000005778","dap1b","HC",-0.106990643
"ENSGACG00000006921","ENSGACG00000006921","Fibroblast",-0.107058876
"ENSGACG00000007744","gpia","Neutrophil",-0.082801751
"ENSGACG00000007762","alox5a","Neutrophil",-0.078980656
"ENSGACG00000012518","col6a2","Fibroblast",-0.113677558
"ENSGACG00000013795","csf3r","APC",-0.083381738
"ENSGACG00000015568","rps28","Bcell",-0.08501935
"ENSGACG00000017166","mpx","Neutrophil",-0.086861663
"ENSGACG00000017305","ENSGACG00000017305","Neutrophil",-0.102316625
"ENSGACG00000019081","ENSGACG00000019081","Fibroblast",-0.082221763
"ENSGACG00000019990","hcls1","Neutrophil",-0.119682135
"ENSGACG00000020547","alox5ap","Neutrophil",-0.114769299
