"FeatureID","FeatureName","type","Taus"
"ENSGACG00000000675","lta4h","Neutrophil",0.112984998
"ENSGACG00000002997","ENSGACG00000002997","Fibroblast",-0.133551467
"ENSGACG00000003798","rpe","Neutrophil",0.12192978
"ENSGACG00000004949","ENSGACG00000004949","Bcell",-0.086215943
"ENSGACG00000005201","SNRPD1","HC",0.104497249
"ENSGACG00000006921","ENSGACG00000006921","Fibroblast",0.096335952
"ENSGACG00000007762","alox5a","Neutrophil",0.132637402
"ENSGACG00000007959","lcp1","Neutrophil",0.127283591
"ENSGACG00000009214","cpa1","Neutrophil",0.116510678
"ENSGACG00000009575","id3","NKC",-0.083473747
"ENSGACG00000012781","ENSGACG00000012781","Bcell",-0.111091577
"ENSGACG00000012927","ENSGACG00000012927","Neutrophil",0.086477105
"ENSGACG00000013002","ENSGACG00000013002","Fibroblast",-0.13254479
"ENSGACG00000015568","rps28","Bcell",0.134204371
"ENSGACG00000015680","swap70a","Bcell",-0.101493892
"ENSGACG00000015958","irf8","Bcell",-0.09946989
"ENSGACG00000016266","tmem176","APC",0.085171297
"ENSGACG00000016593","actb1","Neutrophil",0.110112221
"ENSGACG00000017166","mpx","Neutrophil",0.120819843
"ENSGACG00000017305","ENSGACG00000017305","Neutrophil",0.161952781
"ENSGACG00000019990","hcls1","Neutrophil",0.099731051
"ENSGACG00000020086","ENSGACG00000020086","RBC",0.101559182
"ENSGACG00000020547","alox5ap","Neutrophil",0.155815486
