Transcript,Taus
ENSGACT00000011002,-0.078567895
ENSGACT00000026391,0.0833735
ENSGACT00000015743,-0.080702656
ENSGACT00000008935,0.1176762
ENSGACT00000020574,0.075929199
ENSGACT00000006914,0.121371573
ENSGACT00000013346,0.118238539
ENSGACT00000009354,0.084203173
ENSGACT00000003550,0.105117288
ENSGACT00000023087,0.088380998
ENSGACT00000013569,-0.092694864
ENSGACT00000007994,-0.084512134
ENSGACT00000008290,-0.125367189
ENSGACT00000021382,-0.119764889
ENSGACT00000021958,0.13026189
ENSGACT00000011284,-0.102792666
ENSGACT00000000562,-0.100877377
ENSGACT00000019007,-0.120638874
ENSGACT00000022108,-0.08471817
ENSGACT00000002641,0.102439482
ENSGACT00000021888,-0.1052244
ENSGACT00000007124,-0.100029456
ENSGACT00000010049,-0.13834472
ENSGACT00000012662,-0.086915943
ENSGACT00000022836,-0.136099407
ENSGACT00000012087,-0.142582488
ENSGACT00000010956,0.108458335
ENSGACT00000021792,-0.080964551
ENSGACT00000003273,-0.096876773
ENSGACT00000021554,-0.107511469
ENSGACT00000003747,-0.110578318
ENSGACT00000005994,-0.089279458
ENSGACT00000015939,-0.15312315
ENSGACT00000021433,-0.07460351
ENSGACT00000017848,-0.100366802
ENSGACT00000017431,-0.113867326
ENSGACT00000005946,-0.133153993
ENSGACT00000023531,-0.076354994
ENSGACT00000012743,-0.122361259
ENSGACT00000022501,-0.083789011
ENSGACT00000009167,0.072956834
ENSGACT00000009358,0.0999759
ENSGACT00000006148,-0.072082709
ENSGACT00000000952,-0.07065392
ENSGACT00000010333,0.098047879
ENSGACT00000027217,0.123701264
ENSGACT00000010854,0.087389107
ENSGACT00000002098,-0.080024104
ENSGACT00000016975,-0.075400676
ENSGACT00000019935,0.101341581
ENSGACT00000025210,-0.125985834
ENSGACT00000007022,-0.098710536
ENSGACT00000000693,-0.163128118
ENSGACT00000025477,-0.160420432
ENSGACT00000003413,-0.10426039
ENSGACT00000001104,-0.129928034
ENSGACT00000011043,-0.122797288
ENSGACT00000015541,-0.122392957
ENSGACT00000022527,0.119469137
ENSGACT00000018126,0.072380982
ENSGACT00000021438,-0.083022004
ENSGACT00000019852,0.161297665
ENSGACT00000013359,-0.067279884
ENSGACT00000017577,-0.155808707
ENSGACT00000008300,-0.11457133
ENSGACT00000014439,-0.092963616
ENSGACT00000003318,-0.138419823
ENSGACT00000010995,-0.136501178
ENSGACT00000010584,-0.078195969
ENSGACT00000003013,0.10888953
ENSGACT00000026043,-0.087420499
ENSGACT00000015286,0.07064195
ENSGACT00000024650,-0.10262907
ENSGACT00000016966,-0.116690098
ENSGACT00000010114,-0.073238343
ENSGACT00000018228,0.0728765
ENSGACT00000013058,0.076812875
ENSGACT00000023530,0.080158951
ENSGACT00000011105,-0.150703504
ENSGACT00000000619,-0.125591979
ENSGACT00000003347,-0.12209458
ENSGACT00000012292,0.112882926
ENSGACT00000007147,-0.127958437
ENSGACT00000010596,-0.084605291
ENSGACT00000005810,-0.077335362
ENSGACT00000020340,-0.102332369
ENSGACT00000026577,-0.094191838
ENSGACT00000023029,-0.130393445
ENSGACT00000016104,-0.080634795
ENSGACT00000008141,-0.110467297
ENSGACT00000024150,-0.070118359
ENSGACT00000026016,0.123299593
ENSGACT00000007081,-0.110289343
ENSGACT00000013565,-0.134556964
ENSGACT00000022730,-0.126508699
ENSGACT00000023873,-0.114248608
ENSGACT00000020406,-0.084391067
ENSGACT00000014705,-0.103530868
ENSGACT00000020376,0.103457048
ENSGACT00000006793,-0.106482014
ENSGACT00000021126,-0.131954372
ENSGACT00000010141,-0.103246971
ENSGACT00000012243,-0.106239246
ENSGACT00000023738,-0.088410608
ENSGACT00000025379,-0.114120765
ENSGACT00000024136,-0.121505011
ENSGACT00000018086,-0.096575086
ENSGACT00000023341,0.116631855
ENSGACT00000021905,-0.09785882
ENSGACT00000026332,-0.112973716
ENSGACT00000011720,-0.095880998
ENSGACT00000011759,0.087383223
ENSGACT00000023924,-0.081220763
ENSGACT00000011791,-0.094402153
ENSGACT00000007897,-0.096378039
ENSGACT00000017430,0.121666131
ENSGACT00000024978,-0.08124056
ENSGACT00000023712,-0.122423572
ENSGACT00000023721,-0.130624268
ENSGACT00000005315,-0.118586833
ENSGACT00000023365,-0.091758277
ENSGACT00000010100,-0.119906793
ENSGACT00000007252,-0.111436911
ENSGACT00000016518,-0.104714077
ENSGACT00000008355,-0.116337297
ENSGACT00000017039,-0.070358123
ENSGACT00000018597,-0.143918702
ENSGACT00000023286,-0.159463605
ENSGACT00000006876,-0.127320211
ENSGACT00000003848,-0.08289799
ENSGACT00000007184,0.116658633
ENSGACT00000020857,0.101368359
ENSGACT00000008632,0.114456272
ENSGACT00000000022,0.123647708
ENSGACT00000004767,0.111677914
ENSGACT00000003663,-0.090410458
ENSGACT00000014922,-0.112367831
ENSGACT00000013510,-0.110129209
ENSGACT00000027072,-0.158566303
ENSGACT00000013188,-0.146002636
ENSGACT00000002645,-0.096008999
ENSGACT00000015702,-0.101154135
ENSGACT00000011746,-0.13094736
ENSGACT00000021219,-0.09652153
ENSGACT00000025998,-0.096288077
ENSGACT00000013517,0.09761943
ENSGACT00000017210,0.075286525
ENSGACT00000017477,0.120327228
ENSGACT00000026851,-0.111694273
ENSGACT00000007821,-0.097622953
ENSGACT00000017442,-0.138447952
ENSGACT00000006434,-0.118836167
ENSGACT00000010011,0.095316517
ENSGACT00000011756,-0.078161592
ENSGACT00000004227,-0.076531962
ENSGACT00000006964,0.084913808
ENSGACT00000007729,-0.095546187
ENSGACT00000004096,-0.100457905
ENSGACT00000003820,-0.098235748
ENSGACT00000003150,0.148988887
ENSGACT00000005029,0.109455334
ENSGACT00000002887,0.12348704
ENSGACT00000013782,0.101127357
ENSGACT00000021801,0.075822087
ENSGACT00000012510,-0.074554709
ENSGACT00000005745,-0.121528775
ENSGACT00000020884,0.076408557
ENSGACT00000024350,-0.119473738
ENSGACT00000010681,-0.105778442
ENSGACT00000011489,-0.139539835
ENSGACT00000003882,-0.145311161
ENSGACT00000006339,-0.068699122
ENSGACT00000022197,-0.127776105
ENSGACT00000025043,-0.10160433
ENSGACT00000026102,-0.078445413
ENSGACT00000024523,-0.125388282
ENSGACT00000001342,-0.100522686
ENSGACT00000019610,-0.111856837
ENSGACT00000013520,-0.146652903
ENSGACT00000005521,0.124772387
ENSGACT00000022724,0.098047879
ENSGACT00000026969,-0.100838855
ENSGACT00000011972,-0.130008455
ENSGACT00000009693,-0.067523599
ENSGACT00000014495,-0.097322146
ENSGACT00000024469,-0.077037589
ENSGACT00000008118,0.143918702
ENSGACT00000020556,0.080377586
ENSGACT00000020761,-0.126566517
ENSGACT00000024490,-0.072956834
ENSGACT00000013692,-0.127793643
ENSGACT00000005342,-0.102118145
ENSGACT00000009105,-0.114404057
ENSGACT00000001692,0.117605788
ENSGACT00000026694,0.108855014
ENSGACT00000005286,-0.112980773
ENSGACT00000007800,-0.112047751
ENSGACT00000014165,-0.116319546
ENSGACT00000000232,-0.143311658
ENSGACT00000000517,-0.103544464
ENSGACT00000014008,0.111544023
ENSGACT00000015213,-0.071736624
ENSGACT00000011206,0.08559608
ENSGACT00000022900,0.088622001
ENSGACT00000024302,-0.09263871
ENSGACT00000015602,-0.092049593
ENSGACT00000012699,-0.089911402
ENSGACT00000000213,-0.116754707
ENSGACT00000005132,0.079945908
ENSGACT00000016428,-0.132288742
