Transcript,Taus
ENSGACT00000012039,0.079714335
ENSGACT00000005041,0.113980451
ENSGACT00000002782,-0.09013274
ENSGACT00000015743,0.115892542
ENSGACT00000008935,-0.125937536
ENSGACT00000026144,-0.08447151
ENSGACT00000013346,-0.103987855
ENSGACT00000003550,-0.091175598
ENSGACT00000010686,-0.099482789
ENSGACT00000008787,-0.113027472
ENSGACT00000008654,0.113980451
ENSGACT00000007994,0.082187704
ENSGACT00000013190,-0.111318037
ENSGACT00000024468,0.115126277
ENSGACT00000008290,0.132120159
ENSGACT00000021382,0.137309656
ENSGACT00000000387,0.110990645
ENSGACT00000021958,-0.120723245
ENSGACT00000000932,0.117889978
ENSGACT00000011284,0.136620764
ENSGACT00000000562,0.079863601
ENSGACT00000019007,0.113829684
ENSGACT00000021888,0.106371531
ENSGACT00000007124,0.128917131
ENSGACT00000010049,0.096952921
ENSGACT00000012596,0.139755077
ENSGACT00000022836,0.087662181
ENSGACT00000012087,0.105832434
ENSGACT00000010956,-0.085074938
ENSGACT00000012855,0.096033974
ENSGACT00000016026,-0.087891681
ENSGACT00000016991,0.122269938
ENSGACT00000021554,0.146155238
ENSGACT00000021168,0.111685141
ENSGACT00000016323,0.161374918
ENSGACT00000024065,0.102927801
ENSGACT00000005967,0.122269938
ENSGACT00000015939,0.105788947
ENSGACT00000021433,0.084882502
ENSGACT00000017848,0.127057243
ENSGACT00000001623,0.084664153
ENSGACT00000017431,0.102099682
ENSGACT00000005946,0.081323346
ENSGACT00000008224,-0.087798724
ENSGACT00000012743,0.129228067
ENSGACT00000022501,0.096333209
ENSGACT00000009358,-0.141679728
ENSGACT00000006148,0.122379956
ENSGACT00000010333,-0.081193955
ENSGACT00000027217,-0.08432253
ENSGACT00000002098,0.098588785
ENSGACT00000016975,0.091422878
ENSGACT00000019935,-0.095148391
ENSGACT00000025210,0.093317221
ENSGACT00000007022,0.120598093
ENSGACT00000011093,0.119882213
ENSGACT00000000693,0.111700845
ENSGACT00000025477,0.137464157
ENSGACT00000003413,0.133088563
ENSGACT00000001104,0.114963465
ENSGACT00000011043,0.107085123
ENSGACT00000015541,0.108174496
ENSGACT00000007228,0.188982932
ENSGACT00000012594,0.125394571
ENSGACT00000021438,0.119337278
ENSGACT00000008717,0.119238261
ENSGACT00000014136,-0.122374648
ENSGACT00000024527,0.129240928
ENSGACT00000019852,-0.128370871
ENSGACT00000013359,0.091721857
ENSGACT00000017577,0.099122208
ENSGACT00000014439,0.142385864
