Transcript,Taus
ENSGACT00000005041,0.446053506
ENSGACT00000013969,0.170443506
ENSGACT00000002782,-0.085509665
ENSGACT00000008014,-0.09996227
ENSGACT00000006914,-0.101876749
ENSGACT00000008787,-0.096145111
ENSGACT00000008654,0.446053506
ENSGACT00000007994,0.106219748
ENSGACT00000013190,-0.089230396
ENSGACT00000000387,0.10020731
ENSGACT00000000932,0.12232664
ENSGACT00000011284,0.126135281
ENSGACT00000000562,0.104093894
ENSGACT00000019007,0.122107161
ENSGACT00000022108,0.107312363
ENSGACT00000021888,0.088849886
ENSGACT00000003487,0.088348853
ENSGACT00000007124,0.093526196
ENSGACT00000010049,0.155443864
ENSGACT00000012596,0.12699189
ENSGACT00000022836,0.102909178
ENSGACT00000012087,0.111577232
ENSGACT00000012371,0.206750024
ENSGACT00000021792,0.120684442
ENSGACT00000005787,-0.095339325
ENSGACT00000021168,0.095530329
ENSGACT00000003747,0.104844905
ENSGACT00000015939,0.13202293
ENSGACT00000024546,0.134067075
ENSGACT00000001623,0.116012428
ENSGACT00000003586,0.188541667
ENSGACT00000025838,0.097762593
ENSGACT00000005946,0.125650036
ENSGACT00000023531,0.086022792
ENSGACT00000012743,0.103056176
ENSGACT00000026590,-0.1053057
ENSGACT00000020926,0.106502488
ENSGACT00000006148,0.108754249
ENSGACT00000018463,0.098673777
ENSGACT00000002098,0.111412043
ENSGACT00000025210,0.093866502
ENSGACT00000007022,0.113803883
ENSGACT00000000693,0.095543761
ENSGACT00000025477,0.113739103
ENSGACT00000003413,0.128264498
ENSGACT00000001104,0.106052736
ENSGACT00000011043,0.123768429
ENSGACT00000008725,0.145897213
ENSGACT00000020620,0.103322146
ENSGACT00000015541,0.128115498
ENSGACT00000012594,0.252491195
ENSGACT00000021438,0.117208518
ENSGACT00000008717,0.144396517
ENSGACT00000024527,0.120034573
ENSGACT00000013359,0.091689074
ENSGACT00000014439,0.151832825
ENSGACT00000024123,0.139260233
ENSGACT00000003318,0.111631415
ENSGACT00000010995,0.107221103
ENSGACT00000010584,0.14063232
ENSGACT00000020308,0.126113571
ENSGACT00000010114,0.103566274
ENSGACT00000018228,-0.133942874
ENSGACT00000011105,0.136121805
ENSGACT00000000619,0.113635867
ENSGACT00000012292,-0.083839554
ENSGACT00000014796,0.157791646
ENSGACT00000019853,0.18585413
ENSGACT00000005810,0.171495083
ENSGACT00000020340,0.095196307
ENSGACT00000006952,0.10989328
ENSGACT00000023029,0.123277275
ENSGACT00000016104,0.085363228
ENSGACT00000008141,0.130990459
ENSGACT00000022730,0.122333776
ENSGACT00000004692,0.240157506
ENSGACT00000020406,0.117074756
ENSGACT00000006793,0.108764256
ENSGACT00000021126,0.1074566
ENSGACT00000010141,0.11624437
ENSGACT00000012243,0.087689615
ENSGACT00000023738,0.090687708
ENSGACT00000025379,0.110786198
ENSGACT00000024136,0.096434467
ENSGACT00000018086,0.099204572
ENSGACT00000023341,-0.088014831
ENSGACT00000026332,0.104633013
ENSGACT00000011791,0.082344724
ENSGACT00000024978,0.097987228
ENSGACT00000023712,0.107954931
ENSGACT00000005315,0.119615669
ENSGACT00000023365,0.115509856
ENSGACT00000010100,0.103190994
ENSGACT00000007252,0.089684942
ENSGACT00000016518,0.092546435
ENSGACT00000016935,0.130107869
ENSGACT00000008355,0.091856086
ENSGACT00000018597,0.089851953
ENSGACT00000016165,0.085372068
ENSGACT00000023286,0.117183413
ENSGACT00000006876,0.117771186
ENSGACT00000003848,0.12921397
ENSGACT00000008188,-0.110664202
ENSGACT00000014688,0.106502488
ENSGACT00000015931,0.313968125
ENSGACT00000014922,0.094890874
ENSGACT00000013510,0.116912441
ENSGACT00000013188,0.09057519
ENSGACT00000015702,0.102544794
ENSGACT00000011746,0.10354894
ENSGACT00000021219,0.123254166
ENSGACT00000013517,-0.08317151
ENSGACT00000009151,0.130296864
ENSGACT00000026851,0.107340547
ENSGACT00000021263,0.309036689
ENSGACT00000007821,0.096647232
ENSGACT00000006434,0.107778428
ENSGACT00000011756,0.118690057
ENSGACT00000004227,0.117324263
ENSGACT00000007729,0.101420536
ENSGACT00000004096,0.090018964
ENSGACT00000023730,0.116914675
ENSGACT00000005029,-0.082002433
ENSGACT00000002887,-0.08467461
ENSGACT00000005745,0.09194515
ENSGACT00000020884,-0.111913147
ENSGACT00000024350,0.108238387
ENSGACT00000010681,0.090714339
ENSGACT00000011489,0.129359604
ENSGACT00000003882,0.101876749
ENSGACT00000022197,0.106401007
ENSGACT00000027543,0.117241767
ENSGACT00000001342,0.111497936
ENSGACT00000019610,0.102677215
ENSGACT00000013520,0.110978888
ENSGACT00000027086,-0.120581989
ENSGACT00000026969,0.121688153
ENSGACT00000011972,0.110786198
ENSGACT00000026379,0.226369429
ENSGACT00000014495,0.105439051
ENSGACT00000019143,0.103236745
ENSGACT00000024469,0.119523963
ENSGACT00000017021,0.117427028
ENSGACT00000008118,-0.099872617
ENSGACT00000020556,-0.098122942
ENSGACT00000020761,0.085175643
ENSGACT00000024490,0.09887055
ENSGACT00000013692,0.08691504
ENSGACT00000016213,-0.097868484
ENSGACT00000005342,0.111062358
ENSGACT00000009105,0.116660799
ENSGACT00000023321,0.147229224
ENSGACT00000016034,0.086224455
ENSGACT00000007800,0.099462177
ENSGACT00000006141,0.104386108
ENSGACT00000014165,0.122806102
ENSGACT00000009424,0.133892081
ENSGACT00000003961,0.121065556
ENSGACT00000015213,0.083667785
ENSGACT00000022900,-0.090519997
ENSGACT00000016739,0.10002487
ENSGACT00000000213,0.096569058
ENSGACT00000011676,-0.100039628
ENSGACT00000022386,-0.102878816
ENSGACT00000015609,0.109941866
ENSGACT00000022608,0.140994311
ENSGACT00000024996,0.248462081
ENSGACT00000024997,0.19700857
ENSGACT00000012519,0.085737251
ENSGACT00000023575,0.142159187
ENSGACT00000017229,0.116912441
ENSGACT00000026217,0.127999613
ENSGACT00000019314,-0.08467461
ENSGACT00000021876,0.105553113
ENSGACT00000018254,-0.089684942
ENSGACT00000023732,0.094371419
ENSGACT00000011016,0.189583333
ENSGACT00000025791,0.108912717
ENSGACT00000003779,0.10660874
ENSGACT00000002689,-0.110396531
ENSGACT00000015217,0.121973828
ENSGACT00000021397,0.093705734
ENSGACT00000005809,0.103322146
ENSGACT00000017054,0.109267569
ENSGACT00000007476,0.11659558
ENSGACT00000009770,0.090185975
ENSGACT00000001664,0.104759524
ENSGACT00000025422,0.113400513
ENSGACT00000023767,0.099139154
ENSGACT00000007438,0.13223556
ENSGACT00000007456,0.114778869
ENSGACT00000023067,-0.101709738
ENSGACT00000007672,0.096160237
ENSGACT00000013881,0.146086325
ENSGACT00000010296,0.110813545
ENSGACT00000009166,0.10366439
ENSGACT00000002537,0.105415742
ENSGACT00000016638,0.090854019
ENSGACT00000005750,0.120080955
ENSGACT00000001845,0.103198611
ENSGACT00000025737,0.113450649
ENSGACT00000014312,0.132181759
ENSGACT00000011921,0.129810977
ENSGACT00000014084,0.133940891
ENSGACT00000014377,-0.088682875
ENSGACT00000005672,0.105597658
ENSGACT00000023609,0.108390181
ENSGACT00000005458,0.313968125
ENSGACT00000001969,0.110937744
ENSGACT00000008363,0.120377134
ENSGACT00000026476,0.118448573
ENSGACT00000001323,0.091114399
ENSGACT00000015271,0.099318329
ENSGACT00000011689,0.090687008
ENSGACT00000003250,0.114764125
ENSGACT00000027440,0.089879032
ENSGACT00000017744,0.184534754
ENSGACT00000004672,0.122085088
ENSGACT00000003755,0.087114394
ENSGACT00000023062,0.130543245
ENSGACT00000005064,0.116190377
ENSGACT00000000775,0.144396517
ENSGACT00000009084,0.446053506
ENSGACT00000020828,-0.088361276
ENSGACT00000004838,-0.100385423
ENSGACT00000021620,0.115750291
ENSGACT00000012548,0.083845252
ENSGACT00000020667,0.089216008
ENSGACT00000011717,0.117743522
ENSGACT00000025886,0.101829747
ENSGACT00000012107,0.10691285
ENSGACT00000018630,0.091395442
ENSGACT00000027581,0.119141115
ENSGACT00000015908,0.123826215
ENSGACT00000017111,-0.096155093
ENSGACT00000009771,0.251148157
ENSGACT00000007578,0.110395053
ENSGACT00000003644,0.090585046
ENSGACT00000022337,0.107056242
ENSGACT00000014481,0.096136812
ENSGACT00000024733,0.119308213
ENSGACT00000010830,0.108271017
ENSGACT00000023576,0.1875
ENSGACT00000016445,0.0815014
ENSGACT00000003421,-0.114570357
ENSGACT00000004721,0.112064424
ENSGACT00000000236,0.207336549
ENSGACT00000001572,0.167204064
ENSGACT00000019443,0.112486235
ENSGACT00000018792,-0.084340588
ENSGACT00000007751,-0.088608268
ENSGACT00000009739,0.118448573
ENSGACT00000016682,0.099705606
ENSGACT00000004849,0.101903724
ENSGACT00000008414,0.180205496
ENSGACT00000025797,0.11338637
ENSGACT00000008013,0.102392178
ENSGACT00000006646,0.132272763
ENSGACT00000025304,0.106553059
ENSGACT00000006689,0.098369517
ENSGACT00000000919,0.089526921
ENSGACT00000016222,0.118277312
ENSGACT00000021489,0.110895347
ENSGACT00000021224,0.103212838
ENSGACT00000014534,0.09152574
ENSGACT00000015528,0.111062358
ENSGACT00000002884,0.093997176
ENSGACT00000027208,0.141563989
ENSGACT00000002885,0.090048078
ENSGACT00000016332,0.129052814
ENSGACT00000011843,0.101567207
ENSGACT00000011117,0.448376702
ENSGACT00000001619,0.119189266
ENSGACT00000002237,0.109504461
ENSGACT00000004066,0.197992893
ENSGACT00000022317,0.109058225
ENSGACT00000004615,0.13210074
ENSGACT00000016317,-0.097701473
ENSGACT00000014897,0.105547323
ENSGACT00000016522,-0.111898162
ENSGACT00000026464,0.102713867
ENSGACT00000007715,0.116938955
ENSGACT00000013343,-0.108557192
ENSGACT00000014894,-0.096341506
ENSGACT00000009368,-0.091355052
ENSGACT00000007510,0.126628525
ENSGACT00000004169,-0.085843687
ENSGACT00000019309,0.122660866
ENSGACT00000011695,0.102177385
ENSGACT00000014235,0.107718674
ENSGACT00000017015,0.1179435
ENSGACT00000010572,-0.112398446
ENSGACT00000012628,0.098871212
ENSGACT00000027386,0.132272763
ENSGACT00000004963,0.097133092
ENSGACT00000000294,0.097074104
ENSGACT00000012362,0.087113457
ENSGACT00000007482,0.099204572
ENSGACT00000024867,0.116573723
ENSGACT00000021817,0.120403789
ENSGACT00000022763,0.098004474
ENSGACT00000007517,0.111015941
ENSGACT00000023358,0.115645707
ENSGACT00000026342,0.155147093
ENSGACT00000012529,-0.08583104
ENSGACT00000003007,0.083338521
ENSGACT00000024318,-0.09419424
ENSGACT00000021710,-0.082007923
ENSGACT00000002914,0.134295776
ENSGACT00000000058,0.114736601
ENSGACT00000006781,0.090866794
ENSGACT00000010124,0.125777014
ENSGACT00000027222,0.086757764
ENSGACT00000012432,-0.10607191
ENSGACT00000014110,0.126594241
ENSGACT00000001008,-0.083839554
ENSGACT00000022454,0.081837065
ENSGACT00000025535,0.123162205
ENSGACT00000004722,-0.103379849
ENSGACT00000021987,0.105963938
ENSGACT00000017815,0.144396517
ENSGACT00000017500,0.104489498
ENSGACT00000013106,0.118448573
ENSGACT00000004313,0.138839275
ENSGACT00000010785,0.155771326
ENSGACT00000019634,-0.094027229
ENSGACT00000023705,0.103268614
ENSGACT00000009059,0.106201428
ENSGACT00000005340,0.121535979
ENSGACT00000020839,0.12580566
ENSGACT00000015276,0.12983837
ENSGACT00000020419,0.107474485
ENSGACT00000022580,-0.111897413
