Transcript,Taus
ENSGACT00000004944,-0.139708763
ENSGACT00000009046,0.084462075
ENSGACT00000013969,0.103893167
ENSGACT00000002782,-0.096892036
ENSGACT00000008935,-0.105011862
ENSGACT00000020574,-0.08501935
ENSGACT00000013346,-0.10160017
ENSGACT00000009354,-0.09688218
ENSGACT00000008787,-0.076568591
ENSGACT00000007994,0.090802775
ENSGACT00000013190,-0.082740697
ENSGACT00000016550,0.084055344
ENSGACT00000000562,0.098658539
ENSGACT00000021888,0.085224051
ENSGACT00000007124,0.121183279
ENSGACT00000012589,-0.101989795
ENSGACT00000022836,0.093179113
ENSGACT00000012371,-0.111188257
ENSGACT00000010956,-0.112538217
ENSGACT00000021554,0.090724854
ENSGACT00000017848,0.10228463
ENSGACT00000017431,0.117515783
ENSGACT00000012743,0.074706485
ENSGACT00000009358,-0.086691079
ENSGACT00000010333,-0.078980656
ENSGACT00000027217,-0.114769299
ENSGACT00000014907,-0.082409811
ENSGACT00000016427,-0.101175616
ENSGACT00000019935,-0.109719996
ENSGACT00000007022,0.106304849
ENSGACT00000025477,0.098107127
ENSGACT00000003413,0.074681925
ENSGACT00000011043,0.087033682
ENSGACT00000002677,0.115212819
ENSGACT00000021438,0.087226848
ENSGACT00000019852,-0.09829083
ENSGACT00000013359,0.088465158
ENSGACT00000001472,-0.091996643
ENSGACT00000010995,0.095800295
ENSGACT00000010584,0.090891311
ENSGACT00000019166,0.085788182
ENSGACT00000002330,0.091262754
ENSGACT00000016264,-0.098113039
ENSGACT00000026043,0.088264002
ENSGACT00000015286,-0.154006843
ENSGACT00000024650,0.120034475
ENSGACT00000018228,-0.101190767
ENSGACT00000010966,-0.113341522
ENSGACT00000013058,-0.114666948
ENSGACT00000023530,-0.089907095
ENSGACT00000000619,0.094822544
ENSGACT00000003347,0.095595593
ENSGACT00000015170,-0.085618978
ENSGACT00000025498,-0.151922618
ENSGACT00000006952,-0.082426464
ENSGACT00000026577,0.10658124
ENSGACT00000016104,0.091404185
ENSGACT00000008141,0.099947352
ENSGACT00000022443,-0.077596621
ENSGACT00000003787,-0.116559865
ENSGACT00000021126,0.088623477
ENSGACT00000022762,-0.082393569
ENSGACT00000027033,0.170112275
ENSGACT00000025379,0.091208031
ENSGACT00000024136,0.087454159
ENSGACT00000023341,-0.141653427
ENSGACT00000026332,0.106257228
ENSGACT00000011791,0.120854246
ENSGACT00000016651,-0.113677558
ENSGACT00000026259,0.111508095
ENSGACT00000023721,0.089079859
ENSGACT00000005315,0.084343513
ENSGACT00000012977,0.102415716
ENSGACT00000016518,0.074819367
ENSGACT00000017039,0.11822787
ENSGACT00000018597,0.110197633
ENSGACT00000023286,0.088194996
ENSGACT00000002779,0.076679304
ENSGACT00000007123,0.100817983
ENSGACT00000007184,-0.137115878
ENSGACT00000020857,-0.120535058
ENSGACT00000008632,-0.100976448
ENSGACT00000017986,-0.091258796
ENSGACT00000000022,-0.092900357
ENSGACT00000004767,-0.097881427
ENSGACT00000008188,-0.098597271
ENSGACT00000001640,0.101949307
ENSGACT00000014922,0.14886283
ENSGACT00000013510,0.079035006
ENSGACT00000013188,0.096183016
ENSGACT00000011746,0.105815734
ENSGACT00000021219,0.082938218
ENSGACT00000013517,-0.080515917
ENSGACT00000007646,-0.106990643
ENSGACT00000017210,-0.095868529
ENSGACT00000026851,0.075184761
ENSGACT00000006434,0.082094055
ENSGACT00000010011,-0.085633454
ENSGACT00000004227,0.078746032
ENSGACT00000007729,0.074800273
ENSGACT00000003820,0.075528408
ENSGACT00000003150,-0.14475884
ENSGACT00000005029,-0.08037945
ENSGACT00000013782,-0.124936139
ENSGACT00000003319,-0.090729708
ENSGACT00000012510,0.103092045
ENSGACT00000005745,0.089715663
ENSGACT00000010681,0.07948224
ENSGACT00000015946,0.089592973
ENSGACT00000003882,0.114598714
ENSGACT00000025471,-0.092005032
ENSGACT00000022197,0.101512091
ENSGACT00000024523,0.148886213
ENSGACT00000019610,0.09337737
ENSGACT00000013520,0.079022104
ENSGACT00000005521,-0.151103813
ENSGACT00000004728,-0.10881362
ENSGACT00000022724,-0.086861663
ENSGACT00000007062,0.079117124
ENSGACT00000011972,0.077963751
ENSGACT00000007198,-0.173582256
ENSGACT00000009693,0.119055754
ENSGACT00000012509,-0.106026745
ENSGACT00000017021,-0.092288495
ENSGACT00000008118,-0.133499485
ENSGACT00000020761,0.123469112
ENSGACT00000024490,0.080754736
ENSGACT00000013692,0.075095836
ENSGACT00000003287,0.078470478
ENSGACT00000023321,0.089830516
ENSGACT00000026694,-0.110199846
ENSGACT00000024050,0.099654806
ENSGACT00000007429,-0.112346998
ENSGACT00000007800,0.081989389
ENSGACT00000004831,0.076436216
ENSGACT00000014008,-0.093650929
ENSGACT00000015213,0.082540352
ENSGACT00000011206,-0.079662994
ENSGACT00000022900,-0.102316625
ENSGACT00000016739,-0.092667061
ENSGACT00000005132,-0.156289583
ENSGACT00000016428,0.108675281
ENSGACT00000010353,0.07761598
ENSGACT00000010328,-0.082801751
ENSGACT00000008634,0.088396924
ENSGACT00000012287,0.110299983
ENSGACT00000012150,-0.092093818
ENSGACT00000019314,-0.091023927
ENSGACT00000021876,0.082701061
ENSGACT00000018254,-0.083381738
ENSGACT00000025280,-0.082221763
ENSGACT00000011527,-0.085429173
ENSGACT00000022133,-0.08213812
ENSGACT00000025563,-0.089386315
ENSGACT00000009770,0.117532769
ENSGACT00000007187,-0.110686967
ENSGACT00000023982,-0.090734614
ENSGACT00000021758,-0.107370825
ENSGACT00000020319,0.099202631
ENSGACT00000003754,-0.076933641
ENSGACT00000010179,-0.131163354
ENSGACT00000004458,-0.096550867
ENSGACT00000013881,-0.095400709
ENSGACT00000010296,0.086170972
ENSGACT00000025527,-0.077055527
ENSGACT00000016638,0.085735805
ENSGACT00000005750,0.077854798
ENSGACT00000012367,-0.105455381
ENSGACT00000021437,-0.10392012
ENSGACT00000014084,0.090878803
ENSGACT00000014377,-0.077650096
ENSGACT00000001969,-0.083775203
ENSGACT00000001323,0.085755449
ENSGACT00000006743,0.090009263
ENSGACT00000015271,0.085714571
ENSGACT00000003973,-0.092832123
ENSGACT00000024692,-0.143418197
ENSGACT00000027440,0.135928622
ENSGACT00000027348,0.145997155
ENSGACT00000016733,0.094423525
ENSGACT00000012027,0.081271411
ENSGACT00000002474,-0.106547123
ENSGACT00000020828,-0.100215466
ENSGACT00000017531,0.089946627
ENSGACT00000015974,0.074994514
ENSGACT00000002177,0.092934474
ENSGACT00000021686,0.097427693
ENSGACT00000006210,-0.113643441
ENSGACT00000021845,-0.138924074
ENSGACT00000020667,0.082538173
ENSGACT00000019917,-0.108582948
ENSGACT00000012107,-0.113295462
ENSGACT00000018630,0.087258452
ENSGACT00000027581,0.083869062
ENSGACT00000015908,-0.095038104
ENSGACT00000020279,-0.101040081
ENSGACT00000006817,0.086980319
ENSGACT00000017111,-0.10660615
ENSGACT00000003518,-0.12052284
ENSGACT00000012000,0.093992098
ENSGACT00000006515,-0.100849598
ENSGACT00000007578,0.10494433
ENSGACT00000003644,0.12543848
ENSGACT00000023404,-0.144348664
ENSGACT00000022337,0.085635174
ENSGACT00000026226,0.124378206
ENSGACT00000023408,-0.107051755
ENSGACT00000025562,-0.10934471
ENSGACT00000004721,0.102009573
ENSGACT00000001326,-0.156358289
ENSGACT00000011069,-0.105114212
ENSGACT00000018792,-0.114735182
ENSGACT00000017317,-0.102498829
ENSGACT00000023855,-0.092773956
ENSGACT00000014482,-0.078509427
ENSGACT00000008013,0.108507042
ENSGACT00000020677,-0.143931055
ENSGACT00000025304,0.100576663
ENSGACT00000006689,0.126198465
ENSGACT00000010077,-0.166968178
ENSGACT00000021489,0.074204288
ENSGACT00000009019,-0.149470156
ENSGACT00000021229,-0.086998131
ENSGACT00000014534,0.100904826
ENSGACT00000015528,0.082562932
ENSGACT00000027208,0.081801342
ENSGACT00000003446,-0.092303929
ENSGACT00000018713,-0.096995989
ENSGACT00000002237,0.096598681
ENSGACT00000022317,0.083381738
ENSGACT00000008830,0.078810072
ENSGACT00000014897,0.121285685
ENSGACT00000012256,-0.075970076
ENSGACT00000026464,0.141929213
ENSGACT00000007715,0.108436778
ENSGACT00000013343,-0.078537136
ENSGACT00000024109,0.095911795
ENSGACT00000008326,-0.094606203
ENSGACT00000009755,0.093367186
ENSGACT00000024345,0.120057421
ENSGACT00000007510,0.087178933
ENSGACT00000012981,0.091320366
ENSGACT00000004169,0.11210818
ENSGACT00000017015,0.076678004
ENSGACT00000018404,-0.134860646
ENSGACT00000012785,-0.114837533
ENSGACT00000004963,0.100638563
ENSGACT00000026301,-0.089352198
ENSGACT00000002812,0.097540257
ENSGACT00000012362,0.090856969
ENSGACT00000007482,0.095902646
ENSGACT00000024867,0.074272522
ENSGACT00000002064,-0.145475496
ENSGACT00000021817,0.133482723
ENSGACT00000016499,-0.10293073
ENSGACT00000005101,-0.113450132
ENSGACT00000023358,0.080026835
ENSGACT00000008042,-0.080515917
ENSGACT00000012529,-0.093991956
ENSGACT00000025816,0.141005206
ENSGACT00000024318,-0.126505517
ENSGACT00000020985,-0.09464032
ENSGACT00000000181,0.147760355
ENSGACT00000006280,-0.121422097
ENSGACT00000003845,-0.105991289
ENSGACT00000004880,-0.107468279
ENSGACT00000019205,-0.094357552
ENSGACT00000006781,0.079111188
ENSGACT00000012432,-0.075003037
ENSGACT00000001008,-0.078093616
ENSGACT00000010285,-0.109242359
ENSGACT00000004722,-0.100064909
ENSGACT00000026161,0.086593744
ENSGACT00000021987,0.103642786
ENSGACT00000017815,-0.099110688
ENSGACT00000019673,-0.115590426
ENSGACT00000009231,-0.08142405
ENSGACT00000010020,0.078059499
ENSGACT00000001907,0.126033256
ENSGACT00000019368,-0.079819727
ENSGACT00000026207,0.100679014
ENSGACT00000005395,0.094927388
ENSGACT00000006373,0.118760978
ENSGACT00000000869,-0.116866861
ENSGACT00000019634,-0.114394013
ENSGACT00000022345,0.081802889
ENSGACT00000020180,0.142369883
ENSGACT00000021165,-0.136892242
ENSGACT00000015276,0.079210551
ENSGACT00000020419,0.090755692
ENSGACT00000022580,-0.115622222
ENSGACT00000006388,0.101089093
ENSGACT00000001454,-0.094376688
ENSGACT00000023086,-0.087612235
ENSGACT00000002200,-0.08778282
ENSGACT00000026026,-0.091835109
ENSGACT00000010282,0.078642952
ENSGACT00000026179,-0.08911338
ENSGACT00000018564,-0.134651239
ENSGACT00000022680,0.130670593
ENSGACT00000001400,-0.15666487
ENSGACT00000000107,-0.097792213
ENSGACT00000014327,-0.129696317
ENSGACT00000003953,-0.089488666
ENSGACT00000025964,-0.182286672
ENSGACT00000013681,0.076643689
ENSGACT00000007644,-0.112995219
ENSGACT00000000445,-0.084729213
ENSGACT00000007996,0.097335556
ENSGACT00000012410,-0.111765797
ENSGACT00000027668,-0.080345333
ENSGACT00000018071,0.086907054
ENSGACT00000009812,-0.110641152
ENSGACT00000024453,0.098273779
ENSGACT00000003533,-0.101702521
ENSGACT00000007915,0.077468798
