Transcript,Taus
ENSGACT00000026391,0.083212586
ENSGACT00000012756,0.104766585
ENSGACT00000002782,0.12885056
ENSGACT00000015743,-0.107605748
ENSGACT00000008935,0.102146795
ENSGACT00000020574,0.134204371
ENSGACT00000026144,-0.084844845
ENSGACT00000013346,0.131462175
ENSGACT00000009354,0.153412496
ENSGACT00000003550,0.095617758
ENSGACT00000010686,0.083224286
ENSGACT00000008146,0.104933291
ENSGACT00000021382,-0.089219301
ENSGACT00000021958,0.110112221
ENSGACT00000000932,-0.139773935
ENSGACT00000011284,-0.111836499
ENSGACT00000000562,-0.096345884
ENSGACT00000019007,-0.106570876
ENSGACT00000007124,-0.103909636
ENSGACT00000012662,-0.087776095
ENSGACT00000016826,0.135327897
ENSGACT00000006551,-0.086215943
ENSGACT00000012087,-0.116776816
ENSGACT00000010956,0.137812745
ENSGACT00000021792,-0.093401278
ENSGACT00000021554,-0.112330727
ENSGACT00000016323,-0.084215977
ENSGACT00000005946,-0.121394183
ENSGACT00000012743,-0.103005914
ENSGACT00000009358,0.100971569
ENSGACT00000010333,0.132637402
ENSGACT00000027217,0.155815486
ENSGACT00000002098,-0.111368396
ENSGACT00000016975,-0.106639595
ENSGACT00000019935,0.119318165
ENSGACT00000001425,-0.122128104
ENSGACT00000025210,-0.090531169
ENSGACT00000007022,-0.09786462
ENSGACT00000000693,-0.096349497
ENSGACT00000025477,-0.129704544
ENSGACT00000003413,-0.107957639
ENSGACT00000001104,-0.114977124
ENSGACT00000011043,-0.08669314
ENSGACT00000015541,-0.101312264
ENSGACT00000018126,0.091603487
ENSGACT00000021438,-0.098852413
ENSGACT00000014093,0.111781384
ENSGACT00000019852,0.10129802
ENSGACT00000003318,-0.14826686
ENSGACT00000010995,-0.09085156
ENSGACT00000024650,-0.090891959
ENSGACT00000016966,-0.126864299
ENSGACT00000018228,0.11507429
ENSGACT00000012987,0.115473763
ENSGACT00000013058,0.108871704
ENSGACT00000023530,0.145264544
ENSGACT00000011105,-0.123980339
ENSGACT00000000619,-0.100478571
ENSGACT00000003347,-0.079882777
ENSGACT00000012292,0.116510678
ENSGACT00000020040,-0.103521313
ENSGACT00000007147,-0.104638337
ENSGACT00000023220,0.097330325
ENSGACT00000025498,0.090002785
ENSGACT00000026577,-0.08393078
ENSGACT00000016104,-0.113926522
ENSGACT00000013565,-0.105022655
ENSGACT00000023873,-0.102799699
ENSGACT00000006793,-0.080859264
ENSGACT00000021126,-0.093885632
ENSGACT00000010141,-0.11491568
ENSGACT00000012243,-0.114400229
ENSGACT00000023738,-0.122351919
ENSGACT00000025379,-0.106772888
ENSGACT00000024136,-0.102245762
ENSGACT00000018086,-0.136815986
ENSGACT00000023341,0.161561039
ENSGACT00000021905,-0.103918496
ENSGACT00000026332,-0.087820843
ENSGACT00000011791,-0.093374616
ENSGACT00000017430,0.113833773
ENSGACT00000024978,-0.096093862
ENSGACT00000023713,-0.104271004
