Transcript,Taus
ENSGACT00000004944,0.196493885
ENSGACT00000009046,-0.083285025
ENSGACT00000002782,0.077450838
ENSGACT00000015743,-0.136334067
ENSGACT00000026144,-0.124649917
ENSGACT00000013346,0.140203439
ENSGACT00000015765,0.137360918
ENSGACT00000010686,-0.153402735
ENSGACT00000008787,0.155045757
ENSGACT00000007994,-0.081078424
ENSGACT00000016550,-0.075286166
ENSGACT00000008146,0.090564507
ENSGACT00000000387,0.077625582
ENSGACT00000021958,0.083374481
ENSGACT00000000562,-0.110507351
ENSGACT00000023078,-0.138558079
ENSGACT00000021888,-0.096013697
ENSGACT00000003487,-0.149136419
ENSGACT00000007124,-0.159621584
ENSGACT00000012662,-0.091775917
ENSGACT00000022836,-0.081763357
ENSGACT00000006551,0.105611899
ENSGACT00000021792,-0.079138574
ENSGACT00000003273,0.129778823
ENSGACT00000005787,0.12468332
ENSGACT00000016026,-0.074840471
ENSGACT00000021168,-0.096045374
ENSGACT00000005994,0.125698535
ENSGACT00000021433,-0.150707986
ENSGACT00000027338,0.102380821
ENSGACT00000017431,-0.079873887
ENSGACT00000005946,-0.1057992
ENSGACT00000012743,-0.134958571
ENSGACT00000004536,0.162949272
ENSGACT00000009167,-0.073681247
ENSGACT00000009358,0.074980014
ENSGACT00000000952,-0.113911335
ENSGACT00000010333,0.088601224
ENSGACT00000027217,0.091262112
ENSGACT00000016427,0.159825769
ENSGACT00000013465,-0.123731277
ENSGACT00000020552,0.10868331
ENSGACT00000016975,0.084471875
ENSGACT00000007022,-0.133394926
ENSGACT00000011093,0.09582554
ENSGACT00000025459,0.095159049
ENSGACT00000002677,-0.189746634
ENSGACT00000012594,0.103550202
ENSGACT00000021438,-0.092470613
ENSGACT00000014136,-0.108893486
ENSGACT00000024527,-0.111883733
ENSGACT00000001451,0.18286418
ENSGACT00000019852,0.080143403
ENSGACT00000013359,-0.099244775
ENSGACT00000008300,-0.095933853
ENSGACT00000000554,0.092619472
ENSGACT00000010995,-0.113816303
ENSGACT00000019166,-0.10537788
ENSGACT00000002330,-0.204960911
ENSGACT00000016264,0.14937316
ENSGACT00000026043,-0.10585373
ENSGACT00000024650,-0.128617901
ENSGACT00000018228,0.135990367
ENSGACT00000010966,0.111756589
