Transcript,Taus
ENSGACT00000012039,0.141905998
ENSGACT00000011002,0.132529571
ENSGACT00000009046,0.092441924
ENSGACT00000026391,-0.141091314
ENSGACT00000013969,0.129972563
ENSGACT00000008935,-0.123731432
ENSGACT00000020574,-0.098621603
ENSGACT00000008014,-0.122262726
ENSGACT00000026144,-0.090730747
ENSGACT00000006914,-0.096536162
ENSGACT00000013346,-0.096310709
ENSGACT00000009354,-0.138983929
ENSGACT00000015765,0.112899414
ENSGACT00000003550,-0.085488965
ENSGACT00000023087,-0.087687132
ENSGACT00000010686,-0.103906175
ENSGACT00000008787,-0.07766903
ENSGACT00000013569,0.126380035
ENSGACT00000007994,0.158663621
ENSGACT00000024468,0.125351659
ENSGACT00000008146,0.09144094
ENSGACT00000021382,0.15089852
ENSGACT00000000387,0.16128453
ENSGACT00000021958,-0.075146308
ENSGACT00000000932,0.140627466
ENSGACT00000011284,0.100120891
ENSGACT00000000562,0.094577062
ENSGACT00000019007,0.106442419
ENSGACT00000022108,0.109053425
ENSGACT00000002641,-0.086221687
ENSGACT00000021888,0.106512458
ENSGACT00000007124,0.087856221
ENSGACT00000010049,0.110581358
ENSGACT00000012596,0.106036922
ENSGACT00000012589,-0.094435817
ENSGACT00000022836,0.096228715
ENSGACT00000016826,-0.110877654
ENSGACT00000006551,0.124689608
ENSGACT00000012087,0.102576835
ENSGACT00000010956,-0.120451499
ENSGACT00000003273,0.14260834
ENSGACT00000023138,0.117475111
ENSGACT00000021554,0.136935463
ENSGACT00000021168,0.10637155
ENSGACT00000016323,0.145260389
ENSGACT00000005994,0.103727175
ENSGACT00000015939,0.128992082
ENSGACT00000021433,0.101392881
ENSGACT00000027338,0.114656948
ENSGACT00000017848,0.134636212
ENSGACT00000017431,0.108213592
ENSGACT00000005946,0.093996962
ENSGACT00000023531,0.133613786
ENSGACT00000012743,0.090401646
ENSGACT00000022501,0.079266997
ENSGACT00000026590,-0.172415075
ENSGACT00000009167,-0.117616019
ENSGACT00000009358,-0.10896426
ENSGACT00000006148,0.128753254
ENSGACT00000010333,-0.111106063
ENSGACT00000027217,-0.078246287
ENSGACT00000014907,-0.081327969
ENSGACT00000010854,-0.098114036
ENSGACT00000013465,-0.096592526
ENSGACT00000002098,0.08789676
ENSGACT00000016975,0.148523805
ENSGACT00000019935,-0.071708149
ENSGACT00000001425,0.100920432
ENSGACT00000025210,0.10475812
ENSGACT00000007022,0.103983112
ENSGACT00000011093,0.143475721
ENSGACT00000000693,0.170367795
ENSGACT00000025477,0.17867869
ENSGACT00000003413,0.149573984
ENSGACT00000001104,0.140824532
ENSGACT00000011043,0.128624408
ENSGACT00000008725,0.084757074
ENSGACT00000025459,0.145249077
ENSGACT00000002677,-0.075963575
ENSGACT00000015541,0.085768748
ENSGACT00000022527,-0.127848882
ENSGACT00000007228,0.161333679
ENSGACT00000018126,-0.137337369
ENSGACT00000021438,0.08796776
ENSGACT00000008717,0.098158655
ENSGACT00000014136,-0.115045868
ENSGACT00000025547,-0.092353953
ENSGACT00000025544,0.073990861
ENSGACT00000001451,0.084872378
ENSGACT00000014093,0.110867836
ENSGACT00000019852,-0.143402208
ENSGACT00000005242,0.076132665
ENSGACT00000013359,0.070073615
ENSGACT00000017577,0.08278401
ENSGACT00000014439,0.081612345
ENSGACT00000024123,0.134050666
ENSGACT00000000554,0.13107945
ENSGACT00000003318,0.14833984
ENSGACT00000010995,0.094986173
ENSGACT00000010584,0.132507966
ENSGACT00000019166,-0.112016954
ENSGACT00000002330,-0.126633165
ENSGACT00000024650,0.086516668
ENSGACT00000016966,0.093566759
ENSGACT00000010114,0.094059721
ENSGACT00000018228,-0.085319875
ENSGACT00000012987,-0.144257314
ENSGACT00000012975,-0.119923178
ENSGACT00000010966,0.112002899
ENSGACT00000013058,-0.18172922
ENSGACT00000011105,0.133364837
ENSGACT00000000619,0.095974179
ENSGACT00000003347,0.125873236
ENSGACT00000012292,-0.110316978
ENSGACT00000003679,0.070778156
ENSGACT00000007147,0.132903807
ENSGACT00000010596,0.100932496
ENSGACT00000020340,0.108738807
ENSGACT00000023220,-0.07994572
ENSGACT00000015170,0.117673212
ENSGACT00000025498,-0.091829831
ENSGACT00000006952,0.141626765
ENSGACT00000026577,0.127592315
ENSGACT00000023029,0.124332462
ENSGACT00000016104,0.099293712
ENSGACT00000008141,0.112130851
ENSGACT00000026016,-0.100622498
ENSGACT00000007081,0.133940198
ENSGACT00000022443,0.114601071
ENSGACT00000013565,0.101357403
ENSGACT00000022730,0.143987577
ENSGACT00000004692,0.092069018
ENSGACT00000003787,-0.143718855
ENSGACT00000020178,0.118419418
ENSGACT00000023873,0.095521624
ENSGACT00000020406,0.13010048
ENSGACT00000014705,0.15997223
ENSGACT00000020376,-0.096507981
ENSGACT00000006793,0.108637905
ENSGACT00000021126,0.121184487
ENSGACT00000010141,0.138137792
ENSGACT00000022762,0.07637786
ENSGACT00000012243,0.11015895
ENSGACT00000023399,-0.100368864
ENSGACT00000027033,-0.093783642
ENSGACT00000023738,0.133433129
ENSGACT00000025379,0.088959495
ENSGACT00000024136,0.119780937
ENSGACT00000026940,0.085527795
ENSGACT00000010031,0.165143973
ENSGACT00000018086,0.14551583
ENSGACT00000023341,-0.083657159
ENSGACT00000023097,0.126259917
ENSGACT00000021905,0.103468847
ENSGACT00000026332,0.130416649
ENSGACT00000011720,0.083620719
ENSGACT00000023924,0.092530556
ENSGACT00000011791,0.094164271
ENSGACT00000018478,-0.09095247
ENSGACT00000017430,-0.117756927
ENSGACT00000026259,0.093557304
ENSGACT00000024978,0.133434588
ENSGACT00000023712,0.1350723
ENSGACT00000023721,0.091703627
ENSGACT00000007810,0.107400143
ENSGACT00000021284,0.082749566
ENSGACT00000005315,0.092945556
ENSGACT00000023365,0.128977966
ENSGACT00000002097,-0.115474216
ENSGACT00000010100,0.11497369
ENSGACT00000007252,0.127930495
ENSGACT00000016518,0.178023971
ENSGACT00000018204,0.09388927
ENSGACT00000016935,0.119805145
ENSGACT00000008355,0.099805231
ENSGACT00000018597,0.095549805
ENSGACT00000023286,0.117102411
ENSGACT00000002779,0.083842023
ENSGACT00000006876,0.102859547
ENSGACT00000023794,0.089357372
ENSGACT00000003848,0.08273828
ENSGACT00000025807,-0.138766185
ENSGACT00000007184,-0.070073615
ENSGACT00000008632,-0.138666807
ENSGACT00000017986,0.095476057
ENSGACT00000000022,-0.11555876
ENSGACT00000006567,0.075791634
ENSGACT00000004767,-0.082163533
ENSGACT00000014688,0.13368927
ENSGACT00000001640,0.130182666
ENSGACT00000003663,0.106901264
ENSGACT00000014922,0.082921238
ENSGACT00000013510,0.100964733
ENSGACT00000012578,-0.099495233
ENSGACT00000027072,0.088758033
ENSGACT00000013188,0.105632742
ENSGACT00000002645,0.121517286
ENSGACT00000015702,0.140358592
ENSGACT00000011746,0.091690764
ENSGACT00000021219,0.109415166
ENSGACT00000025998,0.122269888
ENSGACT00000013517,-0.112684235
ENSGACT00000017210,-0.1016934
ENSGACT00000017477,-0.122970528
ENSGACT00000026851,0.104608981
ENSGACT00000027571,0.118825901
ENSGACT00000005895,-0.106907001
ENSGACT00000007821,0.119175374
ENSGACT00000008463,0.138687515
ENSGACT00000017442,0.117860757
ENSGACT00000006434,0.107033357
ENSGACT00000026588,-0.074047224
ENSGACT00000010011,-0.111528788
ENSGACT00000011756,0.130562621
ENSGACT00000004227,0.094474879
ENSGACT00000006964,-0.12450726
ENSGACT00000007729,0.118415162
ENSGACT00000004096,0.075822667
ENSGACT00000024670,0.129424121
ENSGACT00000003820,0.112446409
ENSGACT00000003150,-0.097926574
ENSGACT00000023730,0.148683044
ENSGACT00000005029,-0.115107854
ENSGACT00000012665,0.081571719
ENSGACT00000002887,-0.118827829
ENSGACT00000015687,0.099618793
ENSGACT00000017035,-0.087195704
ENSGACT00000013782,-0.12023691
ENSGACT00000003319,-0.07674863
ENSGACT00000021801,-0.133369549
ENSGACT00000012510,0.083254501
ENSGACT00000005745,0.118819877
ENSGACT00000020884,-0.09374527
ENSGACT00000017443,0.097832181
ENSGACT00000024350,0.130710671
ENSGACT00000001977,-0.13038423
ENSGACT00000010681,0.127038776
ENSGACT00000011489,0.10235006
ENSGACT00000015946,-0.096649429
ENSGACT00000003882,0.112909688
ENSGACT00000006339,0.117418748
ENSGACT00000025471,0.094590157
ENSGACT00000022197,0.101623142
ENSGACT00000025043,0.116390588
ENSGACT00000026102,0.099955568
ENSGACT00000027543,0.114572404
ENSGACT00000024523,0.0708627
ENSGACT00000013134,-0.122547804
ENSGACT00000001342,0.098866653
ENSGACT00000026370,-0.082146436
ENSGACT00000019610,0.098274108
ENSGACT00000007156,-0.107290363
ENSGACT00000013520,0.082756725
ENSGACT00000005521,-0.098367968
ENSGACT00000027086,-0.078049015
ENSGACT00000008418,-0.111059994
ENSGACT00000022724,-0.1404995
ENSGACT00000026969,0.110386822
ENSGACT00000011972,0.099490833
ENSGACT00000004407,0.078387195
ENSGACT00000009693,0.078023968
ENSGACT00000010073,0.103077483
ENSGACT00000014495,0.105228791
ENSGACT00000012509,0.082216943
ENSGACT00000019143,0.146025422
ENSGACT00000008118,-0.11121879
ENSGACT00000022154,-0.115530579
ENSGACT00000020556,-0.120368563
ENSGACT00000012595,0.107760531
ENSGACT00000020761,0.124548699
ENSGACT00000024490,0.095211626
ENSGACT00000013692,0.103390562
ENSGACT00000016213,-0.088898942
ENSGACT00000005342,0.106878819
ENSGACT00000009105,0.101378752
ENSGACT00000023321,0.108754204
ENSGACT00000001692,-0.129726294
ENSGACT00000026694,-0.11464516
ENSGACT00000026655,0.089624925
ENSGACT00000013462,0.133104768
ENSGACT00000016034,0.147410495
ENSGACT00000007429,0.104737016
ENSGACT00000005286,0.108626564
ENSGACT00000007800,0.102138702
ENSGACT00000006141,0.102063861
ENSGACT00000000840,-0.130379856
ENSGACT00000021520,-0.07973116
ENSGACT00000014165,0.107012624
ENSGACT00000000232,0.128350467
ENSGACT00000004831,-0.072933631
ENSGACT00000014008,-0.07570994
ENSGACT00000010289,0.142362027
ENSGACT00000012325,-0.091650584
ENSGACT00000015213,0.121901319
ENSGACT00000011206,-0.090336205
ENSGACT00000022900,-0.100340682
ENSGACT00000015602,0.079570823
ENSGACT00000016739,0.146997581
ENSGACT00000000213,0.133799919
ENSGACT00000024794,-0.126352324
ENSGACT00000016428,0.157852123
ENSGACT00000024019,-0.071022454
ENSGACT00000011676,-0.138667694
ENSGACT00000017453,0.149169502
ENSGACT00000015609,0.081833335
ENSGACT00000022608,0.155101918
ENSGACT00000010353,0.123675069
ENSGACT00000010328,-0.138104062
ENSGACT00000006826,-0.168822035
ENSGACT00000012519,0.130176795
ENSGACT00000023575,0.086235313
ENSGACT00000017229,0.111505085
ENSGACT00000008634,-0.103694296
ENSGACT00000012287,-0.116516936
ENSGACT00000013612,0.097305615
ENSGACT00000012150,-0.128515001
ENSGACT00000007548,0.109677796
ENSGACT00000022378,0.077992652
ENSGACT00000026217,0.148363134
ENSGACT00000019314,-0.101439765
ENSGACT00000025643,0.092234345
ENSGACT00000011752,-0.087095317
ENSGACT00000021876,0.118196116
ENSGACT00000017134,-0.092309452
ENSGACT00000017158,-0.096718148
ENSGACT00000023732,0.145761951
ENSGACT00000025280,0.091209835
ENSGACT00000008942,-0.140119766
ENSGACT00000025791,0.076193536
ENSGACT00000003779,0.072506923
ENSGACT00000021397,0.10389936
ENSGACT00000011527,0.116906793
ENSGACT00000022133,-0.110896928
ENSGACT00000025563,-0.097240703
ENSGACT00000018243,-0.125225058
ENSGACT00000017054,0.141782279
ENSGACT00000007476,0.121837921
ENSGACT00000009770,0.096395254
ENSGACT00000001664,0.116017443
ENSGACT00000018353,-0.100074865
ENSGACT00000018381,-0.190811368
ENSGACT00000018615,0.104024962
ENSGACT00000001536,-0.070101797
ENSGACT00000023982,-0.130824475
ENSGACT00000021758,-0.101531546
ENSGACT00000020319,0.106027171
ENSGACT00000027030,0.12515146
ENSGACT00000003754,-0.089688027
ENSGACT00000023149,0.074413585
ENSGACT00000025422,0.087264407
ENSGACT00000023767,0.104703402
ENSGACT00000007438,0.151548775
ENSGACT00000007456,0.11355741
ENSGACT00000012434,0.144911659
ENSGACT00000005816,-0.122024314
ENSGACT00000018130,0.097522519
ENSGACT00000023067,-0.170625659
ENSGACT00000023537,0.138492341
ENSGACT00000004885,0.09265095
ENSGACT00000007672,0.083733065
ENSGACT00000004458,0.085827144
ENSGACT00000016920,0.077823562
ENSGACT00000013881,0.07772056
ENSGACT00000010296,0.112889171
ENSGACT00000014215,0.093633455
ENSGACT00000002344,0.089306104
ENSGACT00000009166,0.118031101
ENSGACT00000025527,0.113315834
ENSGACT00000024597,0.113163322
ENSGACT00000005541,0.128216246
ENSGACT00000018672,-0.102812359
ENSGACT00000002537,0.083851512
ENSGACT00000021776,0.136805497
ENSGACT00000021099,0.114826038
ENSGACT00000016638,0.12646505
ENSGACT00000005750,0.092957096
ENSGACT00000001845,0.119107866
ENSGACT00000025737,0.135232935
ENSGACT00000022463,-0.132497958
ENSGACT00000008711,0.135272366
ENSGACT00000014084,0.112610136
ENSGACT00000014377,-0.137596793
ENSGACT00000005672,0.124913899
ENSGACT00000023609,0.109161531
ENSGACT00000001969,0.089851548
ENSGACT00000008363,0.079083028
ENSGACT00000000511,0.096495437
ENSGACT00000001323,0.080061499
ENSGACT00000006743,0.135659451
ENSGACT00000015271,0.124522234
ENSGACT00000003973,0.080359909
ENSGACT00000009972,-0.114335156
ENSGACT00000003250,0.12571998
ENSGACT00000021609,0.100025695
ENSGACT00000027440,0.09518394
ENSGACT00000019103,0.156708852
ENSGACT00000016733,0.151773022
ENSGACT00000004672,0.136244074
ENSGACT00000003755,0.1382379
ENSGACT00000012027,0.128490545
ENSGACT00000005064,0.07618774
ENSGACT00000026512,-0.082812491
ENSGACT00000002474,-0.087856221
ENSGACT00000003620,0.116791244
ENSGACT00000020828,-0.108528612
ENSGACT00000017531,-0.113490851
ENSGACT00000004838,-0.14080397
ENSGACT00000018685,-0.109506349
ENSGACT00000015974,-0.099186937
ENSGACT00000004757,0.1198624
ENSGACT00000002177,0.106230642
ENSGACT00000005379,-0.077541746
ENSGACT00000021620,0.107580072
ENSGACT00000021686,0.127729502
ENSGACT00000002570,0.115389671
ENSGACT00000025966,-0.123111436
ENSGACT00000000713,0.102363594
ENSGACT00000021845,-0.09129438
ENSGACT00000012548,0.128288024
ENSGACT00000016516,-0.081410804
ENSGACT00000010279,0.085205799
ENSGACT00000020667,0.104816296
ENSGACT00000011657,0.142166079
ENSGACT00000019917,0.069380533
ENSGACT00000019471,-0.14437544
ENSGACT00000012107,0.126749234
ENSGACT00000018630,0.112536695
ENSGACT00000027581,0.119355164
ENSGACT00000001479,0.101365761
ENSGACT00000015908,0.08663008
ENSGACT00000020279,0.108018251
ENSGACT00000006817,0.128264537
ENSGACT00000006812,0.108569717
ENSGACT00000017111,-0.09012011
ENSGACT00000003518,-0.089226614
ENSGACT00000006515,-0.111528788
ENSGACT00000007578,0.119490897
ENSGACT00000003644,0.101619724
ENSGACT00000022337,0.107895525
ENSGACT00000014481,0.139043606
ENSGACT00000024733,0.121723657
ENSGACT00000020571,0.099720686
ENSGACT00000019632,0.115870809
ENSGACT00000003963,0.089609276
ENSGACT00000023408,0.131254594
ENSGACT00000019519,0.133571852
ENSGACT00000018095,0.144501291
ENSGACT00000010830,0.139321077
ENSGACT00000014406,0.072073406
ENSGACT00000016445,0.146868548
ENSGACT00000003421,-0.178475437
ENSGACT00000004721,0.100397045
ENSGACT00000013442,0.113896044
ENSGACT00000020712,0.106693576
ENSGACT00000001572,0.082942
ENSGACT00000011069,-0.120603272
ENSGACT00000012223,0.147557328
ENSGACT00000002192,0.085759532
ENSGACT00000018792,-0.076076301
ENSGACT00000007751,-0.091218995
ENSGACT00000016682,0.097663427
ENSGACT00000017317,-0.089758638
ENSGACT00000008414,0.096954959
ENSGACT00000012819,0.128775943
ENSGACT00000025797,0.094819209
ENSGACT00000023751,0.097220093
ENSGACT00000027441,0.0982252
ENSGACT00000014482,-0.085275231
ENSGACT00000008013,0.083091117
ENSGACT00000020677,0.106930554
ENSGACT00000020739,0.120643492
ENSGACT00000006646,0.126155052
ENSGACT00000002642,0.100450181
ENSGACT00000025304,0.092731643
ENSGACT00000006689,0.104370655
ENSGACT00000010077,-0.101467947
ENSGACT00000000919,0.098842891
ENSGACT00000016222,0.093002015
ENSGACT00000021489,0.129508666
ENSGACT00000004098,-0.079242609
ENSGACT00000021229,-0.101129768
ENSGACT00000021224,0.109246076
ENSGACT00000014534,0.105854442
ENSGACT00000004690,0.131639925
ENSGACT00000015528,0.071116335
ENSGACT00000002884,0.134156674
ENSGACT00000002885,0.117166668
ENSGACT00000016332,0.08529845
ENSGACT00000003446,0.089561809
ENSGACT00000018713,-0.087042826
ENSGACT00000009487,0.088748167
ENSGACT00000011843,0.11066774
ENSGACT00000022803,0.118865192
ENSGACT00000013342,-0.103976112
ENSGACT00000001619,0.086310408
ENSGACT00000002237,0.095323399
ENSGACT00000013948,-0.081740808
ENSGACT00000023346,0.123718086
ENSGACT00000021299,-0.091650899
ENSGACT00000022317,0.121307812
ENSGACT00000004615,0.148956905
ENSGACT00000009469,-0.127713852
ENSGACT00000016317,-0.11468513
ENSGACT00000014897,0.093185852
ENSGACT00000013029,-0.131735014
ENSGACT00000012256,0.088989534
ENSGACT00000013101,0.132346235
ENSGACT00000016522,-0.095367263
ENSGACT00000026464,0.078712864
ENSGACT00000007715,0.093721867
ENSGACT00000013343,-0.082698984
ENSGACT00000024109,0.088525308
ENSGACT00000008326,-0.094817083
ENSGACT00000009755,0.069965572
ENSGACT00000014894,-0.090789325
ENSGACT00000023418,0.100785195
ENSGACT00000012981,-0.088892859
ENSGACT00000004169,-0.069538164
ENSGACT00000019309,0.151610902
ENSGACT00000011695,0.106698162
ENSGACT00000014235,0.09710282
ENSGACT00000017015,0.133390876
ENSGACT00000018404,-0.099927992
ENSGACT00000010572,-0.075484487
ENSGACT00000012785,0.082304441
ENSGACT00000012628,0.111712716
ENSGACT00000027386,0.133848636
ENSGACT00000004963,0.093910697
ENSGACT00000021956,-0.205993601
ENSGACT00000000294,0.116286516
ENSGACT00000026301,-0.129001396
ENSGACT00000002812,0.098086152
ENSGACT00000027578,0.134993362
ENSGACT00000003084,-0.082808415
ENSGACT00000012362,0.081203997
ENSGACT00000007482,0.098987964
ENSGACT00000024867,0.108823352
ENSGACT00000002064,-0.107879989
ENSGACT00000021817,0.117542377
ENSGACT00000009118,0.106733116
ENSGACT00000027332,-0.146474005
ENSGACT00000022763,0.107891642
ENSGACT00000022889,0.10977099
ENSGACT00000023358,0.129235425
ENSGACT00000008042,-0.136497709
ENSGACT00000012529,0.076620917
ENSGACT00000025816,0.089547119
ENSGACT00000013898,-0.088026351
ENSGACT00000024318,-0.085348057
ENSGACT00000021710,-0.092681484
ENSGACT00000021468,-0.131763196
ENSGACT00000014971,0.121243158
ENSGACT00000011156,0.070439976
ENSGACT00000000181,0.074244496
ENSGACT00000002388,0.089462574
ENSGACT00000015962,0.075876018
ENSGACT00000006280,-0.085291693
ENSGACT00000003845,-0.118525766
ENSGACT00000002408,-0.082888741
ENSGACT00000006837,0.116207818
ENSGACT00000004880,0.072018147
ENSGACT00000009401,-0.078781738
ENSGACT00000002914,0.138799935
