Transcript,Taus
ENSGACT00000012039,0.108880972
ENSGACT00000011002,0.106383604
ENSGACT00000009046,0.068713844
ENSGACT00000026391,-0.112338256
ENSGACT00000013969,0.10604468
ENSGACT00000002782,-0.067555037
ENSGACT00000008935,-0.139305956
ENSGACT00000020574,-0.091236643
ENSGACT00000008014,-0.092781805
ENSGACT00000026144,-0.104190915
ENSGACT00000006914,-0.088249284
ENSGACT00000013346,-0.067582195
ENSGACT00000009354,-0.118954717
ENSGACT00000010686,-0.07650071
ENSGACT00000013569,0.133306985
ENSGACT00000007994,0.106622252
ENSGACT00000024468,0.081650022
ENSGACT00000008290,0.092705643
ENSGACT00000021382,0.119263496
ENSGACT00000000387,0.150591031
ENSGACT00000021958,-0.094142528
ENSGACT00000000932,0.115749199
ENSGACT00000011284,0.135755206
ENSGACT00000000562,0.104141885
ENSGACT00000019007,0.103896431
ENSGACT00000022108,0.11590025
ENSGACT00000002641,-0.101610924
ENSGACT00000021888,0.108590479
ENSGACT00000007124,0.101013452
ENSGACT00000010049,0.080926049
ENSGACT00000012596,0.098984832
ENSGACT00000012589,-0.076989619
ENSGACT00000022836,0.129648738
ENSGACT00000016826,-0.081481594
ENSGACT00000006551,0.117661186
ENSGACT00000012087,0.130383745
ENSGACT00000010956,-0.131715505
ENSGACT00000021792,0.092955712
ENSGACT00000012855,0.09197862
ENSGACT00000003273,0.108338282
ENSGACT00000023138,0.113370253
ENSGACT00000021554,0.120917395
ENSGACT00000021168,0.093327793
ENSGACT00000003747,0.092274483
ENSGACT00000016323,0.130339998
ENSGACT00000005994,0.103890596
ENSGACT00000015939,0.109667027
ENSGACT00000027338,0.081025308
ENSGACT00000017848,0.167262928
ENSGACT00000001623,0.072990123
ENSGACT00000017431,0.13286019
ENSGACT00000025838,-0.07815268
ENSGACT00000005946,0.106968612
ENSGACT00000023531,0.137288422
ENSGACT00000008224,-0.109486687
ENSGACT00000012743,0.093350747
ENSGACT00000022501,0.099362646
ENSGACT00000026590,-0.098489906
ENSGACT00000009167,-0.191150203
ENSGACT00000009358,-0.144737516
ENSGACT00000006148,0.104619809
ENSGACT00000016806,0.103709828
ENSGACT00000010333,-0.091535378
ENSGACT00000027217,-0.084066982
ENSGACT00000014907,-0.074306634
ENSGACT00000010854,-0.084730682
ENSGACT00000011252,0.07760862
ENSGACT00000002098,0.115043053
ENSGACT00000016975,0.132310519
ENSGACT00000019935,-0.106390697
ENSGACT00000001425,0.152208969
ENSGACT00000025210,0.127174931
ENSGACT00000007022,0.103778892
ENSGACT00000011093,0.146004022
ENSGACT00000000693,0.162779604
ENSGACT00000025477,0.178325304
ENSGACT00000003413,0.138817115
ENSGACT00000001104,0.137473724
ENSGACT00000011043,0.124183674
ENSGACT00000025459,0.140977104
ENSGACT00000002677,-0.112311098
ENSGACT00000015541,0.114676371
ENSGACT00000022527,-0.105416396
ENSGACT00000007228,0.102320214
ENSGACT00000018126,-0.073529674
ENSGACT00000012594,0.083753538
ENSGACT00000021438,0.104131246
ENSGACT00000014136,-0.068547699
ENSGACT00000025547,-0.125661257
ENSGACT00000025544,0.067799458
ENSGACT00000001451,0.08969225
ENSGACT00000014093,0.104673869
ENSGACT00000019852,-0.164779976
ENSGACT00000005242,0.088602336
ENSGACT00000013359,0.095690522
ENSGACT00000017577,0.090454745
ENSGACT00000024123,0.130395288
ENSGACT00000000554,0.088143593
ENSGACT00000003318,0.109132242
ENSGACT00000010995,0.114130671
ENSGACT00000010584,0.117173992
ENSGACT00000002330,-0.152660684
ENSGACT00000015286,-0.114037909
ENSGACT00000024650,0.103608812
ENSGACT00000016966,0.122961897
ENSGACT00000010114,0.105093244
ENSGACT00000018228,-0.084773085
ENSGACT00000012987,-0.120955377
