Transcript,Taus
ENSGACT00000012039,0.083673403
ENSGACT00000002782,-0.100307477
ENSGACT00000020574,-0.100460036
ENSGACT00000009354,-0.087386677
ENSGACT00000021958,-0.099544682
ENSGACT00000000932,0.089530351
ENSGACT00000021888,0.108393099
ENSGACT00000007124,0.110223805
ENSGACT00000012662,0.110250047
ENSGACT00000012596,0.099795763
ENSGACT00000012087,0.102304578
ENSGACT00000010956,-0.097407043
ENSGACT00000021554,0.158488922
ENSGACT00000021168,0.10686751
ENSGACT00000012743,0.092383691
ENSGACT00000022501,0.125970907
ENSGACT00000014907,-0.102265332
ENSGACT00000002098,0.090403858
ENSGACT00000019935,-0.087034853
ENSGACT00000007022,0.105100847
ENSGACT00000000693,0.101694804
ENSGACT00000001104,0.102443987
ENSGACT00000011043,0.104084138
ENSGACT00000015541,0.094523528
ENSGACT00000021438,0.112350348
ENSGACT00000013359,0.092221855
ENSGACT00000010995,0.100154918
ENSGACT00000010584,0.120297095
ENSGACT00000010114,0.115279859
ENSGACT00000018228,-0.118614545
ENSGACT00000023530,-0.099800327
ENSGACT00000011105,0.093063884
ENSGACT00000000619,0.111074779
ENSGACT00000020340,0.110223805
ENSGACT00000026577,0.083373439
ENSGACT00000016104,0.128256668
ENSGACT00000013565,0.081493892
ENSGACT00000020406,0.099544682
ENSGACT00000020376,-0.120140134
ENSGACT00000006793,0.099276123
ENSGACT00000021126,0.099638091
ENSGACT00000010141,0.088563999
ENSGACT00000012243,0.109166856
ENSGACT00000025379,0.104633775
ENSGACT00000024136,0.095391134
ENSGACT00000023097,0.138861618
ENSGACT00000023924,0.110336873
ENSGACT00000011791,0.114354379
ENSGACT00000018478,-0.092154896
ENSGACT00000016651,-0.093900003
ENSGACT00000023712,0.100979245
ENSGACT00000005315,0.104145425
ENSGACT00000002097,-0.081542732
ENSGACT00000010100,0.089907393
ENSGACT00000007252,0.094052562
ENSGACT00000008355,0.095883269
ENSGACT00000017039,0.116676496
ENSGACT00000018597,0.092374414
ENSGACT00000016165,0.12215266
ENSGACT00000010826,-0.086577176
ENSGACT00000006876,0.083851326
ENSGACT00000003848,0.116732965
ENSGACT00000007184,-0.109461011
ENSGACT00000020857,-0.087950206
ENSGACT00000008188,-0.085804522
ENSGACT00000003663,0.097367615
ENSGACT00000014922,0.109341395
ENSGACT00000013510,0.099548681
