Transcript,Taus
ENSGACT00000012039,-0.085041792
ENSGACT00000011002,0.091221266
ENSGACT00000004944,0.071321632
ENSGACT00000002782,0.123086854
ENSGACT00000020574,0.102226685
ENSGACT00000013346,0.142672895
ENSGACT00000009354,0.116126286
ENSGACT00000003550,0.087263068
ENSGACT00000007994,-0.124139583
ENSGACT00000016550,-0.074634197
ENSGACT00000021958,0.078847886
ENSGACT00000011284,-0.120621655
ENSGACT00000000562,-0.094149418
ENSGACT00000023078,-0.111728499
ENSGACT00000002641,0.078284899
ENSGACT00000021888,-0.107945453
ENSGACT00000003487,-0.094522645
ENSGACT00000007124,-0.116093957
ENSGACT00000012662,-0.086269589
ENSGACT00000022836,-0.122082026
ENSGACT00000012087,-0.149197569
ENSGACT00000010956,0.098601334
ENSGACT00000021792,-0.096682538
ENSGACT00000005787,0.101929792
ENSGACT00000016026,-0.176274649
ENSGACT00000021554,-0.083367241
ENSGACT00000015939,-0.112776806
ENSGACT00000021433,-0.07207692
ENSGACT00000005946,-0.148944919
ENSGACT00000012743,-0.072306713
ENSGACT00000000952,-0.088477936
ENSGACT00000027217,0.11236046
ENSGACT00000016427,0.086805246
ENSGACT00000020552,0.093720864
ENSGACT00000002098,-0.095365718
ENSGACT00000019935,0.151147339
ENSGACT00000025210,-0.098410884
ENSGACT00000007022,-0.087835133
ENSGACT00000000693,-0.089690598
ENSGACT00000025477,-0.121254608
ENSGACT00000003413,-0.112893817
ENSGACT00000001104,-0.129680603
ENSGACT00000011043,-0.109511255
ENSGACT00000002677,-0.08924834
ENSGACT00000015541,-0.164548834
ENSGACT00000021438,-0.108630866
ENSGACT00000014093,0.146619195
ENSGACT00000019852,0.147443473
ENSGACT00000015750,0.093951442
ENSGACT00000013359,-0.104774944
ENSGACT00000008300,-0.111027509
ENSGACT00000003318,-0.092890286
ENSGACT00000010995,-0.110790021
ENSGACT00000010584,-0.083452857
ENSGACT00000026043,-0.106171862
ENSGACT00000010114,-0.106691323
ENSGACT00000018228,0.157784665
ENSGACT00000013058,0.077751542
ENSGACT00000023530,0.082589386
ENSGACT00000011105,-0.138198341
ENSGACT00000000619,-0.112804328
ENSGACT00000003347,-0.114582779
ENSGACT00000007147,-0.073432801
ENSGACT00000015170,0.08093762
ENSGACT00000026577,-0.075469961
ENSGACT00000023029,-0.084123145
ENSGACT00000016104,-0.096368173
ENSGACT00000008141,-0.089417667
ENSGACT00000022443,0.073458805
ENSGACT00000013565,-0.104745285
ENSGACT00000020406,-0.101278495
ENSGACT00000006793,-0.102590404
ENSGACT00000021126,-0.1174303
ENSGACT00000010141,-0.080347475
ENSGACT00000027033,-0.150856921
ENSGACT00000023738,-0.083283573
ENSGACT00000025379,-0.112760109
ENSGACT00000024136,-0.093445442
ENSGACT00000023341,0.159888461
ENSGACT00000026332,-0.124831689
ENSGACT00000023924,-0.080916076
ENSGACT00000011791,-0.078381662
ENSGACT00000007897,-0.097971804
ENSGACT00000017430,0.135176271
ENSGACT00000024978,-0.077206291
ENSGACT00000023712,-0.104883302
ENSGACT00000023721,-0.109146236
ENSGACT00000007810,-0.086070298
ENSGACT00000005315,-0.107742884
ENSGACT00000012977,-0.073328997
ENSGACT00000010100,-0.137606989
ENSGACT00000018204,0.091526504
ENSGACT00000008355,-0.119620036
ENSGACT00000017039,-0.084027577
ENSGACT00000018597,-0.139976481
ENSGACT00000023286,-0.087260929
ENSGACT00000006876,-0.093270995
ENSGACT00000007123,-0.094839194
ENSGACT00000007184,0.163977528
