"FeatureID","FeatureName","type","Taus"
"ENSGACG00000000082","ENSGACG00000000082","Bcell",0.139664926
"ENSGACG00000002475","ptgdsb.1","Fibroblast",-0.078559541
"ENSGACG00000002997","ENSGACG00000002997","Fibroblast",-0.111028706
"ENSGACG00000003398","icn","Fibroblast",0.154774967
"ENSGACG00000003661","FBLN1","Fibroblast",-0.113077246
"ENSGACG00000004701","ENSGACG00000004701","Fibroblast",0.147172431
"ENSGACG00000004949","ENSGACG00000004949","Bcell",0.105611899
"ENSGACG00000005778","dap1b","Bcell",0.152937687
"ENSGACG00000005778","dap1b","HC",0.152937687
"ENSGACG00000006921","ENSGACG00000006921","Fibroblast",0.141153756
"ENSGACG00000007762","alox5a","Neutrophil",0.088601224
"ENSGACG00000012518","col6a2","Fibroblast",0.147996039
"ENSGACG00000012927","ENSGACG00000012927","Neutrophil",-0.088379484
"ENSGACG00000013795","csf3r","APC",0.10228579
"ENSGACG00000015680","swap70a","Bcell",0.107575888
"ENSGACG00000016593","actb1","Neutrophil",0.083374481
"ENSGACG00000017163","ENSGACG00000017163","APC",0.103901329
"ENSGACG00000017163","ENSGACG00000017163","Bcell",0.103901329
"ENSGACG00000017305","ENSGACG00000017305","Neutrophil",0.09655221
"ENSGACG00000019081","ENSGACG00000019081","Fibroblast",0.120690263
"ENSGACG00000019990","hcls1","Neutrophil",0.167445861
"ENSGACG00000020547","alox5ap","Neutrophil",0.091262112
