"FeatureID","FeatureName","type","Taus"
"ENSGACG00000002997","ENSGACG00000002997","Fibroblast",-0.10290521
"ENSGACG00000003398","icn","Fibroblast",0.085827144
"ENSGACG00000003661","FBLN1","Fibroblast",-0.072933631
"ENSGACG00000003798","rpe","Neutrophil",-0.105103377
"ENSGACG00000004430","rpia","Neutrophil",-0.105836099
"ENSGACG00000004949","ENSGACG00000004949","Bcell",0.124689608
"ENSGACG00000005201","SNRPD1","HC",-0.128127766
"ENSGACG00000006710","ENSGACG00000006710","APC",0.070580884
"ENSGACG00000006921","ENSGACG00000006921","Fibroblast",-0.132834098
"ENSGACG00000007744","gpia","Neutrophil",-0.138104062
"ENSGACG00000007762","alox5a","Neutrophil",-0.111106063
"ENSGACG00000007959","lcp1","Neutrophil",-0.075484487
"ENSGACG00000009214","cpa1","Neutrophil",-0.110316978
"ENSGACG00000009575","id3","NKC",0.081571719
"ENSGACG00000010720","ENSGACG00000010720","Bcell",0.093633455
"ENSGACG00000012231","ENSGACG00000012231","Fibroblast",-0.088898942
"ENSGACG00000012781","ENSGACG00000012781","Bcell",0.077823562
"ENSGACG00000012927","ENSGACG00000012927","Neutrophil",-0.098255242
"ENSGACG00000012951","ENSGACG00000012951","Neutrophil",-0.096718148
"ENSGACG00000013002","ENSGACG00000013002","Fibroblast",0.111505085
"ENSGACG00000015423","ENSGACG00000015423","Neutrophil",-0.096507981
"ENSGACG00000015568","rps28","Bcell",-0.098621603
"ENSGACG00000015680","swap70a","Bcell",0.131565924
"ENSGACG00000015958","irf8","Bcell",0.114826038
"ENSGACG00000016266","tmem176","APC",-0.069481801
"ENSGACG00000016593","actb1","Neutrophil",-0.075146308
"ENSGACG00000017166","mpx","Neutrophil",-0.1404995
"ENSGACG00000017305","ENSGACG00000017305","Neutrophil",-0.100340682
"ENSGACG00000017440","rpl39","Bcell",-0.087687132
"ENSGACG00000019081","ENSGACG00000019081","Fibroblast",0.091209835
"ENSGACG00000019287","ENSGACG00000019287","Neutrophil",-0.092353953
"ENSGACG00000020086","ENSGACG00000020086","RBC",-0.076978113
"ENSGACG00000020547","alox5ap","Neutrophil",-0.078246287
