"FeatureID","FeatureName","type","Taus"
"ENSGACG00000000082","ENSGACG00000000082","Bcell",-0.098848049
"ENSGACG00000005778","dap1b","Bcell",-0.086492043
"ENSGACG00000005778","dap1b","HC",-0.086492043
"ENSGACG00000007762","alox5a","Neutrophil",-0.097350352
"ENSGACG00000007959","lcp1","Neutrophil",-0.08873859
"ENSGACG00000012951","ENSGACG00000012951","Neutrophil",-0.091971394
"ENSGACG00000013795","csf3r","APC",-0.107709428
"ENSGACG00000016593","actb1","Neutrophil",-0.126680265
"ENSGACG00000017305","ENSGACG00000017305","Neutrophil",-0.087116084
"ENSGACG00000019990","hcls1","Neutrophil",-0.105587689
"ENSGACG00000020547","alox5ap","Neutrophil",-0.088863398
