"FeatureID","FeatureName","type","Taus"
"ENSGACG00000002475","ptgdsb.1","Fibroblast",-0.090286119
"ENSGACG00000002997","ENSGACG00000002997","Fibroblast",-0.081432675
"ENSGACG00000003661","FBLN1","Fibroblast",-0.095192369
"ENSGACG00000003798","rpe","Neutrophil",-0.107286905
"ENSGACG00000004430","rpia","Neutrophil",-0.085180452
"ENSGACG00000004690","si:ch1073-406l10.2","HC",0.081921516
"ENSGACG00000004949","ENSGACG00000004949","Bcell",0.117661186
"ENSGACG00000005201","SNRPD1","HC",-0.144112887
"ENSGACG00000006921","ENSGACG00000006921","Fibroblast",-0.076951638
"ENSGACG00000007744","gpia","Neutrophil",-0.173714893
"ENSGACG00000007762","alox5a","Neutrophil",-0.091535378
"ENSGACG00000007959","lcp1","Neutrophil",-0.108074481
"ENSGACG00000009214","cpa1","Neutrophil",-0.133276923
"ENSGACG00000009575","id3","NKC",0.096315152
"ENSGACG00000010720","ENSGACG00000010720","Bcell",0.103131761
"ENSGACG00000012231","ENSGACG00000012231","Fibroblast",-0.121463278
"ENSGACG00000012781","ENSGACG00000012781","Bcell",0.088683809
"ENSGACG00000012927","ENSGACG00000012927","Neutrophil",-0.06801672
"ENSGACG00000012951","ENSGACG00000012951","Neutrophil",-0.093376685
"ENSGACG00000013002","ENSGACG00000013002","Fibroblast",0.09927934
"ENSGACG00000013795","csf3r","APC",-0.085642135
"ENSGACG00000015568","rps28","Bcell",-0.091236643
"ENSGACG00000015680","swap70a","Bcell",0.121789172
"ENSGACG00000015958","irf8","Bcell",0.128442834
"ENSGACG00000016266","tmem176","APC",-0.091236643
"ENSGACG00000016593","actb1","Neutrophil",-0.094142528
"ENSGACG00000017166","mpx","Neutrophil",-0.135503863
"ENSGACG00000017305","ENSGACG00000017305","Neutrophil",-0.106091961
"ENSGACG00000018016","cd74a","Bcell",0.074100068
"ENSGACG00000018016","cd74a","APC",0.074100068
"ENSGACG00000019287","ENSGACG00000019287","Neutrophil",-0.125661257
"ENSGACG00000019990","hcls1","Neutrophil",-0.081296886
"ENSGACG00000020547","alox5ap","Neutrophil",-0.084066982
