"FeatureID","FeatureName","type","Taus"
"ENSGACG00000002997","ENSGACG00000002997","Fibroblast",-0.108850775
"ENSGACG00000007959","lcp1","Neutrophil",-0.115258249
"ENSGACG00000012231","ENSGACG00000012231","Fibroblast",-0.124716901
"ENSGACG00000012518","col6a2","Fibroblast",-0.093900003
"ENSGACG00000013795","csf3r","APC",-0.111749394
"ENSGACG00000015423","ENSGACG00000015423","Neutrophil",-0.120140134
"ENSGACG00000015568","rps28","Bcell",-0.100460036
"ENSGACG00000016593","actb1","Neutrophil",-0.099544682
"ENSGACG00000017166","mpx","Neutrophil",-0.10549448
"ENSGACG00000017305","ENSGACG00000017305","Neutrophil",-0.114648014
"ENSGACG00000019081","ENSGACG00000019081","Fibroblast",-0.108545658
"ENSGACG00000019990","hcls1","Neutrophil",-0.128225756
