FeatureID,FeatureName,GOS Average,GOS Log2 Fold Change,GOS P-Value,SAY Average,SAY Log2 Fold Change,SAY P-Value
ENSGACG00000005562,ENSGACG00000005562,1.993695198950177,4.715510886410174,5.505624174175e-40,0.07549752428321617,-4.715510886410174,5.505624174175e-40
ENSGACG00000012951,ENSGACG00000012951,2.307578473633012,3.3110755252337745,6.021084732053367e-24,0.23214479391898019,-3.3110755252337745,6.021084732053367e-24
ENSGACG00000016845,mibp2,0.28446753229249183,-1.9856218920598974,1.4518065839897538e-10,1.1276181033316726,1.9856218920598974,1.4518065839897538e-10
ENSGACG00000001460,ENSGACG00000001460,0.38724959687992505,-1.8285272140386284,5.830617199463726e-09,1.376315830382267,1.8285272140386284,5.830617199463552e-09
ENSGACG00000011880,pygl,1.7684052189959043,1.6824504331209351,4.986068699100769e-07,0.5506878241834591,-1.6824504331209351,4.986068699100923e-07
ENSGACG00000000834,npsn,2.985178751283497,1.603868428629246,2.212228286642575e-06,0.981871545758191,-1.603868428629246,2.212228286642593e-06
ENSGACG00000012927,ENSGACG00000012927,29.416088457900365,1.4638305541807832,2.244351517132729e-05,10.66452996759976,-1.4638305541807832,2.2443515171327417e-05
ENSGACG00000014415,npsn,13.25888633177888,1.398776595078103,5.609723257609255e-05,5.028458101323301,-1.398776595078103,5.609723257609513e-05
ENSGACG00000016901,ENSGACG00000016901,1.6410523578235965,1.221973091881782,0.0006368610481583667,0.7032977930554148,-1.221973091881782,0.0006368610481583685
ENSGACG00000006713,ENSGACG00000006713,1.9788142939762388,-1.172596320764748,0.0007370160164603732,4.461217344008229,1.172596320764748,0.0007370160164604485
ENSGACG00000020940,ENSGACG00000020940,12.810036709658002,1.191991041474612,0.000958710983921206,5.607003300777039,-1.191991041474612,0.0009587109839211788
ENSGACG00000009661,NDUFA4,1.5393084959087637,1.1563871316143135,0.0015511038664840324,0.6903784306112281,-1.1563871316143135,0.0015511038664840738
ENSGACG00000009964,tktb,6.0461462976668185,1.1737526973256247,0.0016242662133263554,2.6799602470159836,-1.1737526973256247,0.0016242662133264423
ENSGACG00000007396,eno1a,1.0032498492894573,1.1658408117810488,0.0019129975338979762,0.4469291945535845,-1.1658408117810488,0.0019129975338979723
ENSGACG00000015537,cybb,2.5359830616050854,1.0042779446253118,0.012686314578852352,1.2640788691483948,-1.0042779446253118,0.012686314578852937
ENSGACG00000009211,ENSGACG00000009211,1.4725174573048088,-0.9565054165412301,0.015345357555100836,2.858005210699932,0.9565054165412301,0.015345357555100934
ENSGACG00000004652,ENSGACG00000004652,1.00151951150179,-0.9517252646913416,0.016965289593649596,1.9375006365516279,0.9517252646913416,0.01696528959364975
ENSGACG00000007164,pgd,5.179939201160606,0.969496201850363,0.01909172250289792,2.6452394604472316,-0.969496201850363,0.019091722502897937
ENSGACG00000002643,cct5,1.1807825063041146,0.9523280678057328,0.01993686256091399,0.6100361454114419,-0.9523280678057328,0.019936862560913874
ENSGACG00000001966,ncf2,1.7864007319876434,0.9386872179151847,0.0262643223031253,0.9318090162869674,-0.9386872179151847,0.02626432230312587
ENSGACG00000020946,mt-nd4l,2.757120230868957,0.9155752635198435,0.030736252579007885,1.461502876498623,-0.9155752635198435,0.030736252579007875
ENSGACG00000009214,cpa1,2.399632443936908,0.9310207474411206,0.03385189584734583,1.2584266480790631,-0.9310207474411206,0.033851895847345895
ENSGACG00000019805,btg1,1.1856274521095829,0.8938546170887438,0.03918285066301385,0.6378935206817195,-0.8938546170887438,0.03918285066301485
ENSGACG00000016657,arpc1b,2.8252955397030455,0.8888124442685628,0.04188733095149365,1.525695958643176,-0.8888124442685628,0.041887330951494745
ENSGACG00000003056,g6pd,1.3441263934599006,0.8973136550396947,0.04526234809019369,0.7214656464925524,-0.8973136550396947,0.04526234809019384
ENSGACG00000020896,rhogb,2.030032292491189,0.8662233282460322,0.05343400580450617,1.1134875506583433,-0.8662233282460322,0.05343400580450758
ENSGACG00000013470,CTSS,1.2929083949449507,0.8624124323882711,0.0599745328473489,0.7109686645066506,-0.8624124323882711,0.059974532847349986
ENSGACG00000008253,ENSGACG00000008253,1.6656231544084712,0.8414675236095915,0.06164219655395676,0.9293866358286824,-0.8414675236095915,0.06164219655395692
ENSGACG00000013895,ENSGACG00000013895,102.1408014033237,-0.8156612878794416,0.06415277138651825,179.7890776139135,0.8156612878794416,0.0641527713865224
ENSGACG00000014576,ENSGACG00000014576,9.563230884879221,0.8411928765834897,0.0660382846154848,5.338119069907402,-0.8411928765834897,0.06603828461548457
ENSGACG00000020942,mt-co3,19.790565412665124,0.8266484341887885,0.0699979284101014,11.159099311166283,-0.8266484341887885,0.06999792841010784
ENSGACG00000020358,tagln2,1.026436375644198,0.8388292547887919,0.07442530865466385,0.5737004385371667,-0.8388292547887919,0.07442530865466465
ENSGACG00000010752,cd63,1.6503961818769994,0.8132638484154655,0.09260660963912827,0.9390761576618225,-0.8132638484154655,0.09260660963912834
ENSGACG00000020547,alox5ap,1.1517128314713052,0.8053098725065085,0.11281379394897009,0.658887484653523,-0.8053098725065085,0.11281379394896722
ENSGACG00000011456,ada,1.2275016265711296,-0.7572972095213228,0.12051239330712907,2.0751725925974926,0.7572972095213228,0.12051239330713137
ENSGACG00000017200,taldo1,4.354222008885806,0.7739671538100685,0.1266157549924927,2.546325591733927,-0.7739671538100685,0.126615754992506
ENSGACG00000014330,ndufab1b,0.7869576258310541,-0.7584164396635698,0.12705788109175079,1.3315017919039942,0.7584164396635698,0.12705788109175462
ENSGACG00000013555,coro1a,1.779825448394508,0.7660142294025929,0.13826405915018225,1.0464683579791247,-0.7660142294025929,0.13826405915018225
ENSGACG00000007959,lcp1,3.37623509129629,0.7463005383748007,0.1532666850506924,2.012594430758463,-0.7463005383748007,0.15326668505069274
ENSGACG00000017191,eef1da,1.0714251581235459,-0.7282304282523648,0.1543826882300773,1.775201145846532,0.7282304282523648,0.15438268823005755
ENSGACG00000000675,lta4h,1.770481624341105,0.7429266726095639,0.17306668948937326,1.057772800117788,-0.7429266726095639,0.17306668948937873
ENSGACG00000011212,ENSGACG00000011212,2.9083517535110723,0.7144440779249284,0.20372785147067307,1.7723750353118661,-0.7144440779249284,0.20372785147067327
ENSGACG00000000326,ENSGACG00000000326,11.71992390342765,0.7117589704875993,0.2088990163987133,7.156115603850303,-0.7117589704875993,0.20889901639870034
ENSGACG00000007836,ENSGACG00000007836,17.54320269404293,0.6923837422301728,0.2237912274298351,10.856705483957038,-0.6923837422301728,0.2237912274298401
ENSGACG00000008894,rfesd,0.6253440764629352,-0.6770357167974734,0.2436295561145677,1.0000393991953287,0.6770357167974734,0.2436295561145677
ENSGACG00000006448,tmem205,2.544980818100955,-0.6439454934288285,0.29495004114045087,3.977144982427607,0.6439454934288285,0.29495004114045087
ENSGACG00000020938,mt-co2,47.2915160071754,0.6476561293295102,0.3026445405541496,30.188512731300566,-0.6476561293295102,0.3026445405541496
ENSGACG00000015634,scinlb,1.1506746287987049,0.6515644133320961,0.3377486150864161,0.7323663585548349,-0.6515644133320961,0.3377486150864149
ENSGACG00000013298,arhgdia,2.005461495906314,0.6284334588097757,0.3668320366872619,1.2971847354116233,-0.6284334588097757,0.36683203668726244
ENSGACG00000016070,ENSGACG00000016070,4.890280655505112,0.6147794702328762,0.40035103435762365,3.1935049041724057,-0.6147794702328762,0.40035103435763464
ENSGACG00000007744,gpia,1.4316814855158622,0.6200362141424672,0.40523318293677196,0.9314052862105866,-0.6200362141424672,0.40523318293677196
ENSGACG00000000546,ENSGACG00000000546,1.4067646213734541,0.610425148547971,0.4143028961626116,0.9213120343010658,-0.610425148547971,0.41430289616261107
ENSGACG00000020827,ncf1,2.512450467692811,0.5928206074446314,0.43851468657558373,1.6657902951473258,-0.5928206074446314,0.43851468657558457
ENSGACG00000020929,mt-nd2,3.4859385070343922,0.5695392778348034,0.4897390237867057,2.348901584383699,-0.5695392778348034,0.48973902378670503
ENSGACG00000020935,mt-co1,11.336481049680593,0.5516148490514401,0.5379412990646849,7.734660803304039,-0.5516148490514401,0.537941299064699
ENSGACG00000005975,ENSGACG00000005975,2.6197314105281793,0.6053456954603289,0.5586406427894643,1.7219087757642617,-0.6053456954603289,0.5586406427894646
ENSGACG00000016593,actb1,2.8803202813508633,0.556740578468457,0.5647248257933699,1.9580908704470503,-0.556740578468457,0.5647248257933436
ENSGACG00000020954,mt-cyb,10.586898720063152,0.5422293060158454,0.5733143035882099,7.270371215466079,-0.5422293060158454,0.5733143035882552
ENSGACG00000020925,mt-nd1,3.201124907184367,0.5426880503163869,0.5737871987443773,2.1975028057408856,-0.5426880503163869,0.5737871987443267
ENSGACG00000001123,ENSGACG00000001123,14.922779148399684,0.5420799640710374,0.5895138751799455,10.24909171900388,-0.5420799640710374,0.5895138751799839
ENSGACG00000013220,tmem176l.1,1.048238631768805,0.5419479713679489,0.6113305438644552,0.719850726187029,-0.5419479713679489,0.6113305438644554
ENSGACG00000017611,arpc3,1.7597535300575682,0.5211553851159628,0.6388043954704605,1.2261282419685964,-0.5211553851159628,0.6388043954704314
ENSGACG00000019142,ENSGACG00000019142,3.820931902726767,0.5054212897334625,0.6892404147552589,2.6916684192310276,-0.5054212897334625,0.689240414755259
ENSGACG00000019097,prdx2,3.5779924773382885,-0.48923643278500206,0.6930166823022008,5.02280588025397,0.48923643278500206,0.6930166823022003
ENSGACG00000016123,rpl37,5.335669602050656,-0.48888641627476703,0.6947759764324553,7.48838545671173,0.48888641627476703,0.6947759764324549
ENSGACG00000003653,zgc:64051,2.4466976317614564,0.4973378610404906,0.703266383522693,1.7332132179029252,-0.4973378610404906,0.7032663835227431
ENSGACG00000003288,rpl38,3.6361318270039074,-0.47994711733491835,0.7212954877607339,5.071657219496051,0.47994711733491835,0.7212954877607339
ENSGACG00000012858,rps29,3.716073432794133,-0.47914059605547443,0.7216272055414046,5.180260610042495,0.47914059605547443,0.721627205541383
ENSGACG00000002767,rpl7,13.263385210026815,-0.4684590780640101,0.7493038794004004,18.352761812120004,0.4684590780640101,0.7493038794003992
ENSGACG00000005605,atp5mc1,1.646935506301665,0.4533950357737222,0.8157921303032994,1.2027118975385078,-0.4533950357737222,0.8157921303032998
ENSGACG00000017491,rpl12,7.307562544876226,-0.44619761461590324,0.8157921303032994,9.956791143704155,0.44619761461590324,0.8157921303032998
ENSGACG00000007282,cxcr4a,3.331938443932009,0.45129996949792095,0.8316995105798707,2.436914741034721,-0.45129996949792095,0.831699510579906
ENSGACG00000004252,MYL12B,1.7735962323589058,0.443598520954154,0.8562961116986748,1.3040481467100975,-0.443598520954154,0.8562961116986748
ENSGACG00000010310,ppdpfb,1.6182118990263892,-0.4256171230846886,0.8646333189343955,2.1736827312344165,0.4256171230846886,0.8646333189343955
ENSGACG00000006058,rsl24d1,2.4480819019915905,-0.42880024149817175,0.8646333189343955,3.2956486134967573,0.42880024149817175,0.8646333189343955
ENSGACG00000015423,ENSGACG00000015423,1.005326254634658,0.4370747296164063,0.8774350103229726,0.7424596104643558,-0.4370747296164063,0.8774350103229718
ENSGACG00000012607,ENSGACG00000012607,0.9222700408266311,-0.3973409136301509,0.9550010186942806,1.214823799829933,0.3973409136301509,0.9550010186942816
ENSGACG00000009622,slc4a1a,0.9350745404553685,-0.41716589198640075,0.9552380609876648,1.248737126245923,0.41716589198640075,0.9552380609876355
ENSGACG00000014527,fbp2,2.7484685419306207,0.4110042371388676,0.9552782234701241,2.067097991069876,-0.4110042371388676,0.9552782234701241
ENSGACG00000008662,ssr4,1.0354341321400675,0.3870130302068023,0.9815826115803157,0.7917146797828177,-0.3870130302068023,0.9815826115803152
ENSGACG00000005189,rplp2,6.868748881923818,0.38099457376276336,0.9909059697754095,5.274733447915611,-0.38099457376276336,0.9909059697754095
ENSGACG00000003574,rpl35,7.936021229356962,-0.03746929320167247,1,8.145254290983349,0.03746929320167247,1
ENSGACG00000004055,rpl6,8.074794319927873,-0.14614993990192326,1,8.936161510613404,0.14614993990192326,1
ENSGACG00000007312,ENSGACG00000007312,1.3569308930886381,0.18715397198613493,1,1.1918111854762252,-0.18715397198613493,1
ENSGACG00000001108,ENSGACG00000001108,2.5913538708104364,0.27979670574666327,1,2.1345209138254755,-0.27979670574666327,1
ENSGACG00000004750,cfl1l,2.5809718440844334,0.3690080703892229,1,1.9984638780851338,-0.3690080703892229,1
ENSGACG00000005108,psap,1.2624544498820076,0.07575585189161815,1,1.1978671366219378,-0.07575585189161815,1
ENSGACG00000008736,rps24,11.285609118723176,-0.23800517395063192,1,13.310576888199753,0.23800517395063192,1
ENSGACG00000010801,ENSGACG00000010801,2.4979156302764065,0.13282680900829202,1,2.2782488210170526,-0.13282680900829202,1
ENSGACG00000011558,rps27a,14.424787933109057,-0.26070922756563997,1,17.28287710971079,0.26070922756563997,1
ENSGACG00000003895,rps23,7.891724581992682,-0.22617114293999574,1,9.231691926524176,0.22617114293999574,1
ENSGACG00000004372,rpl22,7.670933480286343,-0.2824203584411298,1,9.3302020651611,0.2824203584411298,1
ENSGACG00000004926,rps10,11.124341636912591,-0.27534499616379415,1,13.464398047300852,0.27534499616379415,1
ENSGACG00000007041,rpl29,3.552729545638347,-0.22141085452998732,1,4.1422705836673686,0.22141085452998732,1
ENSGACG00000000741,rps26,7.453256986597807,-0.2985705651059445,1,9.167498844379622,0.2985705651059445,1
ENSGACG00000008496,rplp0,7.222775993280532,0.2788931470656406,1,5.953403706311795,-0.2788931470656406,1
ENSGACG00000009846,arpc4,1.2641847876696748,0.35502965299145073,1,0.9883312269802844,-0.35502965299145073,1
ENSGACG00000015247,nme2a,1.0631195367427433,0.06970619568276815,1,1.0129587616395153,-0.06970619568276815,1
ENSGACG00000006059,RPL19,5.250190915339895,-0.19925034408089237,1,6.02809377044225,0.19925034408089237,1
ENSGACG00000008037,zgc:56095,0.8976992442417565,-0.17937079056105767,1,1.0165923323269428,0.17937079056105767,1
ENSGACG00000014492,hbae5,197.66582930928055,-0.20600279553029832,1,228.01826880829168,0.20600279553029832,1
ENSGACG00000014487,zgc:163057,2.3480683778644247,0.30703268398589545,1,1.897935089066306,-0.30703268398589545,1
ENSGACG00000016153,rpl9,8.821954176642581,-0.12056644033908626,1,9.5914154245795,0.12056644033908626,1
ENSGACG00000019181,rps15a,10.893168508480251,-0.23616563423698622,1,12.831349287535701,0.23616563423698622,1
ENSGACG00000019059,ENSGACG00000019059,1.0292049161044656,-0.22370829257149139,1,1.2019044373857461,0.22370829257149139,1
ENSGACG00000017861,rps6,7.318982774274829,-0.2045471525496425,1,8.434325025672027,0.2045471525496425,1
ENSGACG00000017373,ENSGACG00000017373,1.3015600838832868,0.018405305907486347,1,1.2850728331201982,-0.018405305907486347,1
ENSGACG00000017164,rps3a,9.822089417914238,-0.25819669610486695,1,11.74773776252954,0.25819669610486695,1
ENSGACG00000019739,cct4,1.023321767626397,0.09261913028135232,1,0.9596663915572451,-0.09261913028135232,1
ENSGACG00000004818,ENSGACG00000004818,1.070733023008479,-0.22597849449915186,1,1.2523706969333506,0.22597849449915186,1
ENSGACG00000009305,atp5if1b,1.1309487780192984,-0.04197614883763856,1,1.1643575402823285,0.04197614883763856,1
ENSGACG00000009310,rpl13a,12.175694876699197,-0.18886227876567707,1,13.87943256582035,0.18886227876567707,1
ENSGACG00000001954,ENSGACG00000001954,1.2275016265711296,0.34412389444021835,1,0.9669335329321002,-0.34412389444021835,1
ENSGACG00000002088,rpl36,6.448968934635749,-0.2621842333861628,1,7.734660803304039,0.2621842333861628,1
ENSGACG00000002136,zgc:171480,0.8866250824006863,-0.2160490575453519,1,1.0299154248475104,0.2160490575453519,1
ENSGACG00000004230,RPL5,5.321134764634252,-0.19812910079381085,1,6.104802484954608,0.19812910079381085,1
ENSGACG00000008021,uba52,7.141450117260172,-0.35799624090174476,1,9.153368291706293,0.35799624090174476,1
ENSGACG00000012793,ENSGACG00000012793,2.3446077022890903,-0.13786201978168733,1,2.5798351880735364,0.13786201978168733,1
ENSGACG00000014467,serbp1a,1.7562928544822336,0.13703079679634533,1,1.5971561821625837,-0.13703079679634533,1
ENSGACG00000002118,rpl11,6.437894772794679,-0.10720343826795764,1,6.934871521993605,0.10720343826795764,1
ENSGACG00000002182,ENSGACG00000002182,12.42001857231781,-0.023589906683444628,1,12.625446948581477,0.023589906683444628,1
ENSGACG00000002835,rps5,10.940925831419866,-0.23989666364041895,1,12.920977364492247,0.23989666364041895,1
ENSGACG00000003336,ENSGACG00000003336,9.439338699282247,-0.20319404259320617,1,10.86760619601932,0.20319404259320617,1
ENSGACG00000003628,rpl30,11.040247220431965,-0.2922494098303168,1,13.520112797841406,0.2922494098303168,1
ENSGACG00000003995,rplp1,15.008949970225512,-0.12340978489690846,1,16.350260633271063,0.12340978489690846,1
ENSGACG00000007961,rpl15,5.213161686683817,-0.15079670755785646,1,5.787874374995653,0.15079670755785646,1
ENSGACG00000008265,rpl14,6.606775740871,-0.1902396948168401,1,7.538447986182954,0.1902396948168401,1
ENSGACG00000009814,rps18,11.072431503282575,-0.305945794351437,1,13.688871969768595,0.305945794351437,1
ENSGACG00000002699,ENSGACG00000002699,8.614313642122514,-0.1684059186437894,1,9.681447231612426,0.1684059186437894,1
ENSGACG00000000061,cnbpa,1.3541623526283706,0.14897756133800677,1,1.2212834810520263,-0.14897756133800677,1
ENSGACG00000015245,naca,5.020055989580154,-0.30045036836090455,1,6.182722389696109,0.30045036836090455,1
ENSGACG00000011139,pfdn4,1.0215914298387299,0.10665261040887297,1,0.9487656794949626,-0.10665261040887297,1
ENSGACG00000010457,ENSGACG00000010457,1.070733023008479,-0.10175729071269846,1,1.1490157973798567,0.10175729071269846,1
ENSGACG00000009225,ENSGACG00000009225,1.2662611930148755,-0.012160158373446861,1,1.2769982315925814,0.012160158373446861,1
ENSGACG00000008262,fance,6.6912162249091605,-0.31633789990822603,1,8.332181316347675,0.31633789990822603,1
ENSGACG00000006807,alas2,2.0058075634638475,-0.20699274549945268,1,2.3153919880440896,0.20699274549945268,1
ENSGACG00000006447,ybx1,6.843832017781409,0.21688618586716712,1,5.8888068940908616,-0.21688618586716712,1
ENSGACG00000005566,ENSGACG00000005566,1.5898343593086466,0.07940879445005666,1,1.5047019946713724,-0.07940879445005666,1
ENSGACG00000013304,ENSGACG00000013304,2.3681402962013647,-0.03285776618093461,1,2.4227841883613914,0.03285776618093461,1
ENSGACG00000013073,rpl10,8.647190060088192,-0.2072810117838464,1,9.983841058821671,0.2072810117838464,1
ENSGACG00000012484,zgc:171772,10.628772894524698,-0.3122071720141504,1,13.197532466813119,0.3122071720141504,1
ENSGACG00000014131,ENSGACG00000014131,1.3216320022202266,-0.23503814044466997,1,1.5555719842953577,0.23503814044466997,1
ENSGACG00000015206,cirbpa,1.0710790905660124,-0.06277599306486314,1,1.1187360416512941,0.06277599306486314,1
ENSGACG00000015549,rps15,1.737951273932961,0.04521014733637441,1,1.684361878660844,-0.04521014733637441,1
ENSGACG00000015568,rps28,5.641939390467755,-0.2984299326801847,1,6.938908822757413,0.2984299326801847,1
ENSGACG00000016489,rps8a,7.805553760166854,-0.12844533070551645,1,8.53283516430895,0.12844533070551645,1
ENSGACG00000017028,ENSGACG00000017028,1.3150567186270912,0.0014672747369081085,1,1.3137376685432376,-0.0014672747369081085,1
ENSGACG00000017383,aqp1a.1,1.1222970890809623,-0.36766027777404775,1,1.4481797839780557,0.36766027777404775,1
ENSGACG00000017481,gtpbp4,1.3486252717078353,0.05118072298785137,1,1.3016257662518125,-0.05118072298785137,1
ENSGACG00000017667,eif3f,1.0866521306550174,0.013751911028978547,1,1.0763443836313065,-0.013751911028978547,1
ENSGACG00000017931,ube2v2,0.9177711625786963,-0.13713458902433376,1,1.0093251909520877,0.13713458902433376,1
ENSGACG00000002035,rpl8,10.510763857405793,-0.20543682770151817,1,12.119976892952671,0.20543682770151817,1
ENSGACG00000003250,rpl24,3.463098048237185,-0.10190356409388102,1,3.716739083161968,0.10190356409388102,1
ENSGACG00000006855,tpt1,3.0772327215873934,-0.259566675207348,1,3.6840369469751204,0.259566675207348,1
ENSGACG00000007989,itm2bb,2.0680997238198677,0.2167158587377982,1,1.7796421766867212,-0.2167158587377982,1
ENSGACG00000000825,PDCL3,1.2143510593848588,0.12507136676658992,1,1.1134875506583433,-0.12507136676658992,1
ENSGACG00000000344,ENSGACG00000000344,0.935420608012902,-0.27103930926606695,1,1.128829293560815,0.27103930926606695,1
ENSGACG00000018720,rps4x,4.0123072620427624,0.023489764994238937,1,3.947672686851806,-0.023489764994238937,1
ENSGACG00000019396,gabarapb,1.0724633607961462,-0.09993513787685748,1,1.1494195274562375,0.09993513787685748,1
ENSGACG00000019593,rpl34,9.25384648844432,-0.3588697237260221,1,11.868049325291029,0.3588697237260221,1
ENSGACG00000020072,eif4a1b,1.338243244981832,0.2133184407390295,1,1.1542642883728076,-0.2133184407390295,1
ENSGACG00000020086,ENSGACG00000020086,19.866354207764946,-0.273941457670861,1,24.02193954465969,0.273941457670861,1
ENSGACG00000020257,ubb,2.737048312532017,-0.13329728451978395,1,3.00213684796789,0.13329728451978395,1
ENSGACG00000020581,sod1,1.3337443667338973,-0.22487151122031357,1,1.5588018249064044,0.22487151122031357,1
ENSGACG00000020625,rpl23a,8.83199013581105,-0.05612568086712155,1,9.182840587282096,0.05612568086712155,1
ENSGACG00000020692,ENSGACG00000020692,5.185130214523608,-0.009553677526630722,1,5.219826157527818,0.009553677526630722,1
ENSGACG00000020906,rps14,13.756531479511974,-0.2704002556204532,1,16.593306139252324,0.2704002556204532,1
ENSGACG00000017440,rpl39,7.681315507012346,-0.32321473478802343,1,9.61079446824578,0.32321473478802343,1
ENSGACG00000017482,rpl36a,12.911780571572836,-0.291075759484142,1,15.799169079011222,0.291075759484142,1
ENSGACG00000017702,eef1g,4.550788381564803,0.00324979940063308,1,4.540752169055253,-0.00324979940063308,1
ENSGACG00000018016,cd74a,1.9417850653201603,-0.15704843535663437,1,2.1652043996304187,0.15704843535663437,1
ENSGACG00000018103,rack1,6.546906053417714,-0.11545045052852032,1,7.092729981858511,0.11545045052852032,1
ENSGACG00000018439,rpl26,8.236407869295993,-0.2664260547055761,1,9.907536074385694,0.2664260547055761,1
ENSGACG00000019287,ENSGACG00000019287,2.1923379769743745,0.09904785394091498,1,2.046911487250834,-0.09904785394091498,1
ENSGACG00000019282,ENSGACG00000019282,6.961494987342781,0.17782481811014517,1,6.154461284349451,-0.17782481811014517,1
ENSGACG00000020009,rps16,6.97049274383865,-0.19382829306453386,1,7.973265278445113,0.19382829306453386,1
ENSGACG00000000590,rpl18a,6.594663376357329,-0.13864712323722017,1,7.260277963556558,0.13864712323722017,1
ENSGACG00000010916,rps12,7.689275060835616,-0.23878069575980687,1,9.07383346665927,0.23878069575980687,1
ENSGACG00000011913,rps7,10.194112042262692,-0.17045051297517722,1,11.473201310590573,0.17045051297517722,1
ENSGACG00000012791,faua,10.765815647307942,-0.18519314721438507,1,12.241095915866921,0.18519314721438507,1
ENSGACG00000013530,hsp90ab1,5.637094444662287,0.22363563897421468,1,4.827804253362026,-0.22363563897421468,1
ENSGACG00000001940,RPS20,11.679087931638705,-0.11817401117851833,1,12.676720668281842,0.11817401117851833,1
ENSGACG00000003110,rpl21,11.681164336983905,-0.10179271944639057,1,12.535818871624931,0.10179271944639057,1
ENSGACG00000004882,ENSGACG00000004882,1.2326926399341314,-0.11686439643808544,1,1.336750282896945,0.11686439643808544,1
ENSGACG00000012539,rpl22l1,0.9925217550059204,-0.2707111657836623,1,1.197463406545557,0.2707111657836623,1
