Transcript,Taus
ENSGACT00000011002,0.11792692
ENSGACT00000004944,0.188008135
ENSGACT00000009046,-0.117248802
ENSGACT00000012756,0.086069102
ENSGACT00000002782,0.161574748
ENSGACT00000015743,-0.131343808
ENSGACT00000008935,0.096810259
ENSGACT00000020574,0.08598926
ENSGACT00000026144,-0.1421131
ENSGACT00000013346,0.180309613
ENSGACT00000009354,0.101384858
ENSGACT00000015765,0.13240776
ENSGACT00000003550,0.068142686
ENSGACT00000023087,-0.076648746
ENSGACT00000010686,-0.25478691
ENSGACT00000008787,0.083622167
ENSGACT00000007994,-0.098950896
ENSGACT00000016550,-0.190469643
ENSGACT00000000387,0.121373664
ENSGACT00000021958,0.07414538
ENSGACT00000000932,0.130510256
ENSGACT00000000562,-0.149406584
ENSGACT00000023078,-0.096991883
ENSGACT00000021888,-0.10542399
ENSGACT00000003487,-0.082409178
ENSGACT00000007124,-0.185773949
ENSGACT00000012589,0.068152268
ENSGACT00000022836,-0.111660548
ENSGACT00000006551,0.20378203
ENSGACT00000012087,-0.086190681
ENSGACT00000012371,0.086970176
ENSGACT00000021792,-0.077941185
ENSGACT00000005787,0.150189816
ENSGACT00000016026,-0.120910784
ENSGACT00000021168,-0.098748349
ENSGACT00000005994,0.144901632
ENSGACT00000015939,-0.075780064
ENSGACT00000021433,-0.130505204
ENSGACT00000027338,0.160498032
ENSGACT00000017431,-0.094431813
ENSGACT00000025838,-0.079854177
ENSGACT00000005946,-0.088701875
ENSGACT00000012743,-0.129084336
ENSGACT00000004536,0.175436492
ENSGACT00000009358,0.072772567
ENSGACT00000000952,-0.127119825
ENSGACT00000027217,0.07002694
ENSGACT00000016427,0.265298807
ENSGACT00000013465,-0.115222109
ENSGACT00000016975,0.179080715
ENSGACT00000007022,-0.108760791
ENSGACT00000011093,0.119026887
ENSGACT00000011043,-0.083298375
ENSGACT00000025459,0.110606428
ENSGACT00000002677,-0.189919306
ENSGACT00000021438,-0.12716976
ENSGACT00000014136,-0.123900154
ENSGACT00000024527,-0.107269936
ENSGACT00000025547,0.118636755
ENSGACT00000025544,-0.106500707
ENSGACT00000001451,0.14155351
ENSGACT00000019852,0.091372842
ENSGACT00000005242,0.067173642
ENSGACT00000013359,-0.147173667
ENSGACT00000008300,-0.095931626
ENSGACT00000000554,0.150794178
ENSGACT00000003318,0.102969912
ENSGACT00000010995,-0.115679714
ENSGACT00000019166,-0.112200518
ENSGACT00000002330,-0.134722128
ENSGACT00000016264,0.255247785
ENSGACT00000026043,-0.102709407
ENSGACT00000024650,-0.114991505
ENSGACT00000016966,0.150679047
ENSGACT00000010114,-0.08570923
ENSGACT00000018228,0.095760461
ENSGACT00000012987,-0.156174704
ENSGACT00000012975,-0.146051005
ENSGACT00000023530,0.081833432
ENSGACT00000000619,-0.08799667
ENSGACT00000003347,-0.102759117
ENSGACT00000020807,0.08477579
ENSGACT00000010596,0.159475151
ENSGACT00000013226,0.097940812
ENSGACT00000023220,0.080992455
ENSGACT00000015170,0.145105413
ENSGACT00000026577,-0.138290757
ENSGACT00000023029,-0.075801582
ENSGACT00000016104,-0.124929208
ENSGACT00000008141,-0.092618664
ENSGACT00000024150,-0.069973104
ENSGACT00000007081,-0.075871668
ENSGACT00000022443,0.106284384
ENSGACT00000013565,-0.085425034
ENSGACT00000003787,0.08606321
ENSGACT00000020178,0.096785948
ENSGACT00000023873,0.068088851
ENSGACT00000022762,0.088904251
ENSGACT00000012243,-0.076346856
ENSGACT00000027033,-0.291610447
ENSGACT00000025379,-0.120870705
ENSGACT00000026940,0.095070986
ENSGACT00000018086,0.201090239
ENSGACT00000023341,0.103647408
ENSGACT00000026332,-0.12081045
ENSGACT00000023924,-0.148200367
ENSGACT00000011791,-0.133418554
ENSGACT00000007897,-0.127856937
ENSGACT00000016651,0.226608416
ENSGACT00000017430,0.073364761
ENSGACT00000024978,-0.085079904
ENSGACT00000023712,-0.07774592
ENSGACT00000023721,-0.07354022
ENSGACT00000021284,-0.088326529
ENSGACT00000005315,-0.085798221
ENSGACT00000012977,-0.096166285
ENSGACT00000010100,-0.068319551
ENSGACT00000008355,-0.083728156
ENSGACT00000017039,-0.154514993
ENSGACT00000018597,-0.105800841
ENSGACT00000016165,0.110700708
ENSGACT00000023238,0.11801885
ENSGACT00000007123,-0.12955367
ENSGACT00000007184,0.133418616
ENSGACT00000020857,0.133795466
ENSGACT00000008632,0.07703181
ENSGACT00000017986,0.15753055
ENSGACT00000006567,0.119330309
ENSGACT00000004767,0.156756443
ENSGACT00000014922,-0.171559145
ENSGACT00000013510,-0.113073218
ENSGACT00000015702,-0.074952917
ENSGACT00000011746,-0.124847769
ENSGACT00000007646,0.280605742
ENSGACT00000009151,-0.084704907
ENSGACT00000017210,0.160201935
ENSGACT00000008463,0.114630788
ENSGACT00000006434,-0.067262608
ENSGACT00000026588,-0.15589507
ENSGACT00000010011,0.120524937
ENSGACT00000004227,-0.118454795
ENSGACT00000007729,-0.145272858
ENSGACT00000004096,-0.08173623
ENSGACT00000024670,0.117698557
ENSGACT00000003820,-0.096271977
ENSGACT00000003150,0.094437327
ENSGACT00000023730,0.109984303
ENSGACT00000018248,-0.154899107
ENSGACT00000012665,0.134118481
ENSGACT00000017035,-0.121267615
ENSGACT00000003319,0.16704129
ENSGACT00000012510,-0.095137361
ENSGACT00000005745,-0.074937408
ENSGACT00000017443,0.202208842
ENSGACT00000018218,-0.069599049
ENSGACT00000010681,-0.092625514
ENSGACT00000011489,-0.091570384
ENSGACT00000015946,-0.169124735
ENSGACT00000003882,-0.158829122
ENSGACT00000022197,-0.125051268
ENSGACT00000026102,0.096080786
ENSGACT00000024523,-0.082166917
ENSGACT00000013134,-0.069757761
ENSGACT00000019610,-0.109147407
ENSGACT00000007156,-0.136057104
ENSGACT00000005521,0.215948924
ENSGACT00000015801,-0.125087106
ENSGACT00000007062,-0.138802197
ENSGACT00000011972,-0.072325819
ENSGACT00000012509,0.213058954
ENSGACT00000008118,0.126366123
ENSGACT00000020556,0.072102515
ENSGACT00000020761,-0.095895051
ENSGACT00000013692,-0.074975347
ENSGACT00000003287,-0.198658158
ENSGACT00000026694,0.126086018
ENSGACT00000024050,-0.184839196
ENSGACT00000026655,0.078750436
ENSGACT00000013462,0.126541245
ENSGACT00000007429,0.140201929
ENSGACT00000005286,-0.081708333
ENSGACT00000007800,-0.113522009
ENSGACT00000014165,-0.077757018
ENSGACT00000010090,-0.106541797
ENSGACT00000004831,-0.154308921
ENSGACT00000014008,0.170726837
ENSGACT00000010289,0.201162711
ENSGACT00000027562,0.079717387
ENSGACT00000012699,-0.100993761
ENSGACT00000000213,0.075638101
ENSGACT00000024794,-0.103781998
ENSGACT00000005132,0.123539743
ENSGACT00000006656,-0.082436096
ENSGACT00000024019,0.125001678
ENSGACT00000017453,0.088486748
ENSGACT00000022386,0.095033677
ENSGACT00000010353,-0.082247671
ENSGACT00000008634,-0.14919251
ENSGACT00000012287,-0.124966392
ENSGACT00000022378,0.085074051
ENSGACT00000019314,0.144239615
ENSGACT00000025643,0.193792189
ENSGACT00000021876,-0.101536392
ENSGACT00000018254,0.177025628
ENSGACT00000017134,0.097130498
ENSGACT00000023732,0.08351814
ENSGACT00000025280,0.168061964
ENSGACT00000015014,0.090053972
ENSGACT00000023851,0.165827778
ENSGACT00000011527,0.109280319
ENSGACT00000025563,0.144374205
ENSGACT00000018243,-0.111776617
ENSGACT00000009770,-0.153122525
ENSGACT00000023982,0.071914304
ENSGACT00000021758,0.144671117
ENSGACT00000027030,-0.078401173
ENSGACT00000003754,-0.111399766
ENSGACT00000027040,0.106554543
ENSGACT00000023767,-0.068832334
ENSGACT00000007456,-0.076905869
ENSGACT00000023270,-0.134698118
ENSGACT00000010179,0.070390803
ENSGACT00000023537,0.105825665
ENSGACT00000004885,0.083617853
ENSGACT00000004458,0.20790047
ENSGACT00000016920,0.125397079
ENSGACT00000013881,0.071895882
ENSGACT00000010296,-0.120422626
ENSGACT00000016927,0.070807559
ENSGACT00000014215,0.107712013
ENSGACT00000005541,0.130624058
ENSGACT00000021099,0.0731225
ENSGACT00000001716,-0.067480434
ENSGACT00000010585,0.078586835
ENSGACT00000005750,-0.136756436
ENSGACT00000012367,0.256998736
ENSGACT00000025737,-0.08062785
ENSGACT00000021437,0.103324393
ENSGACT00000010035,0.0680641
ENSGACT00000009785,-0.096266749
ENSGACT00000008711,0.108573487
ENSGACT00000014084,-0.123183264
ENSGACT00000005672,-0.089541617
ENSGACT00000023609,-0.100067326
ENSGACT00000000511,0.163642077
