FeatureID,FeatureName,Cluster 12 Average,Cluster 12 Log2 Fold Change,Cluster 12 P-Value,Cluster 13 Average,Cluster 13 Log2 Fold Change,Cluster 13 P-Value
ENSGACG00000012769,ENSGACG00000012769,0.7834250969243263,-8.049755361988252,6.287746613892918e-118,207.78590058944556,8.049755361988252,6.2877466138920405e-118
ENSGACG00000003094,ENSGACG00000003094,0.013249996779241133,-6.268260158718485,5.0652577453613273e-57,1.0271082395371969,6.268260158718485,5.0652577453613273e-57
ENSGACG00000013618,gadd45bb,0.03472412949042504,-4.933432683660567,4.088882353342681e-41,1.0633697837397458,4.933432683660567,4.088882353342681e-41
ENSGACG00000014423,cnpy1,0.04683188516800745,-4.751529211630233,1.6328954034702715e-39,1.2637148154588282,4.751529211630233,1.6328954034702715e-39
ENSGACG00000020678,prdx4,0.16783329253705434,-4.440834862085042,1.487026806078353e-35,3.6488178853814803,4.440834862085042,1.4870268060783462e-35
ENSGACG00000002512,pdia4,0.07356032694682146,-4.408111015310699,3.581611220164939e-32,1.56377909373492,4.408111015310699,3.581611220164908e-32
ENSGACG00000012783,ENSGACG00000012783,0.29043383744842344,-4.294560467185116,5.088645636860757e-31,5.7048474416660016,4.294560467185116,5.0886456368608365e-31
ENSGACG00000012799,ENSGACG00000012799,0.08132756643810075,-3.688885058894566,2.0736053879447727e-20,1.0497717046637898,3.688885058894566,2.0736053879447854e-20
ENSGACG00000001305,ssr2,0.31655308397301946,-3.4042917230504353,6.75814619652426e-19,3.354192838735771,3.4042917230504353,6.758146196524471e-19
ENSGACG00000005260,ddost,0.1456738151648752,-3.0130769465704406,1.2573912162618926e-13,1.176687109372711,3.0130769465704406,1.2573912162618678e-13
ENSGACG00000008662,ssr4,0.28982464219420545,-2.9527879631869247,2.751285130296024e-13,2.245496124742839,2.9527879631869247,2.751285130296047e-13
ENSGACG00000016427,spcs3,0.4668720129513068,-2.661223089698273,2.5363304977462515e-10,2.955315852507733,2.661223089698273,2.5363304977463585e-10
ENSGACG00000012763,ENSGACG00000012763,0.12199134965715112,-3.8243090228579746,4.111925919602207e-10,1.7296756584615811,3.8243090228579746,4.1119259196021954e-10
ENSGACG00000017163,ENSGACG00000017163,2.145433386542182,-2.488951524296502,1.0038092685911738e-08,12.053337292927246,2.488951524296502,1.0038092685913647e-08
ENSGACG00000009519,ENSGACG00000009519,1.4211763786837774,-2.356916615683131,1.9810380777208178e-07,7.285850768897133,2.356916615683131,1.981038077720876e-07
ENSGACG00000010720,ENSGACG00000010720,0.9667167190371619,-2.3766312250603776,1.9987319202623776e-07,5.024036949263146,2.3766312250603776,1.998731920262422e-07
ENSGACG00000006229,fkbp2,0.3180760721085644,-2.325848762372685,2.4966741033347106e-07,1.5955079449121503,2.325848762372685,2.496674103334762e-07
ENSGACG00000014415,npsn,0.5408892363387918,-2.3381833134709202,4.804284703187632e-06,2.7368400486873763,2.3381833134709202,4.804284703187804e-06
